year,quarter,speaker,sentence,financial_terms,is_citi_member,Mentions Capital Adequacy & Buffers,Capital Adequacy & Buffers phrase,Mentions Liquidity,Liquidity phrase,Mentions Credit Risk & Loan Quality,Credit Risk & Loan Quality phrase,Mentions Stress Testing & Scenario Planning,Stress Testing & Scenario Planning phrase,Mentions Supervisory & Regulatory References,Supervisory & Regulatory References phrase,Mentions Regulators,Regulators phrase,Mentions Frameworks,Frameworks phrase,Mentions Internal Metrics,Internal Metrics phrase
2022,Q1,Jane Fraser,"Now, I'd like to turn it over to Mark, and then we will be delighted to take your questions.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Thank you, Jane, and good morning, everyone.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"I'm going to start with the firmwide financial results focusing on year-over-year comparisons for the first quarter, unless I indicate otherwise, then spend a little more time on expenses and Russia, and end with the results of each segment.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"On slide 4, we show financial results for the full firm.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"As Jane mentioned earlier, in the first quarter, we reported net income of $4.3 billion and an EPS of $2.02 with an RoTCE of 10.5% on $19.2 billion of revenues.","billion, , net income",yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,Embedded in these results are Asia Consumer divestiture-related impacts that are detailed in the appendix of the presentation.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"In the quarter, total revenues decreased 2% as strength in net interest income driven by Services and PBWM was more than offset by lower non-interest revenue across businesses.","revenue, net interest income",yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"That said, we continue to see strong performance in the key business drivers we shared on Investor Day, which I will walk you through in detail shortly.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Total expenses of $13.2 billion increased 15%, or 10% excluding the Asia divestiture-related impacts I just mentioned.",billion,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Cost of credit was $755 million, as net credit losses of $872 million were partially offset by a net ACL release.",million,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,Embedded in the net ACL release is a Russia-related build of approximately $1.9 billion.,billion,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,This includes $1 billion related to exposure to Russia and about $900 million to account for the broader impact on the macro environment.,"billion, million",yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"This was more than offset by a release related to a COVID-19 uncertainty reserve, primarily in US Personal Banking, given the continued resilience of the underlying portfolio, specifically in the US.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"As of today, we have about $17.9 billion in total reserves with a reserve-to-funded loan ratio of 2.35%.",billion,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"On slide 5, we show an expense walk for the first quarter with the key underlying drivers.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"As I mentioned earlier, we incurred some divestiture-related costs this quarter.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"These costs largely related to a goodwill write-down that we incurred in Legacy Franchises, as part of our re-segmentation and divestitures.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,It is important to note the goodwill impact is capital neutral.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Excluding the divestiture-related costs, expenses increased by approximately 10%.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"3% of the increase was driven by transformation investments, with about two-thirds related to the risk, controls, data, and finance programs, and approximately 30% of that is related to technology investments.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"About 2% of the increase was driven by business-led investments, as we continue to hire commercial and investment bankers as well as client advisors.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"In addition, we are investing in technology across Services, Wealth and Cards.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"1% was due to higher revenue and volume-related expenses largely in Markets and Cards, and approximately 4% was driven by inflation and other risk and control investments, partially offset by productivity savings.",revenue,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Across all of these buckets we continue to invest in technology, which is up 12% for the quarter.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,On slide 6 we provide an update on our exposure to Russia.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"As Jane mentioned, as of the end of the quarter, our remaining exposure to Russia stood at about $7.8 billion, down from $9.8 billion at year end.",billion,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"And importantly, the mix of the remaining exposure has changed and shifted in a positive way.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"We have reduced our direct Russia country risk exposure from $5.4 billion to about $3.7 billion which consists of loans, AFS, derivatives, and offbalance sheet exposure.",billion,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"The remaining exposure, which previously totaled $4.4 billion now totals $4.1 billion and consists of deposits and cash with the central bank, reverse repos, and cross-border exposure.",billion,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Additionally, our net investment in our Russian entity is now approximately $700 million, down from about $1 billion at year end.","billion, million",yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"And the currency translation adjustment, or CTA, related to our net investment stands at $1 billion.",billion,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"And as I mentioned previously, we took credit reserves of about $1.9 billion with about $1 billion for direct exposures to Russia and another approximately $900 million for broader impacts given the macro environment.","billion, million",yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,So we feel we have reserved prudently at this point.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"In the normal course of our planning and risk management, we run a range of stress scenarios, and we've taken this same approach with our exposure to Russia.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"And as a result of the actions that we've taken to reduce our risk, we now believe that under a range of severe stress scenarios, our potential risk of loss is now estimated at approximately $2.5 billion to $3 billion, down meaningfully from what I described at our Investor Day.",billion,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"On slide 7, we show net interest income, loans, and deposits.",net interest income,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"In the first quarter, net interest income increased by approximately $50 million on a sequential basis as interest income from loans as well as higher deposit spreads were partially offset by day count.","net interest income, million",yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Excluding day count, net interest income increased by approximately $290 million.","net interest income, million",yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Sequentially, net interest margin increased by 7 basis points as lower average deposits in Services and higher interest income from loans were partially offset by balance sheet growth in Markets.",,yes,No,,No,,No,,No,,No,,No,,No,,Yes,net interest margin
2022,Q1,Mark Mason,"On a year-over-year basis, net interest income increased by approximately $370 million driven by Cards, deposits volumes, and spreads as well as income from the investment portfolio, partially offset by lower net interest income in Markets, and we grew average loans by approximately 3% in both ICG and PBWM.","net interest income, million",yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"On slide 8, we show our summary balance sheet and key capital and liquidity metrics.",liquidity,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,We maintained a very strong balance sheet.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Of our $2.4 trillion balance sheet, about 23% or $551 billion, are high-quality liquid assets, or HQLA, and we maintained total liquidity resources of approximately $960 billion.","billion, trillion, liquidity",yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"From a capital perspective, we ended the quarter with a CET1 capital ratio of approximately 11.4% under both standardized and advanced approaches, with standardized remaining the binding ratio down from 12.2% at year end.","capital ratio, cet1",yes,Yes,"cet1, capital ratio",No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"During the quarter, we adopted SA-CCR and absorbed a significant impact from the sharp move in interest rates.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,We will go into more detail shortly on the drivers of capital in the quarter.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"However, it is important to note that despite these impacts we continued to expect to manage to a CET1 ratio of 12% by the end of the year due to the expected GSIB surcharge increase to 3.5% at the beginning of 2023.",cet1,yes,Yes,cet1,No,,No,,No,,Yes,gsib,No,,No,,Yes,cet1 ratio
2022,Q1,Mark Mason,"We expect the combination of net income generation, DTA utilization, and capital generated by the closing of several of the consumer exits in Asia to be sufficient to reach the 12% CET1 ratio by the end of the year.","net income, cet1",yes,Yes,cet1,No,,No,,No,,No,,No,,No,,Yes,cet1 ratio
2022,Q1,Mark Mason,"As we said at Investor Day, we're committed to returning excess capital to our shareholders, and as we see a pull to par in the investment portfolio, reversing that $4 billion interest rate-driven impact, we would expect to be able to deploy that capital over time.",billion,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"And as you know, under the SCB framework and given the uncertain macro environment, we assess on a quarter-by-quarter basis the right level of buybacks and we will continue to do so throughout the year.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"For the second quarter, we expect only a modest amount of buybacks and we'll evaluate that level throughout the quarter taking into account market conditions.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,Given the sizeable impact of some of the drivers I wanted to spend a minute to walk through the puts and takes this quarter and how we ended the quarter with a CET1 ratio of about 11.4%.,cet1,yes,Yes,cet1,No,,No,,No,,No,,No,,No,,Yes,cet1 ratio
2022,Q1,Mark Mason,"First, we generated net income which added 35 basis points.",net income,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Second, over $4 billion of dividends and buybacks drove a reduction of about 36 basis points.",billion,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Third, the interest rate impact on AOCI through our investment portfolio drove a 35 basis point reduction.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Fourth, the increase in disallowed DTA largely driven by the reduction in CET1 due to the interest rate impact I just mentioned, drove another 15-basis-point reduction.",cet1,yes,Yes,cet1,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Finally, the remainder was driven by a combination of other factors including a reduction in RWA.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"With all of that said, as I just mentioned, we have a path to a 12% CET1 capital ratio by year end and remain committed to returning excess capital to shareholders.","capital ratio, cet1",yes,Yes,"cet1, capital ratio",No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,On slide 10 we show the results for our Institutional Clients Group.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Revenues decreased 2% largely driven by Investment Banking, partially offset by an increase in Services revenue.",revenue,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,And Markets declined slightly against a strong quarter last year.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Expenses increased 13% driven by transformation investments, business-led investments, and volume-related expenses partially offset by productivity savings.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Cost of credit was nearly $1 billion, largely driven by a $1.5 billion build related to our exposures in Russia as well as the broader impact on the macro environment.",billion,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"And outside of Russia, we continued to see strong credit performance across our portfolio as clients' balance sheets remain healthy.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"This resulted in net income of $2.6 billion, down approximately 51%, largely driven by the higher expenses and an ACL build versus a release in the prior year.","billion, net income",yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,We grew average loans by 3% largely driven by trade finance.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,Average deposits grew 2% as we continued to see good momentum and deepening of existing client relationships and new client acquisitions.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,And ICG delivered an RoTCE of 11.2%.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"On slide 11, we show revenue performance by business and the key drivers we laid out at Investor Day, which we will continue to show you each quarter.",revenue,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"In Services we continued to see a very strong new client pipeline and a deepening with our existing clients, and we expect that momentum to continue.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"In Treasury and Trade Solutions, revenues were up 18% driven by growth in net interest income as well as strong fee growth with both commercial and large corporate clients.",net interest income,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"And we continue to see strong underlying drivers in TTS that indicate continued strong client activity with US dollar clearing volumes up 2%, cross-border flows up 17%, and commercial card volumes up 54%.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Again, these metrics are indicators of client activity and fees and on a combined basis drive approximately 50% of total TTS fee revenue.",revenue,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Securities Services revenues grew 6% as net interest income grew 17% driven by higher interest rates across currencies, and fee revenues grew 2% due to higher assets under custody.",net interest income,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,Overall Markets revenues were down 2% versus a strong quarter last year.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,In the quarter activity levels benefited from client repositioning and strong risk management in light of Fed actions and overall geopolitical uncertainty.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,Fixed Income Markets revenues were down 1%.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"We saw strong client engagement particularly with our corporate clients in FX and commodities, with our rates business also benefiting from higher volatility.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,Spread products were negatively impacted by less client activity.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,Equity Markets revenues were down 4% compared to a very strong prior-year period.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,In the quarter we saw strong equity derivatives performance and grew prime finance balances.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Banking revenues, excluding gains or losses on loan hedges, were down 32% as heightened geopolitical uncertainty and the overall macro backdrop impacted activity in debt and equity capital markets.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Investment Banking revenues were down 43% driven by the contraction in capital markets activity, partially offset by growth in M&A.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,Corporate Lending revenues were down 6% largely driven by lower average loans.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Now turning to slide 12, we show the results for our Personal Banking and Wealth Management business.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,Revenues declined 1% as net interest income was more than offset by lower non-interest revenue.,"revenue, net interest income",yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Expenses were up 14%, driven by transformation investments, business-led investments, and higher volume-driven expenses, partially offset by productivity savings.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Cost of credit was a $376 million benefit, as an ACL release more than offset net credit losses.",million,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,We had a net release of over $1 billion of ACL related to COVID-19 uncertainty reserves.,billion,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"I would note that even after this release, we maintain over $9.8 billion in credit reserves against our US cards portfolios, or approximately 7.6% of total loans.",billion,yes,No,,No,,No,,No,,No,,No,,No,,No,
