text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
"Payments revenue of $2.5B was up 61% YoY, or 32% excluding equity investment impacts, driven by higher rates.",quarter,6,Financial Results,Q2_2023,2023-07-14
"Lending revenue of $299mm was down 27% YoY, driven by mark-to-market losses on loan hedges.",quarter,6,Financial Results,Q2_2023,2023-07-14
Markets revenue of $7.0B was down 10% YoY.,quarter,6,Financial Results,Q2_2023,2023-07-14
"Fixed Income Markets revenue was $4.6B, down 3% YoY, while Equity Markets revenue was $2.5B, down 20% YoY compared to a strong prior-year quarter.",quarter,6,Financial Results,Q2_2023,2023-07-14
"Securities Services revenue was $1.2B, up 6% YoY, driven by higher rates.",quarter,6,Financial Results,Q2_2023,2023-07-14
"Expense of $6.9B was up 1% YoY, driven by higher non-compensation expenses.",quarter,6,Financial Results,Q2_2023,2023-07-14
Credit costs were $38mm.,quarter,6,Financial Results,Q2_2023,2023-07-14
"Excluding the First Republic (FR) impact, net income was $1.5B, up 54% YoY.",quarter,7,Financial Results,Q2_2023,2023-07-14
"Excluding FR, revenue was $3.8B, up 42% YoY, driven by higher deposit margins, partially offset by lower deposit-related fees. Payments revenue was $2.2B, up 79% YoY, while Investment Banking and Markets revenue was down 3% YoY.",quarter,7,Financial Results,Q2_2023,2023-07-14
"Excluding FR, expense of $1.3B was up 12% YoY, due to higher compensation and technology investments.",quarter,7,Financial Results,Q2_2023,2023-07-14
"Excluding FR, credit costs were $489mm, with a reserve build of $389mm related to office real estate and Middle Market downgrades.",quarter,7,Financial Results,Q2_2023,2023-07-14
"Excluding FR, average loans were $242B, up 10% YoY and 2% QoQ.",quarter,7,Financial Results,Q2_2023,2023-07-14
"Excluding FR, average deposits were $275B, down 8% YoY but up 3% QoQ, driven by new client acquisition inflows.",quarter,7,Financial Results,Q2_2023,2023-07-14
"Excluding the First Republic (FR) impact, net income was $1.1B, up 10% YoY.",quarter,8,Financial Results,Q2_2023,2023-07-14
"Excluding FR, revenue of $4.6B was up 8% YoY, driven by higher deposit margins and management fees on strong net inflows.",quarter,8,Financial Results,Q2_2023,2023-07-14
"Excluding FR, expense of $3.2B was up 8% YoY, driven by higher compensation.",quarter,8,Financial Results,Q2_2023,2023-07-14
"Excluding FR, Assets Under Management (AUM) of $3.2T were up 16% YoY and client assets of $4.6T were up 20% YoY, driven by net inflows and market levels.",quarter,8,Financial Results,Q2_2023,2023-07-14
"For the quarter, AUM had long-term net inflows of $61B and liquidity net inflows of $60B.",quarter,8,Financial Results,Q2_2023,2023-07-14
"Excluding FR, average loans of $210B were down 3% YoY and 1% QoQ.",quarter,8,Financial Results,Q2_2023,2023-07-14
"Excluding FR, average deposits of $212B were down 21% YoY and 6% QoQ.",quarter,8,Financial Results,Q2_2023,2023-07-14
"Excluding the First Republic (FR) impact, revenue was $1.0B, up $905mm YoY.",quarter,9,Financial Results,Q2_2023,2023-07-14
"Excluding FR, net interest income was $1.8B, compared with $324mm in the prior year, due to higher rates.",quarter,9,Financial Results,Q2_2023,2023-07-14
"Excluding FR, noninterest revenue was a loss of $782mm, compared with a loss of $244mm in the prior year, and included $900mm of net investment securities losses.",quarter,9,Financial Results,Q2_2023,2023-07-14
"Excluding FR, expense of $590mm was up $384mm YoY, largely driven by higher legal expense.",quarter,9,Financial Results,Q2_2023,2023-07-14
"Excluding FR, credit costs were a net benefit of $243mm, reflecting a reserve release associated with a deposit placed with First Republic Bank in the first quarter of 2023.",quarter,9,Financial Results,Q2_2023,2023-07-14
"Expect FY2023 net interest income and net interest income excluding Markets of ~$87B, market dependent.",quarter,10,Outlook,Q2_2023,2023-07-14
"Expect FY2023 adjusted expense of ~$84.5B excluding the FDIC special assessment related to systemic risk determination, market dependent.",quarter,10,Outlook,Q2_2023,2023-07-14
Expect FY2023 Card Services NCO rate of ~2.60%.,quarter,10,Outlook,Q2_2023,2023-07-14
"The Firm's results are analyzed on a reported (GAAP) basis and a ""managed"" (non-GAAP) basis. The managed basis presents revenue on a fully taxable-equivalent basis.",quarter,11,Glossary,Q2_2023,2023-07-14
"Metrics excluding CIB Markets (composed of Fixed Income Markets and Equity Markets) are reviewed to assess performance of lending, investing, and deposit-raising activities separate from market volatility.",quarter,11,Glossary,Q2_2023,2023-07-14
"Second-quarter 2023 significant items, which are non-GAAP measures, include a $2.7B bargain purchase gain from First Republic, a $1.2B net credit reserve build for First Republic, and $900mm in net investment securities losses.",quarter,11,Glossary,Q2_2023,2023-07-14
"Tangible common equity (TCE), return on tangible common equity (ROTCE), and tangible book value per share (TBVPS) are non-GAAP measures used to assess the Firm's use of equity.",quarter,11,Glossary,Q2_2023,2023-07-14
Adjusted expense and adjusted overhead ratio are non-GAAP measures that exclude certain Firmwide legal expenses to provide an alternate view of performance.,quarter,11,Glossary,Q2_2023,2023-07-14
Corporate & Investment Bank (CIB) calculates the allowance for loan losses to end-of-period loans (ALL/EOP) ratio excluding certain items for a more meaningful assessment of allowance coverage.,quarter,11,Glossary,Q2_2023,2023-07-14
"Note 1 explains the phase-out of the Current Expected Credit Losses (CECL) capital benefit, which started on January 1, 2022, at a rate of 25% per year over three years.",quarter,12,Footnotes,Q2_2023,2023-07-14
Note 2 defines total excess high-quality liquid assets (HQLA) as average eligible unencumbered liquid assets exceeding requirements under the liquidity coverage ratio (LCR) rule.,quarter,12,Footnotes,Q2_2023,2023-07-14
"Note 3 states that in 1Q23, allocations of revenue and expense to CCB from a Merchant Services agreement were discontinued and are now retained in Payments in CIB, with prior periods revised for conformity.",quarter,12,Footnotes,Q2_2023,2023-07-14
"Note 4 indicates that prior-period amounts have been revised to conform with the current presentation, using end-of-period HQLA metrics.",quarter,12,Footnotes,Q2_2023,2023-07-14
"Slide 5 - Consumer & Community Banking: Provides clarifications on the treatment of First Republic (FR) numbers, definition of mobile users, exclusion of Commercial Card, inclusion of PPP loans, and Firmwide mortgage origination volumes.",quarter,13,Footnotes,Q2_2023,2023-07-14
"Slide 6 - Corporate & Investment Bank: Provides details on the basis of reported numbers, definitions of client deposits, merchant processing volume, composition of the bridge book and Securitized Products Group, and loan loss calculation exclusions.",quarter,13,Footnotes,Q2_2023,2023-07-14
"Slide 7 - Commercial Banking: Details the treatment of FR numbers, reclassification of certain revenues in prior periods, revenue sharing arrangements with CIB, PPP loan impact, loan loss calculation exclusions, and definitions for C&I and CRE groupings.",quarter,13,Footnotes,Q2_2023,2023-07-14
"This presentation contains forward-looking statements as defined by the Private Securities Litigation Reform Act of 1995, based on current beliefs and expectations.",quarter,14,Footnotes,Q2_2023,2023-07-14
Actual results may differ materially from these statements due to significant risks and uncertainties.,quarter,14,Footnotes,Q2_2023,2023-07-14
"Factors that could cause differences are detailed in JPMorgan Chase & Co.'s SEC filings, including the Annual Report on Form 10-K for the year ended December 31, 2022.",quarter,14,Footnotes,Q2_2023,2023-07-14
JPMorgan Chase & Co. does not commit to updating any forward-looking statements.,quarter,14,Footnotes,Q2_2023,2023-07-14
