text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
"$22.5B of the increase is directly linked to the firm's 4.5% GSIB surcharge (4.5% x $500B), despite no change in the systemic risk footprint.",quarter,5,Outlook,Q3_2023,2023-10-13
The proposal increases the required capital for operational risk by $30B.,quarter,5,Outlook,Q3_2023,2023-10-13
The firm estimates its SCB already includes ~$15B capital for operational risk.,quarter,5,Outlook,Q3_2023,2023-10-13
JPM believes that an RWA change of this magnitude requires corresponding adjustments to SCB and GSIB.,quarter,5,Outlook,Q3_2023,2023-10-13
"Measured since the 2017 rules, JPM's CET1 capital requirements will have increased by ~45% should the rule be enacted as proposed.",quarter,6,Outlook,Q3_2023,2023-10-13
"Looking beyond the B3E proposal, the future trend for capital requirements is upward.",quarter,6,Outlook,Q3_2023,2023-10-13
The firm anticipates that the Fed's incorporation of CECL in the stress test will raise the SCB.,quarter,6,Outlook,Q3_2023,2023-10-13
"Since the GSIB proposal did not adjust for growth, continued headwinds are expected due to ordinary economic growth.",quarter,6,Outlook,Q3_2023,2023-10-13
JPM disagrees with the cost-benefit analysis and believes that increases of this magnitude are unwarranted.,quarter,6,Outlook,Q3_2023,2023-10-13
"Excluding FR, net income was $5.3B, up 22% YoY.",quarter,7,Financial Results,Q3_2023,2023-10-13
"Excluding FR, revenue was $17.0B, up 19% YoY, driven by higher net interest income.",quarter,7,Financial Results,Q3_2023,2023-10-13
"Excluding FR, expense was $8.5B, up 7% YoY, driven by higher compensation, technology and marketing investments, and the FDIC assessment increase, partially offset by lower auto lease depreciation.",quarter,7,Financial Results,Q3_2023,2023-10-13
"Excluding FR, credit costs were $1.4B, with NCOs of $1.4B, up $720mm YoY, driven by normalization in Card Services.",quarter,7,Financial Results,Q3_2023,2023-10-13
"Excluding FR, a net reserve build of $49mm reflected a $301mm build in Card Services, offset by a $250mm release in Home Lending.",quarter,7,Financial Results,Q3_2023,2023-10-13
"Excluding FR, average loans were up 6% YoY and 3% QoQ.",quarter,7,Financial Results,Q3_2023,2023-10-13
"Excluding FR, average deposits were down 8% YoY and 3% QoQ.",quarter,7,Financial Results,Q3_2023,2023-10-13
"Excluding FR, active mobile customers were up 9% YoY.",quarter,7,Financial Results,Q3_2023,2023-10-13
"Excluding FR, debit & credit card sales volume was up 8% YoY.",quarter,7,Financial Results,Q3_2023,2023-10-13
"Excluding FR, client investment assets were up 21% YoY and flat QoQ.",quarter,7,Financial Results,Q3_2023,2023-10-13
"Net income was $3.1B, down 12% YoY; revenue was $11.7B, down 2% YoY.",quarter,8,Financial Results,Q3_2023,2023-10-13
"IB revenue was $1.6B, down 6% YoY, with IB fees down 3% YoY.",quarter,8,Financial Results,Q3_2023,2023-10-13
"Payments revenue was $2.1B, up 3% YoY.",quarter,8,Financial Results,Q3_2023,2023-10-13
"Lending revenue was $291mm, down 10% YoY.",quarter,8,Financial Results,Q3_2023,2023-10-13
Markets & Securities Services revenue includes Markets revenue of $6.6B (down 3% YoY) and Securities Services revenue of $1.2B (up 9% YoY).,quarter,8,Financial Results,Q3_2023,2023-10-13
"Fixed Income Markets revenue was $4.5B, up 1% YoY.",quarter,8,Financial Results,Q3_2023,2023-10-13
"Equity Markets revenue was $2.1B, down 10% YoY.",quarter,8,Financial Results,Q3_2023,2023-10-13
"Expense of $7.4B was up 11% YoY, driven by higher legal expense and wage inflation.",quarter,8,Financial Results,Q3_2023,2023-10-13
"Credit costs were a net benefit of $185mm, including a net reserve release of $230mm and NCOs of $45mm.",quarter,8,Financial Results,Q3_2023,2023-10-13
"Excluding FR impact, Net income was $1.7B, up 79% YoY.",quarter,9,Financial Results,Q3_2023,2023-10-13
"Excluding FR impact, Revenue was $3.7B, up 20% YoY, with Payments revenue up 30% YoY and Investment Banking and Markets revenue up 8% YoY.",quarter,9,Financial Results,Q3_2023,2023-10-13
"Excluding FR impact, Expense was $1.4B, up 15% YoY, driven by increased headcount and volume-related expenses.",quarter,9,Financial Results,Q3_2023,2023-10-13
"Excluding FR impact, Credit costs were $64mm, including NCOs of $50mm and a reserve build of $14mm.",quarter,9,Financial Results,Q3_2023,2023-10-13
"Excluding FR impact, Average loans were $244B, up 6% YoY and 1% QoQ.",quarter,9,Financial Results,Q3_2023,2023-10-13
"Excluding FR impact, Average deposits were $262B, down 7% YoY and 5% QoQ.",quarter,9,Financial Results,Q3_2023,2023-10-13
"Excluding FR impact, net income was $1.1B, down 12% YoY.",quarter,10,Financial Results,Q3_2023,2023-10-13
"Excluding FR impact, revenue of $4.6B was relatively flat YoY, driven by higher management fees offset by lower performance fees and net interest income.",quarter,10,Financial Results,Q3_2023,2023-10-13
"Excluding FR impact, expense of $3.1B was up 3% YoY, driven by growth in private banking advisor teams and other impacts.",quarter,10,Financial Results,Q3_2023,2023-10-13
"AUM of $3.2T was up 22% YoY and client assets of $4.6T were up 21% YoY, driven by net inflows and higher market levels.",quarter,10,Financial Results,Q3_2023,2023-10-13
"For the quarter, AUM had long-term net inflows of $20B and liquidity net inflows of $40B.",quarter,10,Financial Results,Q3_2023,2023-10-13
"Excluding FR impact, average loans of $211B were down 3% YoY and flat QoQ.",quarter,10,Financial Results,Q3_2023,2023-10-13
"Excluding FR impact, average deposits of $202B were down 20% YoY and down 5% QoQ.",quarter,10,Financial Results,Q3_2023,2023-10-13
"Excluding FR impact, revenue was $1.5B, an increase of $1.8B YoY.",quarter,11,Financial Results,Q3_2023,2023-10-13
"Excluding FR impact, Net interest income was $2.0B, compared with $792mm in the prior year, driven by higher rates.",quarter,11,Financial Results,Q3_2023,2023-10-13
"Excluding FR impact, Noninterest revenue was a loss of $506mm, compared with a loss of $1.1B in the prior year, and included $669mm of net investment securities losses.",quarter,11,Financial Results,Q3_2023,2023-10-13
"Excluding FR impact, expense of $456mm was up $151mm YoY.",quarter,11,Financial Results,Q3_2023,2023-10-13
"Expect FY2023 net interest income of ~$88.5B, market dependent.",quarter,12,Outlook,Q3_2023,2023-10-13
"Expect FY2023 net interest income excluding Markets of ~$89B, market dependent.",quarter,12,Outlook,Q3_2023,2023-10-13
"Expect FY2023 adjusted expense of ~$84B excluding the FDIC special assessment related to systemic risk determination, market dependent.",quarter,12,Outlook,Q3_2023,2023-10-13
Adjusted expense excludes Firmwide legal expense ($1.3B year-to-date).,quarter,12,Outlook,Q3_2023,2023-10-13
Expect FY2023 Card Services NCO rate of ~2.50%.,quarter,12,Outlook,Q3_2023,2023-10-13
"Management reviews Firmwide results on a 'managed' basis, a non-GAAP measure which reclassifies revenue from tax-exempt sources to a fully taxable-equivalent basis to allow for better comparability.",quarter,13,Glossary,Q3_2023,2023-10-13
"Management also reviews net interest income (NII) and noninterest revenue (NIR) excluding CIB Markets to assess the performance of lending, investing, and deposit-raising activities separately from market volatility.",quarter,13,Glossary,Q3_2023,2023-10-13
"Tangible common equity (TCE), return on tangible common equity (ROTCE), and tangible book value per share (TBVPS) are non-GAAP measures used to assess the Firm's use of equity.",quarter,13,Glossary,Q3_2023,2023-10-13
Adjusted expense and adjusted overhead ratio are non-GAAP measures that exclude certain items like Firmwide legal expense to help investors understand underlying performance.,quarter,13,Glossary,Q3_2023,2023-10-13
"CET1 capital figures reflect the Current Expected Credit Losses (CECL) capital transition provisions, with a remaining benefit of $1.4B as of September 30, 2023.",quarter,14,Footnotes,Q3_2023,2023-10-13
Total excess high-quality liquid assets (HQLA) represents the average eligible unencumbered liquid assets in excess of what is required under the LCR rule.,quarter,14,Footnotes,Q3_2023,2023-10-13
"In 1Q23, revenue and expense allocations to CCB from a Merchant Services agreement were discontinued and are now retained in Payments in CIB; prior periods were revised for conformity.",quarter,14,Footnotes,Q3_2023,2023-10-13
The 3Q22 prior-period amount for HQLA has been revised to use end-of-period figures to conform with the current presentation.,quarter,14,Footnotes,Q3_2023,2023-10-13
"Slide 4 footnotes provide definitions for B3E NPR, GSIB, and details on calculations for operational risk losses and SCB.",quarter,15,Footnotes,Q3_2023,2023-10-13
"Slide 5 footnotes detail the assumptions behind the '19%' capital increase, including a flat balance sheet and the impacts of SA-CCR and the GSIB NPR.",quarter,15,Footnotes,Q3_2023,2023-10-13
"Slide 6 footnotes clarify that metrics for Consumer & Community Banking are actual numbers (not over/under), define mobile users, and specify exclusions like First Republic and Commercial Card.",quarter,15,Footnotes,Q3_2023,2023-10-13
Slide 7 footnotes for Corporate & Investment Bank clarify that metrics are actual numbers and define the scope of client deposits and merchant processing volume.,quarter,15,Footnotes,Q3_2023,2023-10-13
"Metrics for Commercial Banking are actual numbers for all periods, not over/(under).",quarter,16,Footnotes,Q3_2023,2023-10-13
"In 3Q23, certain revenue from CIB Markets products was reclassified from payments to investment banking.",quarter,16,Footnotes,Q3_2023,2023-10-13
Gross revenues include those from a revenue sharing arrangement between CB and CIB.,quarter,16,Footnotes,Q3_2023,2023-10-13
The impact of loans originated under the PPP is included.,quarter,16,Footnotes,Q3_2023,2023-10-13
Loans held-for-sale and at fair value were excluded when calculating the net charge-off/(recovery) rate.,quarter,16,Footnotes,Q3_2023,2023-10-13
C&I and CRE groupings for CB are based on client segments and may not align with regulatory definitions.,quarter,16,Footnotes,Q3_2023,2023-10-13
"This presentation contains forward-looking statements based on current beliefs and expectations, which are subject to significant risks and uncertainties.",quarter,17,Footnotes,Q3_2023,2023-10-13
Actual results may differ from those in the forward-looking statements.,quarter,17,Footnotes,Q3_2023,2023-10-13
"Factors that could cause actual results to differ are described in the company's SEC filings, including the Annual Report on Form 10-K and Quarterly Reports on Form 10-Q.",quarter,17,Footnotes,Q3_2023,2023-10-13
JPMorgan Chase & Co. does not undertake to update any forward-looking statements.,quarter,17,Footnotes,Q3_2023,2023-10-13
