row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Firm LCR,6,,,114.0,112.0,110.0,,,,%,4,Financial Results,Q1_2023,2023-04-14
Bank LCR,7,,,140.0,151.0,181.0,,,,%,4,Financial Results,Q1_2023,2023-04-14
Total excess HQLA,8,,,368.0,437.0,625.0,,,,$B,4,Financial Results,Q1_2023,2023-04-14
HQLA and unencumbered marketable securities,9,,,1431.0,1427.0,1662.0,,,,$B,4,Financial Results,Q1_2023,2023-04-14
Total assets (EOP),10,,,3744.0,3666.0,3955.0,,,,$B,4,Financial Results,Q1_2023,2023-04-14
Deposits (average),11,,,2320.0,2380.0,2516.0,,,,$B,4,Financial Results,Q1_2023,2023-04-14
Tangible book value per share,12,,,76.69,73.12,69.58,,,,USD,4,Financial Results,Q1_2023,2023-04-14
Revenue,1,Increased by $663M from 4Q22.,"Increased by $4,274M from 1Q22.",16456.0,,,,,,$MM,5,Financial Results,Q1_2023,2023-04-14
Net income,2,Increased by $687M from 4Q22.,"Increased by $2,335M from 1Q22.",5243.0,,,,,,$MM,5,Financial Results,Q1_2023,2023-04-14
Equity,1,,,52.0,50.0,50.0,,,,$B,5,Financial Results,Q1_2023,2023-04-14
ROE,2,,,40.0,35.0,23.0,,,,%,5,Financial Results,Q1_2023,2023-04-14
Overhead ratio,3,,,49.0,50.0,63.0,,,,%,5,Financial Results,Q1_2023,2023-04-14
Average loans,4,,,449.8,448.5,428.9,,,,$B,5,Financial Results,Q1_2023,2023-04-14
Average deposits,5,,,1113.0,1142.5,1153.5,,,,$B,5,Financial Results,Q1_2023,2023-04-14
Active mobile customers (mm),6,,,50.9,49.7,46.5,,,,mm,5,Financial Results,Q1_2023,2023-04-14
Debit & credit card sales volume,7,,,387.3,411.1,351.5,,,,$B,5,Financial Results,Q1_2023,2023-04-14
Business Banking average loans,1,,,19.9,20.5,24.8,,,,$B,5,Financial Results,Q1_2023,2023-04-14
Client investment assets (EOP),2,,,690.8,647.1,696.3,,,,$B,5,Financial Results,Q1_2023,2023-04-14
Deposit margin,3,,,2.78,2.48,1.22,,,,%,5,Financial Results,Q1_2023,2023-04-14
Home Lending Average loans,4,,,172.1,174.5,176.5,,,,$B,5,Financial Results,Q1_2023,2023-04-14
Card Services average loans,5,,,180.5,177.0,149.4,,,,$B,5,Financial Results,Q1_2023,2023-04-14
Card Services sales volume,6,,,266.2,284.8,236.4,,,,$B,5,Financial Results,Q1_2023,2023-04-14
Revenue,1,"Increased by $3,002M from 4Q22.",Increased by $24M from 1Q22.,13600.0,,,,,,$MM,6,Financial Results,Q1_2023,2023-04-14
Net income,2,"Increased by $1,107M from 4Q22.",Increased by $49M from 1Q22.,4421.0,,,,,,$MM,6,Financial Results,Q1_2023,2023-04-14
Equity,1,,,108.0,103.0,103.0,,,,$B,6,Financial Results,Q1_2023,2023-04-14
ROE,2,,,16.0,12.0,16.0,,,,%,6,Financial Results,Q1_2023,2023-04-14
Overhead ratio,3,,,55.0,61.0,54.0,,,,%,6,Financial Results,Q1_2023,2023-04-14
IB fees,4,,,1654.0,1467.0,2050.0,,,,$MM,6,Financial Results,Q1_2023,2023-04-14
Average loans,5,,,228.1,225.8,212.4,,,,$B,6,Financial Results,Q1_2023,2023-04-14
Average client deposits,6,,,633.7,649.7,709.1,,,,$B,6,Financial Results,Q1_2023,2023-04-14
Assets under custody,7,,,29.7,28.6,31.6,,,,$T,6,Financial Results,Q1_2023,2023-04-14
Revenue,1,Increased by $107M from 4Q22.,"Increased by $1,113M from 1Q22.",3511.0,,,,,,$MM,7,Financial Results,Q1_2023,2023-04-14
Net income,2,Decreased by $76M from 4Q22.,Increased by $497M from 1Q22.,1347.0,,,,,,$MM,7,Financial Results,Q1_2023,2023-04-14
Equity,1,,,28.5,25.0,25.0,,,,$B,7,Financial Results,Q1_2023,2023-04-14
ROE,2,,,18.0,22.0,13.0,,,,%,7,Financial Results,Q1_2023,2023-04-14
Overhead ratio,3,,,37.0,37.0,47.0,,,,%,7,Financial Results,Q1_2023,2023-04-14
Payments revenue,4,,,2028.0,1989.0,1022.0,,,,$MM,7,Financial Results,Q1_2023,2023-04-14
Gross IB revenue,5,,,881.0,700.0,729.0,,,,$MM,7,Financial Results,Q1_2023,2023-04-14
Average loans,6,,,238.0,235.3,210.7,,,,$B,7,Financial Results,Q1_2023,2023-04-14
Average client deposits,7,,,266.0,278.9,316.9,,,,$B,7,Financial Results,Q1_2023,2023-04-14
Revenue,1,Increased by $196M from 4Q22.,Increased by $469M from 1Q22.,4784.0,,,,,,$MM,8,Financial Results,Q1_2023,2023-04-14
Net income,2,Increased by $233M from 4Q22.,Increased by $359M from 1Q22.,1367.0,,,,,,$MM,8,Financial Results,Q1_2023,2023-04-14
Equity,1,,,16.0,17.0,17.0,,,,$B,8,Financial Results,Q1_2023,2023-04-14
ROE,2,,,34.0,26.0,23.0,,,,%,8,Financial Results,Q1_2023,2023-04-14
Pretax margin,3,,,35.0,33.0,30.0,,,,%,8,Financial Results,Q1_2023,2023-04-14
"Assets under management (""AUM"")",4,,,3006.0,2766.0,2960.0,,,,$B,8,Financial Results,Q1_2023,2023-04-14
Client assets,5,,,4347.0,4048.0,4116.0,,,,$B,8,Financial Results,Q1_2023,2023-04-14
Average loans,6,,,211.5,214.2,214.6,,,,$B,8,Financial Results,Q1_2023,2023-04-14
Average deposits,7,,,224.4,237.0,287.8,,,,$B,8,Financial Results,Q1_2023,2023-04-14
Revenue,1,Decreased by $198M from 4Q22.,"Increased by $1,866M from 1Q22.",985.0,,,,,,$MM,9,Financial Results,Q1_2023,2023-04-14
Net income/(loss),2,Increased by $337M from 4Q22.,"Decreased by $1,100M from 1Q22.",244.0,,,,,,$MM,9,Financial Results,Q1_2023,2023-04-14
