row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Total excess HQLA,3,,,292.0,291.0,307.0,,,,$B,4,Financial Results,Q1_2025,2025-04-11
HQLA and unencumbered marketable securities,4,,,1516.0,1428.0,1496.0,,,,$B,4,Financial Results,Q1_2025,2025-04-11
Total assets (EOP),1,,,4358.0,4003.0,4091.0,,,,$B,4,Financial Results,Q1_2025,2025-04-11
Deposits (average),2,,,2430.0,2417.0,2375.0,,,,$B,4,Financial Results,Q1_2025,2025-04-11
Tangible book value per share,3,,,100.36,97.3,88.43,,,,USD,4,Financial Results,Q1_2025,2025-04-11
Revenue,1,Decreased by $49M from 4Q24.,Increased by $660M from 1Q24.,18313.0,,,,,,$MM,5,Financial Results,Q1_2025,2025-04-11
Expense,2,Increased by $129M from 4Q24.,Increased by $560M from 1Q24.,9857.0,,,,,,$MM,5,Financial Results,Q1_2025,2025-04-11
Credit costs,3,Increased by $6M from 4Q24.,Increased by $716M from 1Q24.,2629.0,,,,,,$MM,5,Financial Results,Q1_2025,2025-04-11
Net income,4,Decreased by $91M from 4Q24.,Decreased by $406M from 1Q24.,4425.0,,,,,,$MM,5,Financial Results,Q1_2025,2025-04-11
Average equity,1,,,56.0,54.5,54.5,,,,$B,5,Financial Results,Q1_2025,2025-04-11
ROE,2,,,31.0,32.0,35.0,,,,%,5,Financial Results,Q1_2025,2025-04-11
Overhead ratio,3,,,54.0,53.0,53.0,,,,%,5,Financial Results,Q1_2025,2025-04-11
Average loans,4,,,574.4,577.6,571.1,,,,$B,5,Financial Results,Q1_2025,2025-04-11
Average deposits,5,,,1053.7,1050.6,1079.2,,,,$B,5,Financial Results,Q1_2025,2025-04-11
Active mobile customers,6,,,59.0,57.8,54.7,,,,mm,5,Financial Results,Q1_2025,2025-04-11
Debit & credit card sales volume,7,,,448.7,477.6,420.7,,,,$B,5,Financial Results,Q1_2025,2025-04-11
Business Banking average loans,1,,,19.5,19.5,19.4,,,,$B,5,Financial Results,Q1_2025,2025-04-11
Home Lending Average loans,2,,,244.3,247.4,257.9,,,,$B,5,Financial Results,Q1_2025,2025-04-11
Card Services average loans,3,,,224.5,224.3,204.7,,,,$B,5,Financial Results,Q1_2025,2025-04-11
Revenue,1,"Increased by $2,068M from 4Q24.","Increased by $2,082M from 1Q24.",19666.0,,,,,,$MM,6,Financial Results,Q1_2025,2025-04-11
Expense,2,"Increased by $1,130M from 4Q24.","Increased by $1,118M from 1Q24.",9842.0,,,,,,$MM,6,Financial Results,Q1_2025,2025-04-11
Credit costs,3,Increased by $644M from 4Q24.,Increased by $704M from 1Q24.,705.0,,,,,,$MM,6,Financial Results,Q1_2025,2025-04-11
Net income,4,Increased by $306M from 4Q24.,Increased by $320M from 1Q24.,6942.0,,,,,,$MM,6,Financial Results,Q1_2025,2025-04-11
Average equity,1,,,149.5,132.0,132.0,,,,$B,6,Financial Results,Q1_2025,2025-04-11
ROE,2,,,18.0,19.0,20.0,,,,%,6,Financial Results,Q1_2025,2025-04-11
Overhead ratio,3,,,50.0,50.0,50.0,,,,%,6,Financial Results,Q1_2025,2025-04-11
IB fees,4,,,2248.0,2479.0,2014.0,,,,$mm,6,Financial Results,Q1_2025,2025-04-11
Average Banking & Payments loans,5,,,339.9,345.0,350.3,,,,$B,6,Financial Results,Q1_2025,2025-04-11
Average client deposits,6,,,1034.4,1011.6,931.6,,,,$B,6,Financial Results,Q1_2025,2025-04-11
Assets under custody,7,,,35.7,35.3,34.0,,,,$T,6,Financial Results,Q1_2025,2025-04-11
Net charge-off/(recovery) rate,8,,,0.15,0.25,0.06,,,,%,6,Financial Results,Q1_2025,2025-04-11
Revenue,1,Decreased by $47M from 4Q24.,Increased by $622M from 1Q24.,5731.0,,,,,,$MM,7,Financial Results,Q1_2025,2025-04-11
Expense,2,Decreased by $59M from 4Q24.,Increased by $253M from 1Q24.,3713.0,,,,,,$MM,7,Financial Results,Q1_2025,2025-04-11
Credit costs,3,Changed from a cost of $25M in 4Q24 to a benefit of $10M in 1Q25.,Changed from a cost of $47M in 1Q24 to a benefit of $10M in 1Q25.,-10.0,,,,,,$MM,7,Financial Results,Q1_2025,2025-04-11
Net income,4,Increased by $66M from 4Q24.,Increased by $293M from 1Q24.,1583.0,,,,,,$MM,7,Financial Results,Q1_2025,2025-04-11
Average equity,1,,,16.0,15.5,15.5,,,,$B,7,Financial Results,Q1_2025,2025-04-11
ROE,2,,,39.0,38.0,33.0,,,,%,7,Financial Results,Q1_2025,2025-04-11
Pretax margin,3,,,35.0,35.0,33.0,,,,%,7,Financial Results,Q1_2025,2025-04-11
"Assets under management (""AUM"")",4,,,4113.0,4045.0,3564.0,,,,$B,7,Financial Results,Q1_2025,2025-04-11
Client assets,5,,,6002.0,5932.0,5219.0,,,,$B,7,Financial Results,Q1_2025,2025-04-11
Average loans,6,,,233.9,233.8,223.4,,,,$B,7,Financial Results,Q1_2025,2025-04-11
Average deposits,7,,,244.1,248.8,227.7,,,,$B,7,Financial Results,Q1_2025,2025-04-11
Revenue,1,Increased by $304M from 4Q24.,Increased by $102M from 1Q24.,2304.0,,,,,,$MM,8,Financial Results,Q1_2025,2025-04-11
Expense,2,Decreased by $365M from 4Q24.,"Decreased by $1,091M from 1Q24.",185.0,,,,,,$MM,8,Financial Results,Q1_2025,2025-04-11
Credit costs,3,Credit benefit increased by $1M from a $1M benefit in 4Q24.,Changed to a $19M benefit from a $46M benefit in 1Q24.,-19.0,,,,,,$MM,8,Financial Results,Q1_2025,2025-04-11
Net income,4,Increased by $357M from 4Q24.,"Increased by $1,017M from 1Q24.",1693.0,,,,,,$MM,8,Financial Results,Q1_2025,2025-04-11
