text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
"Net income of $2.5B was down 24% YoY, while revenue of $11.0B was up 3% YoY.",quarter,8,Financial Results,Q4_2023,2024-01-12
"IB revenue of $1.6B was up 13% YoY, driven by higher debt and equity underwriting fees.",quarter,8,Financial Results,Q4_2023,2024-01-12
Payments revenue of $2.3B was up 10% YoY.,quarter,8,Financial Results,Q4_2023,2024-01-12
"Lending revenue of $150mm was down 54% YoY, driven by mark-to-market losses on hedges.",quarter,8,Financial Results,Q4_2023,2024-01-12
"Markets revenue of $5.8B was up 2% YoY, with Fixed Income up 8% and Equity Markets down 8%.",quarter,8,Financial Results,Q4_2023,2024-01-12
Securities Services revenue of $1.2B was up 3% YoY.,quarter,8,Financial Results,Q4_2023,2024-01-12
"Expense of $6.8B was up 4% YoY, driven by the timing of revenue-related compensation.",quarter,8,Financial Results,Q4_2023,2024-01-12
"Credit costs were $210mm, consisting of $121mm in NCOs and an $89mm net reserve build.",quarter,8,Financial Results,Q4_2023,2024-01-12
"Net income (ex. FR) was $1.5B, up 4% YoY.",quarter,9,Financial Results,Q4_2023,2024-01-12
"Revenue (ex. FR) was $3.7B, up 7% YoY, driven by higher net interest income.",quarter,9,Financial Results,Q4_2023,2024-01-12
"Expense (ex. FR) was $1.4B, up 9% YoY, driven by an increase in employees and technology investments.",quarter,9,Financial Results,Q4_2023,2024-01-12
"Credit costs (ex. FR) were $269mm, with a net reserve build of $142mm related to commercial real estate valuations.",quarter,9,Financial Results,Q4_2023,2024-01-12
Average loans (ex. FR) of $242B were up 3% YoY and down 1% QoQ.,quarter,9,Financial Results,Q4_2023,2024-01-12
Average deposits (ex. FR) of $262B were down 6% YoY and flat QoQ.,quarter,9,Financial Results,Q4_2023,2024-01-12
"Net income (ex. FR) was $925mm, down 18% YoY.",quarter,10,Financial Results,Q4_2023,2024-01-12
"Revenue (ex. FR) of $4.7B was up 2% YoY, driven by higher management fees offset by lower net interest income.",quarter,10,Financial Results,Q4_2023,2024-01-12
"Expense (ex. FR) of $3.4B was up 11% YoY, driven by higher compensation and investments.",quarter,10,Financial Results,Q4_2023,2024-01-12
"AUM of $3.4T and client assets of $5.0T were each up 24% YoY, driven by net inflows and higher market levels.",quarter,10,Financial Results,Q4_2023,2024-01-12
Average loans (ex. FR) of $215B were up 1% YoY and up 2% QoQ.,quarter,10,Financial Results,Q4_2023,2024-01-12
Average deposits (ex. FR) of $215B were down 9% YoY but up 7% QoQ.,quarter,10,Financial Results,Q4_2023,2024-01-12
"Revenue (ex. FR) was $1.8B, up $597mm YoY.",quarter,11,Financial Results,Q4_2023,2024-01-12
"Net interest income (ex. FR) was $2.5B, up $1.2B YoY, driven by higher rates and balance sheet mix.",quarter,11,Financial Results,Q4_2023,2024-01-12
"Noninterest revenue (ex. FR) was a net loss of $687mm, compared with a net loss of $115mm in the prior year.",quarter,11,Financial Results,Q4_2023,2024-01-12
"Expense (ex. FR) of $3.4B was up $3.0B YoY, predominantly driven by the FDIC special assessment.",quarter,11,Financial Results,Q4_2023,2024-01-12
The outlook for 2024 Net Interest Income (NII) excluding Markets is approximately $88 billion.,year,13,Outlook,Q4_2023,2024-01-12
"The forecast assumes 6 rate cuts in 2024, with the Federal Funds target upper bound at 4.0% by year-end.",year,13,Outlook,Q4_2023,2024-01-12
"Rate and repricing dynamics, including deposit repricing and internal migration, are expected to create an $8B headwind.",year,13,Outlook,Q4_2023,2024-01-12
"Balance sheet growth and mix, including loan growth and modest deposit attrition, are expected to contribute $1.5B.",year,13,Outlook,Q4_2023,2024-01-12
The adjusted expense outlook for 2024 is approximately $90 billion.,year,14,Outlook,Q4_2023,2024-01-12
"Key drivers for 2024 expenses include business-growth-driven hiring, increased technology spending, continued investments in the business (marketing, bankers, advisors), higher market-dependent expenses, and residual inflationary pressures.",year,14,Outlook,Q4_2023,2024-01-12
The annualization of the First Republic acquisition is expected to result in a significantly lower exit run rate for 2024.,year,14,Outlook,Q4_2023,2024-01-12
"Expect FY2024 net interest income of ~$90B, market dependent.",year,15,Outlook,Q4_2023,2024-01-12
"Expect FY2024 net interest income excluding Markets of ~$88B, market dependent.",year,15,Outlook,Q4_2023,2024-01-12
"Expect FY2024 adjusted expense of ~$90B, market dependent, which excludes Firmwide legal expense.",year,15,Outlook,Q4_2023,2024-01-12
Expect FY2024 Card Services NCO rate of < 3.50%.,year,15,Outlook,Q4_2023,2024-01-12
"The Firm reviews results on a ""managed"" basis, a non-GAAP measure that presents revenue on a fully taxable-equivalent basis.",both,17,Footnotes,Q4_2023,2024-01-12
"Metrics excluding CIB Markets (NII and NIR) are non-GAAP measures used to assess performance of lending, investing, and deposit-raising activities separate from market volatility.",both,17,Footnotes,Q4_2023,2024-01-12
"Fourth-quarter 2023 net income, EPS and ROTCE excluding significant items (FDIC special assessment and net investment securities losses) are non-GAAP financial measures.",quarter,17,Footnotes,Q4_2023,2024-01-12
"Tangible common equity (TCE), return on tangible common equity (ROTCE), and tangible book value per share (TBVPS) are non-GAAP financial measures used to assess the Firm's use of equity.",both,17,Footnotes,Q4_2023,2024-01-12
Adjusted expense and adjusted overhead ratio are non-GAAP financial measures that exclude Firmwide legal expense.,both,17,Footnotes,Q4_2023,2024-01-12
"The presentation reflects the Current Expected Credit Losses (CECL) capital transition provisions, with a $2.9B benefit being phased out at 25% per year.",quarter,18,Footnotes,Q4_2023,2024-01-12
Total excess high-quality liquid assets (HQLA) represent the average eligible unencumbered liquid assets in excess of what is required to meet stress-period cash outflows.,both,18,Footnotes,Q4_2023,2024-01-12
"In Q1 2023, allocations of revenue and expense for Merchant Services were discontinued in CCB and retained in CIB.",quarter,18,Footnotes,Q4_2023,2024-01-12
The 4Q22 prior-period amount for HQLA has been revised to conform with the current presentation's use of end-of-period figures.,quarter,18,Footnotes,Q4_2023,2024-01-12
This presentation contains forward-looking statements that are based on current beliefs and expectations and are subject to significant risks and uncertainties.,both,20,Footnotes,Q4_2023,2024-01-12
Actual results may differ materially from those set forth in the forward-looking statements.,both,20,Footnotes,Q4_2023,2024-01-12
"Factors that could cause results to differ are described in the company's SEC filings, including the Annual Report on Form 10-K and Quarterly Report on Form 10-Q.",both,20,Footnotes,Q4_2023,2024-01-12
JPMorgan Chase & Co. does not undertake to update any forward-looking statements.,both,20,Footnotes,Q4_2023,2024-01-12
