row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Expense,2,,,3388.0,3154.0,3055.0,,,,Million USD,10,Financial Results,Q4_2023,2024-01-12
Credit costs,3,,,-1.0,31.0,45.0,,,,Million USD,10,Financial Results,Q4_2023,2024-01-12
Net income,4,,,1217.0,1367.0,1426.0,,,,Million USD,10,Financial Results,Q4_2023,2024-01-12
Average equity,1,,,17.0,16.0,17.0,,,,Billion USD,10,Financial Results,Q4_2023,2024-01-12
ROE,2,,,28.0,26.0,26.0,,,,%,10,Financial Results,Q4_2023,2024-01-12
Pretax margin,3,,,34.0,31.0,33.0,,,,%,10,Financial Results,Q4_2023,2024-01-12
"Assets under management (""AUM"")",4,,,3422.0,3186.0,2766.0,,,,Billion USD,10,Financial Results,Q4_2023,2024-01-12
Client assets,5,,,5012.0,4644.0,4048.0,,,,Billion USD,10,Financial Results,Q4_2023,2024-01-12
Average loans,6,,,227.0,210.8,214.2,,,,Billion USD,10,Financial Results,Q4_2023,2024-01-12
Average deposits,7,,,226.6,202.0,237.0,,,,Billion USD,10,Financial Results,Q4_2023,2024-01-12
Revenue,1,,,1777.0,1477.0,1180.0,,,,Million USD,11,Financial Results,Q4_2023,2024-01-12
Expense,2,,,3593.0,686.0,570.0,,,,Million USD,11,Financial Results,Q4_2023,2024-01-12
Credit costs,3,,,-2.0,47.0,-14.0,,,,Million USD,11,Financial Results,Q4_2023,2024-01-12
Net income/(loss),4,,,-875.0,725.0,586.0,,,,Million USD,11,Financial Results,Q4_2023,2024-01-12
