year,quarter,speaker,text,financial_terms,is_citi_member,Mentions Capital Adequacy & Buffers,Capital Adequacy & Buffers phrase,Mentions Liquidity,Liquidity phrase,Mentions Credit Risk & Loan Quality,Credit Risk & Loan Quality phrase,Mentions Stress Testing & Scenario Planning,Stress Testing & Scenario Planning phrase,Mentions Supervisory & Regulatory References,Supervisory & Regulatory References phrase,Mentions Regulators,Regulators phrase,Mentions Frameworks,Frameworks phrase,Mentions Internal Metrics,Internal Metrics phrase
2022,Q1,Erika Najarian,"Hi. Good morning. I just wanted to ask you a question, Jane and Mark, on CET1, and wanted to make sure we get – your investors get the message correctly. So from the 11.4%, you said that net income capital release from divestitures and DTA utilization are going to be the drivers to build to 12% CET1 by year end 2021. Obviously, AOCI is a wild card, unpredictable, but perhaps give us a sense of should we then think about the buyback as just a fallout in terms of that equation, right, is the first question. Number two, what is the desire to increase the dividend even nominally in this stress test year? And third, how does the DTA impact that was negative in the first quarter turn to a positive impact? And Mark, nice job on the RWA. I think that everybody was scared that that was going to be a big negative number this quarter.","net income, cet1",no,Yes,cet1,No,,No,,Yes,stress test,No,,No,,No,,No,
2022,Q1,Mark Mason,"Thank you. You got a lot there, Erika, that we've got to unpack, so I'll try to capture it all and you'll point to whatever I may miss. But let's start with the beginning of your question, just kind of the 12% and how we build back up to the 12%. So, we ended the quarter at an estimated 11.4%. To get to the 12%, that'd be somewhere between $7 billion and $8 billion of capital that would be required. Jane mentioned, I mentioned there are a number of puts and takes that play through that. You pointed out a few of them. So, you will have estimates for our net income between the second and fourth quarter, so you can forecast what that would be. There is probably another $1.6 billion or so of a benefit from the DTA. So, what I mean by that? There's the $800 million that I've referenced in the past of utilization of the DTA, and the balance would be the elimination of the amount that we tripped above the threshold this quarter. So, there are two components that carry forwards that impact, the DTA and then there is the timing difference which is equated to about 10% of our capital. So, this quarter we actually tripped that timing difference portion of the disallowed DTA, in part because of how the OCI reduction played through. So as that bleeds back in, over time, we would expect to have capital build up which increases that threshold and, therefore, be able to back off the increase that we saw in the quarter related to the DTA. The third component would be the capital from exits. So, you didn't mention that one. As you know, there are a number of exits that we're looking to close by the end of the year. They'll contribute about $4 billion of capital to that equation. And then there is the bleeding back in of the OCI impact, which will, give or take, give us another $1 billion. So, those are the pluses. Those are the things that kind of play in on the capital-generation side. And then on the offsets, you've got preferred dividends, you got common dividends, whatever growth we play out or put to work from an RWA point of view, and that leaves the balance for share repurchases. As I mentioned in my prepared remarks, we would expect in the second quarter a modest level of buybacks in light of all of those puts and takes. The good news is that the headwinds that we've talked about, all things being equal, so assuming no further rate changes, many of those headwinds bleed back in over time, allowing for us to do what we've committed to, which is returning capital to shareholders over time. In terms of dividends, we always look at that as part of the CCAR submission and part of our broader capital planning, but we'll see how the results come out from CCAR. But I would lean in on a point we've had to make a number of times now, which is given where we're trading, it makes a lot of sense to be doing buybacks, and so we'll likely continue to lean that way as opposed to doing a lot to change the dividend. But stay tuned as the capital planning continues to evolve.","billion, net income, million",yes,No,,No,,No,,Yes,ccar,No,,No,,No,,No,
2022,Q1,Operator,And your next question comes from Mike Mayo with Wells Fargo. Your line is open.,,no,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mike Mayo,"Hi. Could you talk some about Treasury and Trade Solutions both at the first quarter level – I guess, Securities Services did better, what you're seeing just combination of rates and more corporate demand and the complexity around the global situation. And then just more generally, the joint calling efforts you guys are doing with lending and payments, so from the specific to the general.",,no,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"Well, maybe I kick off with a couple of pieces and then hand it over to Mark. I think what we've seen, frankly, Mike, across the board, this quarter has been the value of our global network that we talked about, be it in Markets we had a lot of strong corporate activities and FX, that we saw tremendous activity for TTS, growing with our commercial banking clients, and we saw a lot of linkages across, and obviously it was a strong quarter for us in trade because, again, with the global network the ability to provide clients with end-to-end solutions in this interesting world that we're living in is something they really rely upon us. So you saw trade loans up 16%, you saw really many of the drivers that we laid out for you in Investor Day performing particularly strongly. But, Mark, why don't I pass to you?",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Yeah. I'd make a couple comments. So, one, I'd point out that, again, we had a strong quarter in TTS. The revenues were up 18% versus the prior quarter up – that was year-over-year – versus the prior quarter up 8%, and, yes, some of that was due to rates playing through, so net interest income was up 18%. But look at the noninterest revenue, that was up 19%. So to your point, Jane, we're seeing good fee revenue growth play through as well. Securities Services had a good quarter as well, it was up 6% revenue year-over-year and part of that was through fee revenue growth as well. So as you said good, strong engagement with clients and helping them think through some of the uncertainty that's out here, particularly as it relates to supply chains, helping them work through with their partners through the trade lending growth that we're seeing and making good headway with the commercial client offering as well. So I would say a very good quarter – very strong quarter for TTS, and we expect that momentum to continue.","revenue, net interest income",yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"And, to your question about sort of joint calling effort, we're quite for it – making sure that we're forensically managing the synergies that we talked about cross-calling efforts, and I think Paco and I are both pleased with how those are going, and this quarter was an example of that.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Operator,And your next question comes from Matt O'Connor with Deutsche Bank. Your line is open. MATT O’,,no,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Connor,"Hi. I was hoping to follow up on the Russian slide here – a bit on the Russian slide 6. I guess, first question, why don't you take just a bigger kind of stab at reserving for maybe the severe stress scenario? I'm not really an expert on what's going on, but from what I read it – it feels kind of pretty severe and it seems like, broadly speaking, kind of other corporations, not as many banks, but just corporations are taking kind of more material losses versus $1 billion on $10 billion. And then just a related question, if you could elaborate on what the broader impacts is. I guess I'm a little surprised that the reserve for that was as big as the direct Russian reserve or roughly the same.",billion,no,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Mark Mason,"Sure. Why don't I take that? So the first thing I'd say is that we're not a $10 billion, right? So we ended the year last year, 2021, at $9.8 billion. We ended the quarter at $7.8 billion of exposure, so we brought the exposure down by $2 billion inside of the last three months. I'd also point out that a number of things were important components of that. So if you look at slide 6, you'll see that the loans – and these are both ICG and consumer loans, largely ICG, largely corporate loans – have come down by $600 million, and that's really been a reduction in our risk exposure, right? So borrowers paying down, us limiting the extension of new credit, et cetera. The AFS securities have come down $600 million, and that is really a reduction mostly driven by sales. So we've gotten out of those securities. Yes, there are some market-to-market losses, but they're not material. That flows through OCI, not material. You can see that the off-balance sheet unfunded commitments have trended down as well. Deposits and cash equivalents have gone up because we've actually seen the repayment of those loans come back, and we've been – we've had to put that cash with the central bank just given some of the restrictions that are there. We've been actively working down the reverse repo assets which are really secured with sovereign bond exposure, and we've been bringing down the third-party cross-border exposure. So a lot of hard work has gone into bringing that exposure down to $7.8 billion, and if you think about the $1 billion that I referenced, it's kind of net of $6.8 billion, right? So the second part of your question was how do we think about reserves and what are those different components. Well, we look at the reserves in terms of the actual name-specific loan exposure we have, how we're rating those entities in this environment, and then we actually run that through our models and we come up with an appropriate reserve tied to that rating. So that $1 billion is related to the direct exposure that we have to these Russian clients and entities. The broader impact takes into consideration the spillover effect that might impact other names or other industries outside of Russia due to things like commodity pricing and what have you. And then there's a third component that is tied to the global uncertainty that gets created from a dynamic like this. So we built the reserves considering those multiple components. The last point I'd make is that when you look at some of the names, there are a significant number of names that are large multinational names that have this exposure in the country, and they provide parental support for some of the exposure that's here as well. So we really try to take a detailed comprehensive look at this and build the reserves in a way that we think are prudent recognizing that there are other scenarios that could play out that we want to be prepared for and have a view on as well.","billion, million",yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Operator,And our next question – thank you. Our next question comes from Gerard Cassidy with RBC Capital Markets.,,no,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Gerard Cassidy,"Mark, you did a good job in describing the CET1 ratio walk for us. What's new that none of us have experienced yet on an ongoing basis is the SA-CCR, the 49 basis points that reduced your CET1 ratio. Can you share with us how does that work on an ongoing basis? Is that a number that's going to stay constant, or does that change every quarter based upon increase or lower risk in this area?",cet1,no,Yes,cet1,No,,No,,No,,No,,No,,No,,Yes,cet1 ratio
2022,Q1,Mark Mason,"Yeah. It's an increase in our risk-weighted assets that's really tied largely to the derivative exposures that we have. What I'd say is obviously how one manages their exposures and balance sheet and engagement with clients will impact that. But importantly, it's a market dynamic that needs to play out as well. So as more RWA and capital is required for these types of positions, there has to – it's going to impact returns and ultimately will impact pricing as the market starts to incorporate this now higher requirement. And so it will continue to evolve. The thing I'd point you to is that as we think about managing our businesses and in particular Markets, you would have heard us mention at Investor Day that we're looking – continually looking for opportunities to optimize the balance sheet – optimize RWA, right? And so we talked about targeting our revenue to RWA for our Markets business and we're actively working at that now. And that's going to be important as we continue to manage not only the balance sheet requirements that we have but our intent to try and return more capital to shareholders and improve our returns.","revenue, risk-weighted assets",yes,Yes,risk-weighted assets,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Operator,Your next question comes from Ebrahim Poonawala with Bank of America.,,no,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Ebrahim Poonawala,"Good morning, Jane, Mark. Just sticking with capital, a two-part question. One, if rates continue to move higher, Mark, is there anything you can do to hedge the AOCI? And secondly, if you can walk us through around Banamex if you do strike a deal at some point this year, what are the implication on capital at deal announcement versus deal close, would appreciate that?",,no,No,,No,,No,,No,,No,,No,,No,,No,
