bank,quarter,speaker,role,paragraph,word_count,page_number,sequence,confidence,topic_category
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"I just want to address the second part of your question, Jim, in terms of the path to the less
than 60%. I think Jane framed it out quite nicely in that we're building a franchise that will have continued
and sustainable top line revenue momentum. We are focused on driving out the inefficiencies and stranded
costs and Legacy Franchise expenses from the organization and the benefits from these investments we've
made in the Transformation will yield a lower cost structure over time as well. And so the combination of
those things will get us to that targeted operating efficiency as we come out of 2026 at less than 60%. So
yes, there is still a path, and we are focused on that path.",124,7,11,0.6,financial_results
Citigroup,Fourth Quarter 2024,JIM MITCHELL,OTHER,"Okay. Great. That's very helpful. And then just maybe pivoting to the buyback, great to see
the $20 billion authorization. Obviously, I can't help but ask about beyond 1Q. If we do sort of get this more
certainty maybe no increase in capital requirements, does that start to help you maybe at least temporarily
lower the buffer to take advantage of, you’re trading below tangible book and getting the accretion and
accelerating the buyback? Or how do you think about the rest of the year on the buybacks?",88,7,12,0.6,qa_session
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"Look, I'll make a couple of comments. So one, we're very pleased to have announced the
buyback program at $20 billion. I think, in many ways, that is a demonstration, if you will, of continued
confidence in the earnings generation and momentum that we have around that as well as the recognition
that we are trading below book and not where we want to be. And you've heard both Jane and I speak to the
importance of increasing and doing more in the way of buybacks. We've increased that to $1.5 billion. I think
that supports that same degree of confidence that we have in the momentum. We are constantly looking at
every year on an annual basis as we go through our planning process at the management buffer that we have
of 100 basis points.
And despite the last couple of quarters at running above the 13.1%, our target is the 13.1%. And so as we go
through the balance of the year, as we get clarity on reg rules and what have you, you'll see us continue to
manage down to that 13.1% and obviously, the two important characteristics that we keep in mind is the
Copyright © 2025 Citigroup Inc. 7",204,7,13,0.6,financial_results
Citigroup,Fourth Quarter 2024,OPERATOR,MODERATOR,"Our next question comes from the line of John McDonald with Truist Securities. Your line is now
open, please go ahead.",21,8,14,0.6,qa_session
Citigroup,Fourth Quarter 2024,JOHN MCDONALD,OTHER,"Thank you. Mark, just wanted to follow up on your answer to Jim right there. So when
you look at the 10% to 11% RoTCE target for 2026. Is that kind of assuming you'll be around the target or like
using the 13.1% as the target? And then longer term, you hope to bring that target down as rules get clarified
and the franchise gets simplified?",66,8,15,0.6,opening_remarks
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"Hey John, good to hear from you. In fact, yes, the 10% to 11% RoTCE target we've set for 2026
does assume that we are running and using a 13.1% CET1 ratio obviously, there'll be an SCB that comes out
sometime later this year. The rules are continuing to evolve and what have you, and we'll factor those in as
we know more about them. But yes, it does assume the 13.1% which is our management target, if you will, for
CET1.",82,8,16,0.6,general_discussion
Citigroup,Fourth Quarter 2024,JOHN MCDONALD,OTHER,"Okay. Great. And then my next question is, could you clarify what you're expecting this
year for card net charge-offs? Understand the quarterly cadence has seasonality. But for the full year, it
sounds like you're expecting the charge-offs to be in the range of last year's guidance. Can you just kind of
clarify that? And then maybe just talk about provision build, which you had a lot of in 2024 and whether that
could slow down as the maturation of balances slows down? Thank you.",85,8,17,0.6,opening_remarks
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"Sure. So in terms of the net credit losses and the forecast that we have, we are expecting
that the net credit losses will be at the high end of the range that we've given. So in the case of Branded Cards,
that 3.5% to 4% is the full year range that we've given. In the case of Retail Services, it's 5.75% to 6.25%,
excuse me, and so right now, Retail Services is at that high end at 6.28% for 2024. We'd expect it to stay at
that high end, and then on Branded Cards, we're at 3.64%, we'd expect it to creep up to about the 4% level
over the course of the year. But remember, that is a full year NCL rate, and we know that there's seasonality
through the quarters. And so you'll see movement through the quarters based on that dynamic.
And then just in terms of the provision build, there are a couple of drivers there. One is obviously volume, and
we do expect to see volume growth in USPB. So that will be an important factor in how the CECL calculations
are done. And then the second driver is obviously, as you know, we run models and the models they have a
base scenario, they have a downside, an upside scenario depending on the broader macro factors,
unemployment, GDP, et cetera, et cetera, and our weighting towards the likelihood of high or upside or
downside scenario, those factors become important considerations in the provisioning. And so that's kind
of how we think about that going into 2025. I hope that helps.",267,8,18,0.6,guidance
Citigroup,Fourth Quarter 2024,OPERATOR,MODERATOR,"Our next question will come from Mike Mayo with Wells Fargo. Your line is now open, please go
ahead.",19,8,19,0.6,qa_session
Citigroup,Fourth Quarter 2024,MIKE MAYO,OTHER,"Hi, just a clarification. So you are guiding for three consecutive years of lower expenses
including that $600 million repositioning this year. So they were down in 2024, you're guiding them lower in
2025 and you guide them lower in 2026 again, and you're also guiding for three consecutive years of higher
revenues based on what you said. I didn't see that in the written materials, but I think I heard you say that,
Mark. So three years of lower expenses, three years of higher revenues to at least 2026. Is that correct?",93,8,20,0.6,financial_results
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"Yes, that is correct. I think you described it correctly. We're seeing continued momentum on
the top line. and we're focused on continuing to bring our expenses down just as we did in 2024, a tad bit in
2025 and then more in 2026.",44,8,21,0.6,general_discussion
Citigroup,Fourth Quarter 2024,MIKE MAYO,OTHER,"All right. And then I guess this is for Jane. Well, that beats haggis on toast, if you achieve that.
But I'm wondering why that efficiency might not improve even more. I mean if you have $5 billion of stranded
costs and Transformation costs in 2024 and some of that goes down. I heard you're investing in tech and
Copyright © 2025 Citigroup Inc. 8",65,8,22,0.6,general_discussion
Citigroup,Fourth Quarter 2024,JANE FRASER,OTHER,"First of all, I'm a little disturbed by your comment about haggis on toast. It's haggis with
mashed potatoes and whiskey, just to be clear for everyone. It's Robert Burns night coming up soon. On
expenses, Mike and everyone, expenses are a focus not just for Mark and I, but for the entire management
team. We're making sure that focus and discipline is really getting installed and instilled into the DNA of Citi.
And you've seen that, as you referenced, we've been meeting our expense guidance over the last couple of
years, we've been driving positive operating efficiency.
We're all very focused on improving our operating expense base. Consolidating technology, the
simplification work, automation, getting different utilities put in place rather than fragmented around the
firm, using AI tools now our, location strategy, right? So that core operating expense base is something that
we're really looking at how do we drive to be more efficient, more modern and getting it to the level it should
be for the revenues that we generate. We all want Transformation to get done quickly, and we want it to get
done right. So that is why our expenses are temporarily elevated to make the investments that needed there.
This is not all run rate.
And as you say, as CEO, I will not sacrifice the right long-term investments in our growth and
competitiveness for short-term expediency. This is a way point. It's not a destination. And we know what we
need to do. We've got our arms around all of this, we're just getting on with execution.",263,9,23,0.6,financial_results
Citigroup,Fourth Quarter 2024,OPERATOR,MODERATOR,"Our next question will come from the line of Betsy Graseck with Morgan Stanley. Your line is
now open, please go ahead.",22,9,24,0.6,qa_session
Citigroup,Fourth Quarter 2024,BETSY GRASECK,OTHER,"Hi good morning. Jane, just to follow up on what you mentioned, as you do execute, we all
expect, or at least I do, that the market will be giving you credit for that execution, and meaning multiples
should increase. I have a few questions here on the buyback, because right now, today, as we all know, you're
trading below book, it has got to be, buying back stock has got to be the most accretive use of capital today.
And why wait on the buyback when you can lean into it today and keep your 2026 guide, I mean, the old
guide was 11% to 12% RoTCE, new guide, 10% to 11%.
I'm kind of confused why you don't pull that lever more aggressively because buying back the stock, the
accretion to tangible book, it’s got to be the easiest thing to do to help that RoTCE go up. When you compare
and contrast against all the hard work you've been doing, which will obviously be very important to getting
the RoTCE up. But why not lean more into that buyback? And can you give us a sense of the timing of that
$20 billion? Thank you.",198,9,25,0.6,opening_remarks
Citigroup,Fourth Quarter 2024,JANE FRASER,OTHER,"Yes, Betsy, I love the passion. I've got to say I can hear the determination in your voice. I think
it's the same determination we feel. Look, we're very committed to returning capital shareholders period. Full
stop. We’ve got a $20 billion buyback program, as Mark said, that is reflective of the growing earnings power
that we have and our confidence in the path ahead. We've been increasing the amount of capital return over
the last few quarters. I'm also happy to see a more aggressive Basel III scenario firmly off the table.
We have, nonetheless, a 13.1% CET1 ratio that we put in the plan that can change over time as well. But there's
not, there's not complete certainty around where the capital requirements are going to go. We hope there
will be a holistic one that is reflective of the risk profile of the bank that's been improving significantly over
the last few years. So we have some great growth opportunities. I look at the different areas. I'm excited by
what we see in Wealth. We've got a great runway with our clients who want to do business with us in
Banking.
We've got some very important investments and an investment agenda that we're putting in to help us
continue growing the bank, gaining competitiveness in a responsible way. I'll just conclude with exactly your
point. The bar is high on those investments. We don't make them unless we see extremely attractive marginal
RoTCE. And there's a lot of things we say no to in order to put the $20 billion program in place. In terms of
Copyright © 2025 Citigroup Inc. 9",275,9,26,0.6,financial_results
Citigroup,Fourth Quarter 2024,OPERATOR,MODERATOR,"Our next question will come from the line of Ebrahim Poonawala with Bank America. Your line
is now open, please go ahead.",22,10,27,0.6,qa_session
Citigroup,Fourth Quarter 2024,EBRAHIM POONAWALA,OTHER,"I guess maybe, Jane, I wanted to follow up on a couple of segments. I think you said
2024 turning point for Wealth, and we've seen very steady progress on the RoTCE in Wealth. Just talk to us
in terms of, Andy Sieg’s being in the seat for a year now, you've seen progress. What needs to happen? Just
talk to us a little bit about the franchise positioning competitively both in the U.S. and abroad as you think
about going head-to-head with some of your global competitors and where are the most likely growth
opportunities over the next year or two?",102,10,28,0.6,general_discussion
Citigroup,Fourth Quarter 2024,JANE FRASER,OTHER,"Yes. So, our vision, my vision is that we become a global leader in wealth management. There
are not many firms that have the globality of Citi. We have all the assets, especially the client relationships
all around the world, which were just not tapped for investments in the past. It's a big opportunity. We have
$5.3 trillion “off us” from existing clients. And I think the fact that I would find interesting is 55% of it, it's
almost $3 trillion with affluent clients in our branch network in America, in the U.S.
We're also very well-positioned to capture new wealth, just think about what Citi does in terms of our
footprint, our capabilities really supports the wealth creation, from the Commercial Bank, our Investment
Banking side, Markets, obviously, Services supporting it, too. These are all great feeders for us to strengthen
wealth relationships with our clients.
So we brought in Andy. Andy greatly sharpened the focus on the investment business, this is where we see
the big upside. He's been building a differentiated value proposition around wealth creation. He’s been
leveraging a lot of the leading capital market capabilities, the different relationships we have with PE firms,
asset managers around the world. Get a great platform in place and importantly, improving our client
experience, again, particularly around investments, asset allocation, performance, et cetera. What I have
also got to love is the surgical approach that he's taking to the expense base and driving productivity,
something that we're doing across the firm. I'm also excited by the talent he's bringing, in the market leaders
like Kate Moore and Keith Glenfield in the investment space. And we've made a lot of investments in training
and building this investment culture that we didn't have before.
So to your point, the proof points are working. Q4 revenue up 20%, operating margin at 21% on its way to
25% to 30%, 10% RoTCE on its way to 15% to 20%. These last few quarters, you've just seen us on that march.
And the number I'm most excited by, net new investment asset inflow of $42 billion, up 40% year-over-year.
The strategy is working. We're going to be a leader in wealth, the growth opportunities, Asia U.S., Middle East,
all the places where we are with our existing clients and the new wealth generators of the future.",392,10,29,0.6,financial_results
Citigroup,Fourth Quarter 2024,EBRAHIM POONAWALA,OTHER,"And if I can draw a parallel to the Banking segment with the RoTCE is about 5% to
6% last few quarters. There you brought in Vis Raghavan from JPMorgan. Just give us a sense of could we see
a similar trajectory in that business over the next 12 months and where the opportunities are to improve that
ROE?",59,10,30,0.6,general_discussion
Citigroup,Fourth Quarter 2024,JANE FRASER,OTHER,"Yes. I think absolutely, a strong performance, the strategy we have in place is delivering nicely.
So if you look at the revenues, the investment banking fees, positive operating leverage all through the year
and gaining share. All three products gaining share in all three in all of the geographies we're in, I'm really
excited and happy to see the health care and technology, two areas that we've been investing heavily behind.
And you're also seeing us playing a leading role in some of the key transactions, the biggest transactions last
year. Mars Kellanova, single adviser, big role in Boeing, and then just this week, the J&J acquisition of
Intracellular. So the deals that matter, this is where you're seeing Citi playing a leading role in.
So when Vis joined, the mandate, a bit similar to Andy, becoming a top three investment bank, deliver the
full potential of One Citi to our clients. So we've got a lot of upside there, instilling some more discipline in
capital allocation, client coverage, some of the cross-firm linkages. We're getting a lot more from our people.
We've been bringing in some great new talent we've also been cutting some of the unproductive spend. So I
Copyright © 2025 Citigroup Inc. 10",208,10,31,0.6,financial_results
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"Ebrahim, I thought I heard you say RoTCE of 5%. It's actually 7% for the full year for Banking
and on its way to the target that we've set of mid-teens for our Banking business.",35,11,32,0.6,general_discussion
Citigroup,Fourth Quarter 2024,OPERATOR,MODERATOR,"Our next question comes from the line of Erika Najarian with UBS. Your line is now open, please
go ahead.",20,11,33,0.6,qa_session
Citigroup,Fourth Quarter 2024,ERIKA NAJARIAN,OTHER,"Thank you. Hate to ask the umpteenth question on the buyback, but clearly, the way the
stock is reacting today, the buyback is very important to your shareholders. I guess my first question, if I
could have the two questions, is it's very clear that you want to return capital to shareholders. It's very clear
that you have excess capital. It's very clear that your PPNR trajectory is positive. And so what are the specific
mile markers that that Citi needs to see in order to increase that pacing from that $1.5 billion a quarter to
something is more suggestive of a pace that that would be in line with that $20 billion authorization? And I
know that's been asked of you already, but is it the consent order? Is it the stress test? We had some news
over the holidays that were positive for the sector. Like what are those specific mile markers? I mean you're
doing it on the PPNR side, right? Like what do you need to see to have even more confidence, again, like
leaning into Betsy’s words, to go all in on the buyback?",189,11,34,0.6,opening_remarks
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"Yes. So thank you for the question. Let me make clear a couple of things. So one, and I've
said this already, so I apologize for repeating myself, but one, our target for CET1 is 13.1%, and so what you're
going to see over the course of the year is us managing down to that target? That's kind of one point.
The second point I want to be clear is that it's not the consent order. That's not something that that is
impacting the capital actions and decisions that we take. We obviously forecast out the performance. As I've
said, Jane has said already, we see very strong continued earnings momentum, managing towards a 13.1%
CET1 ratio. And you'll see the buyback trajectory reflect getting down to that CET1.
The one thing I will mention, and you mentioned already is that we obviously have another CCAR process,
stress test that we will go through. And none of us can predict kind of what's on the other side of that from
an SCB point of view, but that will be an important factor as we get through the first half of the year and into
the second half of the year in terms of kind of the level of buybacks that we will be taking on a quarter-by-
quarter basis.
So I hope that helped. There are no artificial constraints, so to speak, that are in place. This is us planning
and forecasting the performance of the franchise ensuring they can fuel high-returning growth opportunities
so that we're building a sustainable franchise, looking at the capital requirements that we have and the
management buffer that we put in place and therefore, taking that excess capacity and putting it towards
buybacks, but with an eye towards the regulatory environment that we're in, and what I mean by that are the
capital requirements that come out of the annual stress testing process that's run. So that's the basics of it
as we sit here today.",332,11,35,0.6,opening_remarks
