caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
Quarterly Operating Leverage,"Operating leverage has shown a positive trend since 3Q21, peaking at 12% in 3Q21 and standing at 6% in 2Q23. This follows a period of negative or low leverage from 1Q19 to 2Q21.",quarter,7,Financial Results,Q2_2023,2023-07-18
Total Loans and Leases ($B),"Total loans and leases have shown modest growth, increasing from $1,015B in 2Q22 to $1,047B in 2Q23, a 3% year-over-year increase.",quarter,11,Financial Results,Q2_2023,2023-07-18
Total Loans and Leases in All Other ($B),"Total loans and leases in 'All Other' have decreased from $15B in 2Q22 to $10B in 2Q23, a 32% year-over-year decline. The decrease is mainly driven by residential mortgages.",quarter,11,Financial Results,Q2_2023,2023-07-18
Loans and Leases in Business Segments ($B),"Total loans and leases in business segments grew 4% year-over-year to $1,037B in 2Q23. Global Markets saw the highest growth at 12%, while Consumer Banking grew 6% and GWIM remained flat.",quarter,11,Financial Results,Q2_2023,2023-07-18
Total Loans and Leases by Portfolio ($B),"Total loans and leases by portfolio show a slight increase, with commercial loans growing from $569B in 2Q22 to $593B in 2Q23, and consumer loans growing from $446B to $454B in the same period.",quarter,11,Financial Results,Q2_2023,2023-07-18
Total Corporation ($B),"Total corporation deposits decreased from $1,910B on 03/31/23 to $1,877B on 06/30/23. The decline was seen in both interest-bearing and noninterest-bearing deposits.",quarter,12,Financial Results,Q2_2023,2023-07-18
Consumer Banking ($B),"Consumer banking deposits decreased from $1,045B on 03/31/23 to $1,004B on 06/30/23, primarily driven by a decline in checking deposits.",quarter,12,Financial Results,Q2_2023,2023-07-18
GWIM ($B),"GWIM deposits saw a slight decrease from $301B on 03/31/23 to $293B on 06/30/23, with declines in both bank and sweep deposits.",quarter,12,Financial Results,Q2_2023,2023-07-18
Global Banking ($B),"Global banking deposits remained relatively stable, slightly decreasing from $496B on 03/31/23 to $493B on 06/30/23.",quarter,12,Financial Results,Q2_2023,2023-07-18
Total Corporation ($B),"Total average deposits declined from $2,012B in 4Q19 to $1,875B in 2Q23, a 1% decrease quarter-over-quarter. Noninterest-bearing deposits increased 1% QoQ, while interest-bearing deposits decreased 5% QoQ.",quarter,13,Financial Results,Q2_2023,2023-07-18
Consumer Banking ($B),"Consumer banking average deposits decreased 2% quarter-over-quarter to $1,006B in 2Q23. Both checking and non-checking deposits saw a 2% QoQ decline.",quarter,13,Financial Results,Q2_2023,2023-07-18
GWIM ($B),GWIM average deposits decreased 6% quarter-over-quarter to $295B in 2Q23. The decline was driven by a 16% QoQ decrease in sweep deposits.,quarter,13,Financial Results,Q2_2023,2023-07-18
Global Banking ($B),"Global banking average deposits increased 1% quarter-over-quarter to $498B in 2Q23, driven by a 13% QoQ increase in interest-bearing deposits.",quarter,13,Financial Results,Q2_2023,2023-07-18
"Deposits in Excess of Loans (EOP, $B)",Deposits in excess of loans peaked in 2Q22 at $954B and stood at $826B in 2Q23. The gap between total deposits and loans has been narrowing since 2Q22.,quarter,14,Financial Results,Q2_2023,2023-07-18
Cash and Securities Portfolios ($B),"The cash and securities portfolio composition shifted in 2Q23, with cash and cash equivalents increasing significantly to $374B, while HTM and AFS securities decreased to $614B and $142B respectively.",quarter,14,Financial Results,Q2_2023,2023-07-18
Cash & Securities Yield and Deposit Rates,"The cash & securities yield increased to 3.19% in 2Q23, while the total deposit rate paid also rose to 1.24%. The spread between the two, representing the yield on cash & securities vs. the deposit rate, has widened significantly in the last year.",quarter,14,Financial Results,Q2_2023,2023-07-18
"Net Interest Income (FTE, $B)","Net interest income (GAAP) was $14.2B in 2Q23, slightly down from $14.4B in 1Q23 but up from $12.4B in 2Q22. FTE Adjusted NII shows a similar trend, at $14.3B in 2Q23.",quarter,15,Financial Results,Q2_2023,2023-07-18
Net Interest Yield (FTE),"The reported net interest yield was 2.06% in 2Q23, down from 2.20% in 1Q23. The net interest yield excluding Global Markets was 2.65% in 2Q23, also down from its peak of 2.85% in 1Q23.",quarter,15,Financial Results,Q2_2023,2023-07-18
Total Noninterest Expense ($B),"Total noninterest expense was $16.0B in 2Q23, down slightly from $16.2B in 1Q23 but up from $15.3B in 2Q22. The 'Other' expense category has increased compared to the previous year, while 'Compensation and benefits' also rose year-over-year.",quarter,16,Financial Results,Q2_2023,2023-07-18
Efficiency Ratio,"The efficiency ratio was 64% in 2Q23, up from 62% in 1Q23 but down from 67% in 2Q22, showing an overall improvement in efficiency year-over-year.",quarter,16,Financial Results,Q2_2023,2023-07-18
Net Charge-offs ($MM),"Net charge-offs increased to $869MM in 2Q23 from $571MM in 2Q22. The net charge-off ratio also increased from 0.23% to 0.33% over the same period, showing a rising trend.",quarter,17,Financial Results,Q2_2023,2023-07-18
Provision for Credit Losses ($MM),"Provision for credit losses has increased significantly from $523MM in 2Q22 to $1,125MM in 2Q23, indicating a more cautious outlook on credit quality.",quarter,17,Financial Results,Q2_2023,2023-07-18
Consumer Net Charge-offs ($MM),"Consumer net charge-offs rose to $720MM in 2Q23 from $525MM in 2Q22, with the consumer NCO ratio increasing from 0.47% to 0.64%. The increase is primarily driven by credit card charge-offs.",quarter,18,Financial Results,Q2_2023,2023-07-18
Commercial Net Charge-offs ($MM),"Commercial net charge-offs increased to $149MM in 2Q23 from $46MM in 2Q22. The commercial NCO ratio also rose from 0.03% to 0.10% over the same period, largely due to commercial real estate.",quarter,18,Financial Results,Q2_2023,2023-07-18
Total Revenue ($B),"Total revenue decreased slightly to $10.5B in 2Q23 from $10.7B in 1Q23, but increased from $9.1B in 2Q22. Net interest income has been the main driver of revenue growth over the past year.",quarter,25,Financial Results,Q2_2023,2023-07-18
Total Expense ($B) and Efficiency,"Total expense remained flat at $5.5B in 2Q23 compared to 1Q23, but up from $5.0B in 2Q22. The efficiency ratio improved to 52% in 2Q23 from 54% in 2Q22.",quarter,25,Financial Results,Q2_2023,2023-07-18
Average Deposits ($B),"Average deposits have shown a declining trend, from $1,078B in 2Q22 to $1,006B in 2Q23, with both checking and other deposits decreasing.",quarter,25,Financial Results,Q2_2023,2023-07-18
Average Loans and Leases ($B),"Average loans and leases increased from $290B in 2Q22 to $307B in 2Q23, driven by growth in consumer credit card, vehicle lending, and home equity, while residential mortgage and small business/other loans remained relatively stable.",quarter,25,Financial Results,Q2_2023,2023-07-18
Consumer Investment Assets ($B) and Accounts (MM),"Consumer investment assets grew from $315B in 2Q22 to $387B in 2Q23, and the number of accounts increased from 3.4 million to 3.7 million over the same period.",quarter,25,Financial Results,Q2_2023,2023-07-18
Consumer Credit Card New Accounts (K),"New credit card accounts were 1,137K in 2Q23, down from 1,255K in 3Q22 but up from 1,068K in 2Q22.",quarter,26,Financial Results,Q2_2023,2023-07-18
Consumer Vehicle Lending New Originations ($B),"New vehicle lending originations were $6.8B in 2Q23, slightly down from $7.0B in 1Q23 and $7.1B in 2Q22.",quarter,26,Financial Results,Q2_2023,2023-07-18
Residential Mortgage New Originations ($B),"New residential mortgage originations increased to $5.9B in 2Q23 from $3.9B in 1Q23, but are significantly lower than the $14.5B in 2Q22.",quarter,26,Financial Results,Q2_2023,2023-07-18
Home Equity New Originations ($B),"New home equity originations have remained stable, at $2.5B in 2Q23, consistent with $2.5B in 2Q22 and slightly down from $2.6B in 1Q23.",quarter,26,Financial Results,Q2_2023,2023-07-18
Average Deposits ($B),Average deposits have consistently declined from $364B in 2Q22 to $295B in 2Q23.,quarter,27,Financial Results,Q2_2023,2023-07-18
Average Loans and Leases ($B),"Average loans and leases remained relatively flat, standing at $219B in 2Q23, the same as 2Q22, with minor fluctuations in between. The composition between custom lending and securities-based lending has also been stable.",quarter,27,Financial Results,Q2_2023,2023-07-18
Total Revenue ($B),"Total revenue has been stable, around $5.2B to $5.4B over the past five quarters. In 2Q23, it was $5.2B, with net interest income contributing $2.9B.",quarter,27,Financial Results,Q2_2023,2023-07-18
Client Balances ($B),"Total client balances grew from $3,367B in 2Q22 to $3,635B in 2Q23, driven by increases in AUM and Brokerage/Other balances, while deposits and loans/leases saw slight decreases.",quarter,27,Financial Results,Q2_2023,2023-07-18
Average Deposits ($B),Average deposits have slightly decreased from $509B in 2Q22 to $498B in 2Q23. The proportion of interest-bearing deposits has increased from 28% to 42% over the same period.,quarter,28,Financial Results,Q2_2023,2023-07-18
Average Loans and Leases ($B),"Average loans and leases have remained stable, increasing slightly from $377B in 2Q22 to $383B in 2Q23. The composition of loans across commercial, corporate, and business banking has been consistent.",quarter,28,Financial Results,Q2_2023,2023-07-18
Total Revenue ($B),"Total revenue has grown significantly from $5.0B in 2Q22 to $6.5B in 2Q23, primarily driven by an increase in net interest income from $2.6B to $3.7B.",quarter,28,Financial Results,Q2_2023,2023-07-18
Total Corporation IB Fees ($MM),"Total corporate IB fees increased to $1,212MM in 2Q23 from $1,128MM in 2Q22, with a notable increase in Debt fees in the most recent quarter.",quarter,28,Financial Results,Q2_2023,2023-07-18
2023 YTD Global Markets Revenue Mix (excl. net DVA),"For 2023 YTD, 61% of Global Markets revenue came from U.S./Canada, with the remaining 39% from international sources.",quarter,29,Financial Results,Q2_2023,2023-07-18
2023 YTD Total FICC S&T Revenue Mix (excl. net DVA),"For 2023 YTD, the FICC sales and trading revenue mix was 57% from Macro products and 43% from Credit/Other products.",quarter,29,Financial Results,Q2_2023,2023-07-18
Total Sales and Trading Revenue (excl. net DVA) ($B),"YTD sales and trading revenue was $9.4B in 2023, an increase from previous years, driven by strong performance in FICC which reached $6.2B.",quarter,29,Financial Results,Q2_2023,2023-07-18
Average Trading-Related Assets ($B) and VaR ($MM),"Average trading-related assets have increased to $624B YTD in 2023 from $485B in 2020, while Average VaR has decreased from $65MM to $93MM over the same period, after peaking at $99MM in 2022.",quarter,29,Financial Results,Q2_2023,2023-07-18
Payment Spend ($ Volume) and YoY % Growth,"Total consumer payment spend has grown from $1.4T in 2020 to $2.1T in 2023 YTD, with year-over-year growth moderating from 25% in 2021 to 5% in 2023.",quarter,31,Footnotes,Q2_2023,2023-07-18
Payment Spend ($ and Transaction Volume) Quarterly YoY % Growth,"Quarterly year-over-year growth in both payment volume and transaction number has been trending downwards since a peak in early 2021, settling at 4% for volume and 2% for transactions in 2Q23.",quarter,31,Footnotes,Q2_2023,2023-07-18
2023 YTD Credit and Debit YoY % Growth,"Year-to-date in 2023, credit and debit spending shows varied year-over-year growth across categories. Travel & Entertainment saw strong growth (10%), while Gas spending declined (-11%). Overall, spend was up 4% and transactions up 5%.",quarter,31,Footnotes,Q2_2023,2023-07-18
2023 YTD YoY Change in Payment Transaction Volume,"For 2023 YTD, the largest portion of payment volume (78%) is from Credit/Debit, which grew 5% YoY. P2P/P2B transactions grew the most at 15% YoY and represent 7% of the volume.",quarter,31,Footnotes,Q2_2023,2023-07-18
Commercial Real Estate as a Percent of:,"Commercial Real Estate as a percentage of total commercial loans has decreased from 21.2% in 4Q09 to 12.5% in 2Q23. As a percentage of total loans and leases, it has decreased from 7.1% to 6.9% in the same period.",quarter,32,Footnotes,Q2_2023,2023-07-18
Geographic Distribution ($B),"The ~$74B Commercial Real Estate portfolio is geographically diversified, with the largest concentrations in the Northeast (22%), Southeast (19%), and Midsouth (19%).",quarter,32,Footnotes,Q2_2023,2023-07-18
Distribution by Property Type ($B),"The ~$74B Commercial Real Estate portfolio is diversified by property type, with the largest exposures to Office (25%), Industrial/Warehouse (19%), and Multi-family rental (19%).",quarter,32,Footnotes,Q2_2023,2023-07-18
Office Portfolio Scheduled Maturities ($B),"The office portfolio has scheduled maturities of $2.8B in 2H23, $6.3B in 2024, $3.0B in 2025, and $6.0B in 2026 and beyond.",quarter,32,Footnotes,Q2_2023,2023-07-18
