caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
Consumer Vehicle Lending New Originations ($B),"New vehicle lending originations were $7.0B in 1Q23, slightly down from $7.1B in 1Q22 and 2Q22, but showing a recovery from the low of $5.9B in 3Q22.",quarter,28,Financial Results,Q1_2023,2023-04-18
Residential Mortgage New Originations ($B),"New residential mortgage originations have declined significantly from $16.4B in 1Q22 to $3.9B in 1Q23, reflecting the impact of rising interest rates.",quarter,28,Financial Results,Q1_2023,2023-04-18
Home Equity New Originations ($B),"New home equity originations were $2.6B in 1Q23, consistent with 4Q22 levels and up from $2.0B in 1Q22.",quarter,28,Financial Results,Q1_2023,2023-04-18
Average Deposits ($B),Average deposits in GWIM decreased from $385B in 1Q22 to $314B in 1Q23. The decline was gradual over the quarters.,quarter,29,Financial Results,Q1_2023,2023-04-18
Average Loans and Leases ($B),"Average loans and leases grew from $211B in 1Q22 to $221B in 1Q23. The growth was driven by increases in custom lending and securities-based lending, while consumer real estate and credit card balances remained relatively stable.",quarter,29,Financial Results,Q1_2023,2023-04-18
Total Revenue ($B),"Total revenue for GWIM was $5.3B in 1Q23, a decrease from $5.5B in 1Q22 and $5.4B in 4Q22. The composition of revenue from net interest income, asset management fees, and brokerage/other has shifted, with net interest income increasing as a share.",quarter,29,Financial Results,Q1_2023,2023-04-18
Client Balances ($B),"Total client balances decreased from $3,714B in 1Q22 to $3,522B in 1Q23, driven by a decrease in AUM and Brokerage/Other balances. However, balances recovered from a low in 3Q22. Deposits and Loans & Leases showed more stability.",quarter,29,Financial Results,Q1_2023,2023-04-18
Average Deposits ($B),"Average deposits in Global Banking decreased from $540B in 1Q22 to $493B in 1Q23. The proportion of noninterest-bearing deposits has declined from 71% to 48% over the period, indicating a shift to interest-bearing accounts.",quarter,30,Financial Results,Q1_2023,2023-04-18
Average Loans and Leases ($B),"Average loans and leases grew from $359B in 1Q22 to $381B in 1Q23. The growth was driven by increases in Corporate and Commercial lending, while Business Banking loans remained stable.",quarter,30,Financial Results,Q1_2023,2023-04-18
Total Revenue ($B),"Total revenue increased from $5.2B in 1Q22 to $6.2B in 1Q23, after peaking at $6.4B in 4Q22. The growth was primarily driven by a significant increase in net interest income.",quarter,30,Financial Results,Q1_2023,2023-04-18
Total Corporation IB Fees ($MM),"Total Corporation investment banking fees were $1,163MM in 1Q23, down from $1,457MM in 1Q22 but up from $1,071MM in 4Q22. Debt fees constituted the largest portion, followed by advisory and equity fees.",quarter,30,Financial Results,Q1_2023,2023-04-18
1Q23 Global Markets Revenue Mix (excl. net DVA),"In 1Q23, 60% of Global Markets revenue (excluding net DVA) was generated from the U.S. / Canada, with the remaining 40% from International sources.",quarter,31,Financial Results,Q1_2023,2023-04-18
1Q23 Total FICC Sales and Trading Revenue Mix (excl. net DVA),"In 1Q23, the FICC sales and trading revenue mix (excluding net DVA) was composed of 57% from Macro products (currencies, interest rates, commodities) and 43% from Credit / Other products.",quarter,31,Financial Results,Q1_2023,2023-04-18
Total Sales and Trading Revenue (excl. net DVA) ($B),"Total sales and trading revenue (excluding net DVA) was $5.1B in 1Q23, up from $4.7B in 1Q22. The increase was driven by a strong performance in FICC revenue, which rose to $3.4B, while Equities revenue declined to $1.6B.",quarter,31,Financial Results,Q1_2023,2023-04-18
Average Trading-Related Assets ($B) and VaR ($MM),"Average trading-related assets increased to $626B in 1Q23 from $502B in 1Q22. The average Value at Risk (VaR) also increased, rising to $109MM in 1Q23 from $74MM in 1Q22.",quarter,31,Financial Results,Q1_2023,2023-04-18
Payment Spend ($ Volume) and YoY % Growth,"Total payment spend volume grew consistently year-over-year, reaching $1.1 trillion in 1Q23, a 9% increase from 1Q22. This continues a trend of strong growth from $0.8T in 1Q20.",quarter,33,Financial Results,Q1_2023,2023-04-18
Payment Spend ($ and Transaction Volume) Quarterly YoY % Growth,"Quarterly year-over-year growth in both payment volume and transaction numbers showed volatility but remained positive, ending 1Q23 with 9% growth in volume and 6% growth in transactions.",quarter,33,Financial Results,Q1_2023,2023-04-18
1Q23 Credit and Debit YoY Growth,"In 1Q23, year-over-year growth was observed across most spending categories. Travel & Entertainment saw strong growth (16% volume, 12% transactions), as did Services (7% volume, 4% transactions). Gas spending declined by 5% in volume.",quarter,33,Financial Results,Q1_2023,2023-04-18
1Q23 YoY Change in Payment Transaction Volume,"In 1Q23, year-over-year growth in payment transaction volume was led by a significant 18% increase in P2P/P2B payments. Credit/Debit and ACH/Wire transactions grew by 6%, while Cash/Check transactions declined by 3%. Credit/Debit constitutes the largest share of 1Q23 volume at 75%.",quarter,33,Financial Results,Q1_2023,2023-04-18
Commercial Real Estate as a Percent of:,"Commercial real estate as a percentage of total commercial loans has decreased significantly from 21.2% in 4Q09 to 12.3% in 1Q23. As a percentage of total loans and leases, it has decreased from 6.9% to 7.0% over the same period (showing slight increase).",quarter,34,Financial Results,Q1_2023,2023-04-18
Geographic Distribution ($B),"The commercial real estate portfolio of ~$73B is geographically diversified. The largest exposures are in California (22%), the Southeast (19%), and the Northeast (19%).",quarter,34,Financial Results,Q1_2023,2023-04-18
Distribution by Property Type ($B),"The ~$73B commercial real estate portfolio is diversified by property type. The largest segments are Industrial/Warehouse (26%), Residential (19%), and Office (18%).",quarter,34,Financial Results,Q1_2023,2023-04-18
Office Portfolio Scheduled Maturities ($B),"The office loan portfolio has scheduled maturities spread out over the coming years, with the largest amounts maturing in 2024 ($5.8B) and 2026 and beyond ($5.9B). Maturities in 2023 and 2025 are $4.0B and $2.9B, respectively.",quarter,34,Financial Results,Q1_2023,2023-04-18
