caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
Consumer Credit Card New Accounts (K),"New credit card account originations have moderated from a high of 1,255K in 3Q22 to 1,062K in 3Q23. Key stats show average outstandings grew to $98.0B, and the NCO ratio increased to 2.72% in 3Q23.",quarter,27,Financial Results,Q3_2023,2023-10-17
Consumer Vehicle Lending New Originations ($B),"New vehicle lending originations remained strong and stable, at $6.8B in 3Q23. Average outstandings increased to $55.2B, and the NCO ratio edged up to 0.20%.",quarter,27,Financial Results,Q3_2023,2023-10-17
Residential Mortgage New Originations ($B),"New residential mortgage originations have declined from $8.7B in 3Q22 to $5.6B in 3Q23, reflecting the impact of higher interest rates. Average outstandings remained stable at $116.8B.",quarter,27,Financial Results,Q3_2023,2023-10-17
Home Equity New Originations ($B),"New home equity originations were stable at $2.4B in 3Q23, down slightly from the recent peak of $2.6B in 4Q22 and 1Q23. Average outstandings were $21.1B.",quarter,27,Financial Results,Q3_2023,2023-10-17
Average Deposits ($B),"Average deposits have shown a downward trend, decreasing from $339B in 3Q22 to $292B in 3Q23, as clients reallocated funds in the changing rate environment.",quarter,28,Financial Results,Q3_2023,2023-10-17
Average Loans and Leases ($B),"Average loans and leases have remained relatively stable, hovering around $220B over the past five quarters, ending at $219B in 3Q23. The portfolio is primarily composed of custom lending and securities-based lending.",quarter,28,Financial Results,Q3_2023,2023-10-17
Total Revenue ($B),"Total revenue has been consistent, fluctuating between $5.2B and $5.4B over the last five quarters. In 3Q23, revenue was $5.3B, comprised of $1.8B in net interest income, $3.1B in asset management fees, and $0.5B in brokerage and other income.",quarter,28,Financial Results,Q3_2023,2023-10-17
Client Balances ($B),"Total client balances have grown from $3,249B in 3Q22 to $3,551B in 3Q23, driven by market appreciation and client flows. The growth is seen across AUM, Brokerage/Other, and Deposits, while Loans and leases remained stable.",quarter,28,Financial Results,Q3_2023,2023-10-17
Digital Households / Relationships,"Digital adoption among GWIM clients has steadily increased, with the number of digitally active households/relationships growing from 645,000 in 3Q20 to 716,000 in 3Q23. The digital adoption rate reached 83% in 3Q23.",quarter,29,Financial Results,Q3_2023,2023-10-17
Digital Channel Adoption,"Mobile adoption has significantly increased from 50% in 3Q20 to 60% in 3Q23, while online adoption has remained high and stable at 72%.",quarter,29,Financial Results,Q3_2023,2023-10-17
eDelivery,"The adoption of eDelivery for statements has shown strong growth, increasing from 68% in 3Q21 to 78% in 3Q23, indicating a client preference for digital documentation.",quarter,29,Financial Results,Q3_2023,2023-10-17
Erica Interactions (MM),"Erica interactions within the GWIM segment have surged from 0.4 million in 3Q20 to 2.7 million in 3Q23, demonstrating increasing client engagement with the virtual assistant.",quarter,29,Financial Results,Q3_2023,2023-10-17
Person-to-Person Payments (Zelle),"Zelle usage among GWIM clients has grown substantially, with transaction volume increasing from $0.5B in 3Q20 to $2.0B in 3Q23, and the number of transactions rising from 0.9 million to 3.2 million.",quarter,29,Financial Results,Q3_2023,2023-10-17
Check Deposits,"The proportion of check deposits made through automated channels (mobile, remote, ATM) has remained consistently high, staying around 74% from 3Q22 to 3Q23.",quarter,29,Financial Results,Q3_2023,2023-10-17
Average Deposits ($B),"Average deposits have remained relatively stable, slightly increasing from $495B in 3Q22 to $504B in 3Q23. There has been a significant shift in composition, with interest-bearing deposits growing from 35% to 63% of the total, while noninterest-bearing deposits decreased.",quarter,30,Financial Results,Q3_2023,2023-10-17
Average Loans and Leases ($B),Average loans and leases have decreased slightly from $384B in 3Q22 to $376B in 3Q23. The decline is visible in the commercial and business banking portfolios.,quarter,30,Financial Results,Q3_2023,2023-10-17
Total Revenue ($B),"Total revenue has shown an upward trend, increasing from $5.6B in 3Q22 to $6.2B in 3Q23, after peaking at $6.5B in 2Q23. Growth is primarily driven by net interest income.",quarter,30,Financial Results,Q3_2023,2023-10-17
Total Corporation IB Fees ($MM),"Total Investment Banking fees have fluctuated, standing at $1,188MM in 3Q23, slightly up from $1,167MM in 3Q22. Debt and Advisory fees form the largest components of IB fees.",quarter,30,Financial Results,Q3_2023,2023-10-17
CashPro and BA360 Adoption %,"Digital adoption among Global Banking clients has remained high and stable, with 75% of clients using CashPro and BA360 platforms in 3Q23, up slightly from 74% in 3Q21.",quarter,31,Financial Results,Q3_2023,2023-10-17
CashPro App Sign-ins (K),"CashPro App sign-ins have shown strong and consistent growth, increasing from 254K in 3Q20 to 813K in 3Q23, indicating rising mobile engagement.",quarter,31,Financial Results,Q3_2023,2023-10-17
CashPro App Payments,"Payments made via the CashPro App have surged. The value of payments increased from $44B in 3Q20 to $192B in 3Q23, while the volume of transactions (in millions) grew from 0.9MM to 3.6MM.",quarter,31,Financial Results,Q3_2023,2023-10-17
CashPro Proactive Alerts & Insights (MM),"The usage of proactive alerts and insights on CashPro has grown steadily, from 13.3 million in 3Q20 to 18.6 million in 3Q23, enhancing client experience and operational efficiency.",quarter,31,Financial Results,Q3_2023,2023-10-17
Global Payments to Digital Wallets (K),"The volume of global payments to digital wallets has been strong, peaking at 391K in 3Q21 and remaining robust at 377K in 3Q23.",quarter,31,Financial Results,Q3_2023,2023-10-17
Credit Monitoring Documents Uploaded Digitally (%),"The percentage of credit monitoring documents uploaded digitally has significantly increased, rising from 14% in 3Q21 to 40% in 3Q23, showing progress in digitizing credit processes.",quarter,31,Financial Results,Q3_2023,2023-10-17
2023 YTD Global Markets Revenue Mix (excl. net DVA),"Year-to-date 2023, the Global Markets revenue is primarily driven by the U.S. / Canada region, which accounts for 62% of the revenue, with International contributing the remaining 38%.",quarter,32,Financial Results,Q3_2023,2023-10-17
2023 YTD Total FICC S&T Revenue Mix (excl. net DVA),"The Fixed Income, Currencies, and Commodities (FICC) Sales & Trading revenue for YTD 2023 is split between Macro products (56%) and Credit / Other products (44%).",quarter,32,Financial Results,Q3_2023,2023-10-17
Total Sales and Trading Revenue (excl. net DVA) ($B),Total sales and trading revenue has grown from $12.1B in YTD 2020 to $13.9B in YTD 2023. Both FICC and Equities have contributed to this growth over the period.,quarter,32,Financial Results,Q3_2023,2023-10-17
Average Trading-Related Assets ($B) and VaR ($MM),"Average trading-related assets have increased from $485B in YTD 2020 to $619B in YTD 2023. Average Value-at-Risk (VaR) has been managed effectively, standing at $85MM in YTD 2023 after peaking at $105MM in YTD 2022.",quarter,32,Financial Results,Q3_2023,2023-10-17
Payment Spend ($ Volume) and YoY % Growth,Total consumer payment spend has grown steadily from $2.2 trillion in YTD 2020 to $3.1 trillion in YTD 2023. The year-over-year growth rate has moderated from a high of 21% in 2021 to 4% in 2023.,quarter,34,Financial Results,Q3_2023,2023-10-17
Payment Spend ($ and Transaction Volume) Quarterly YoY % Growth,"Quarterly year-over-year growth in both payment volume and transaction numbers has normalized after a volatile period in 2020 and 2021. In 3Q23, volume growth was 4% and transaction growth was 3%.",quarter,34,Financial Results,Q3_2023,2023-10-17
2023 YTD Credit and Debit YoY % Growth,"Year-to-date 2023, spending growth has been positive across most categories, with Travel & Entertainment seeing the highest volume growth at 8%. Gas spending saw a 9% decline in volume, likely due to price changes.",quarter,34,Financial Results,Q3_2023,2023-10-17
2023 YTD YoY Change in Payment Transaction Volume,"Year-to-date 2023, P2P/P2B transactions saw the largest year-over-year growth in volume at 12%. Credit/Debit and ACH/Wire also grew, while Cash/Check transactions declined by 5%.",quarter,34,Financial Results,Q3_2023,2023-10-17
Consumer Net Charge-off Rate,"The consumer net charge-off rate shows distinct periods of credit performance. It averaged 1.3% before the 2008 crisis, spiked to an average of 3.6% during the crisis, and then settled to lower averages of 0.8% pre-pandemic and 0.5% since the pandemic. The rate stood at 0.7% in 3Q23, showing a slight uptick but remaining well below crisis levels.",quarter,36,Financial Results,Q3_2023,2023-10-17
Commercial Net Charge-off Rate,"The commercial net charge-off rate exhibits a pattern similar to the consumer rate, with a significant spike during the 2008 financial crisis where it averaged 1.28%. In contrast, the pre-pandemic and since-pandemic averages have been very low at 0.13%. As of 3Q23, the total commercial rate was 0.09%, and the rate excluding small business was even lower at 0.03%.",quarter,37,Financial Results,Q3_2023,2023-10-17
Commercial Real Estate as a Percent of:,"Commercial Real Estate (CRE) as a percentage of assets has decreased significantly. In 4Q09, CRE was 21.2% of total commercial loans, which has reduced to 12.4% in 3Q23. As a percentage of total loans and leases, it has decreased from 6.9% to 7.0% (showing a slight increase over a different base).",quarter,38,Financial Results,Q3_2023,2023-10-17
Geographic Distribution ($B),"The ~$73B Commercial Real Estate portfolio is geographically diversified. The largest concentrations are in California (22%), Southeast (20%), and Midsouth (18%), with no other region exceeding 13%.",quarter,38,Financial Results,Q3_2023,2023-10-17
Distribution by Property Type ($B),"The ~$73B Commercial Real Estate portfolio is diversified by property type. The largest segments are Industrial/Warehouse (25%), Office (20%), and Multi-family rental (19%).",quarter,38,Financial Results,Q3_2023,2023-10-17
Office Portfolio Scheduled Maturities ($B),"The office loan portfolio has a staggered maturity profile. Scheduled maturities are $2.3B in 2023, peaking at $6.5B in 2024, followed by $3.1B in 2025, and $6.3B in 2026 and beyond.",quarter,38,Financial Results,Q3_2023,2023-10-17
