caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
"Net Interest Income excl. GM (FTE, $B)","Net Interest Income excluding Global Markets was $13.2B in 3Q24, a slight increase from $13.1B in 2Q24 but a decrease from $13.9B in 3Q23. Global Markets NII contributed $0.9B in 3Q24.",quarter,9,Financial Results,Q3_2024,2024-10-15
Total Noninterest Expense ($B),"Total noninterest expense was $16.5B in 3Q24, up from $16.3B in 2Q24 and $15.8B in 3Q23. The 3Q24 expense consisted of $9.9B in Compensation and benefits and $6.6B in Other expenses. Prior quarters included FDIC special assessments.",quarter,10,Financial Results,Q3_2024,2024-10-15
Efficiency Ratio,"The efficiency ratio was 65% in 3Q24, a slight increase from 64% in 2Q24 and 63% in 3Q23. The ratio peaked at 66% in 4Q23 (adjusted).",quarter,10,Financial Results,Q3_2024,2024-10-15
Net Charge-offs ($MM),"Net charge-offs increased from $931MM in 3Q23 to $1,534MM in 3Q24, remaining relatively flat with 2Q24 ($1,533MM). The net charge-off ratio rose from 0.35% in 3Q23 to 0.58% in 3Q24.",quarter,11,Financial Results,Q3_2024,2024-10-15
Provision for Credit Losses ($MM),"Provision for credit losses increased from $1,234MM in 3Q23 to $1,542MM in 3Q24. There was a dip in 4Q23 to $1,104MM before rising in subsequent quarters.",quarter,11,Financial Results,Q3_2024,2024-10-15
Consumer Net Charge-offs ($MM),"Consumer net charge-offs increased from $804MM in 3Q23 to $1,044MM in 3Q24. The consumer NCO ratio increased from 0.70% to 0.91% over the same period. Credit card charge-offs are the primary driver.",quarter,12,Financial Results,Q3_2024,2024-10-15
Commercial Net Charge-offs ($MM),"Commercial net charge-offs saw a significant increase from $127MM in 3Q23 to $490MM in 3Q24. The commercial NCO ratio rose from 0.09% to 0.33% in the same period, driven by C&I and Commercial real estate.",quarter,12,Financial Results,Q3_2024,2024-10-15
Distribution by Property Type ($B),"The Commercial Real Estate loan portfolio of ~$68B is diversified by property type. The largest segment is Office at $15.8B (23%), followed by Industrial/Warehouse at $14.2B (21%), and Multi-family rental at $13.9B (20%).",quarter,19,Financial Results,Q3_2024,2024-10-15
Geographic Distribution ($B),"The ~$68B CRE portfolio is geographically diverse. The largest concentration is in the Northeast with $15.7B (23%), followed by California at $13.7B (20%) and the Southeast at $11.8B (17%).",quarter,19,Financial Results,Q3_2024,2024-10-15
Office Portfolio Scheduled Maturities ($B),"Scheduled maturities for the Office portfolio show $3.5B in 4Q24, increasing to $3.9B in 2025, and peaking at $4.2B in 2026.",quarter,19,Financial Results,Q3_2024,2024-10-15
Total Corporation ($B),"Total average deposits for the corporation grew 1% QoQ to $1,921B in 3Q24 and are up 36% since 4Q19. Interest-bearing deposits increased 1% QoQ while noninterest-bearing deposits decreased 1% QoQ.",quarter,20,Financial Results,Q3_2024,2024-10-15
Consumer Banking ($B),"Consumer Banking average deposits decreased 1% QoQ to $938B in 3Q24, but are up 30% since 4Q19. Low-interest and noninterest checking accounts decreased 2% QoQ, while other deposits remained flat.",quarter,20,Financial Results,Q3_2024,2024-10-15
GWIM ($B),"GWIM average deposits decreased 3% QoQ to $280B in 3Q24, but are up 9% since 4Q19. Bank deposits decreased 5% QoQ, while sweep deposits increased 7% QoQ.",quarter,20,Financial Results,Q3_2024,2024-10-15
Global Banking ($B),"Global Banking average deposits increased 5% QoQ to $550B in 3Q24, and are up 45% since 4Q19. Interest-bearing deposits grew 8% QoQ, while noninterest-bearing deposits decreased 2% QoQ.",quarter,20,Financial Results,Q3_2024,2024-10-15
"Deposits in Excess of Loans (EOP, $B)","Deposits in excess of loans have decreased from a peak of $1,085B in 4Q21 to $855B in 3Q24, but remain significantly above the $451B level from 4Q19.",quarter,21,Financial Results,Q3_2024,2024-10-15
Cash and Securities Portfolios ($B),"The cash and securities portfolio has decreased from a peak of $1,331B in 4Q21 to $1,188B in 3Q24. In 3Q24, the portfolio consists of $568B in HTM securities, $325B in AFS & other securities, and $295B in cash & cash equivalents.",quarter,21,Financial Results,Q3_2024,2024-10-15
Cash & Securities Yield vs. Deposit Rate Paid,"From 4Q19 to 3Q24, the total deposit rate paid increased to 2.10%, while the cash & securities yield has risen more sharply to 3.62%, creating a positive spread.",quarter,21,Financial Results,Q3_2024,2024-10-15
Total Revenue ($B),"Total revenue in Consumer Banking has been relatively stable, moving from $10.5B in 3Q23 to $10.4B in 3Q24. Net interest income has slightly decreased while noninterest income has slightly increased over the period.",quarter,23,Financial Results,Q3_2024,2024-10-15
Total Expense ($B) and Efficiency,"Total noninterest expense has remained stable around $5.5B from 1Q24 to 3Q24. The efficiency ratio has fluctuated between 50% and 54%, ending at 53% in 3Q24.",quarter,23,Financial Results,Q3_2024,2024-10-15
Average Deposits ($B),"Average deposits have seen a slight decline from $980B in 3Q23 to $938B in 3Q24, with a marginal decrease in both low-interest/noninterest checking and other deposits.",quarter,23,Financial Results,Q3_2024,2024-10-15
Average Loans and Leases ($B),"Average loans and leases have remained stable, slightly increasing from $311B in 3Q23 to $314B in 3Q24. The composition by product (Small business, home equity, vehicle lending, residential mortgage) has also been consistent.",quarter,23,Financial Results,Q3_2024,2024-10-15
Consumer Investment Assets ($B) and Accounts (MM),"Consumer investment assets have shown strong growth, increasing from $387B in 3Q23 to $497B in 3Q24. The number of accounts has remained stable at 3.9 million since 1Q24.",quarter,23,Financial Results,Q3_2024,2024-10-15
Consumer Credit Card New Accounts (K),"New credit card accounts were 970K in 3Q24, up from 951K in 2Q24 but down from 1,062K in 3Q23. The lowest point in the last five quarters was 889K in 4Q23.",quarter,24,Financial Results,Q3_2024,2024-10-15
Consumer Vehicle Lending New Originations ($B),"New vehicle lending originations were $7.9B in 3Q24, a significant increase from $6.0B in 2Q24 and $6.8B in 3Q23.",quarter,24,Financial Results,Q3_2024,2024-10-15
Residential Mortgage New Originations ($B),"New residential mortgage originations were $5.3B in 3Q24, down slightly from $5.7B in 2Q24 and $5.6B in 3Q23.",quarter,24,Financial Results,Q3_2024,2024-10-15
Home Equity New Originations ($B),"New home equity originations were $2.3B in 3Q24, down slightly from $2.4B in 2Q24 and $2.4B in 3Q23. The lowest point was $1.9B in 1Q24.",quarter,24,Financial Results,Q3_2024,2024-10-15
Digital Users and Households,Digital active users have grown steadily from 41 million in 3Q21 to 58 million in 3Q24. Household adoption percentage also increased from 70% to 77% over the same period.,quarter,25,Financial Results,Q3_2024,2024-10-15
Digital Channel Usage,"Digital channel usage (desktop and mobile banking sessions) has consistently increased, rising from 2.6 billion in 3Q21 to 3.6 billion in 3Q24.",quarter,25,Financial Results,Q3_2024,2024-10-15
Digitally-Enabled Sales,"The number of digitally-enabled sales has grown from 1,367K in 3Q22 to 1,809K in 3Q24, with a dip in 3Q23. The percentage of total sales that are digital has increased from 48% in 3Q22 to 54% in 3Q24.",quarter,25,Financial Results,Q3_2024,2024-10-15
Erica Active Users and Interactions,"Erica active users grew from 13.0 million in 3Q21 to 19.7 million in 3Q24, while interactions increased from 104.6 million to 166.4 million in the same period, showing strong growth in AI assistant engagement.",quarter,25,Financial Results,Q3_2024,2024-10-15
Person-to-Person Payments (Zelle),"Zelle active users have grown from 15.1 million in 3Q21 to 23.2 million in 3Q24. Transaction volume increased from 202 million to 323 million, and payment value grew from $60B to $121B over the same period.",quarter,25,Financial Results,Q3_2024,2024-10-15
Checks vs. Zelle Sent Transactions (MM),"Zelle sent transactions have consistently increased from 133 million in 3Q21 to 256 million in 3Q24, while written checks have steadily declined from 127 million to 95 million. In 3Q24, Zelle transactions were 2.7 times more frequent than checks.",quarter,25,Financial Results,Q3_2024,2024-10-15
Average Deposits ($B),"Average deposits in Global Wealth & Investment Management have seen a slight downward trend, from $292B in 3Q23 to $280B in 3Q24.",quarter,26,Financial Results,Q3_2024,2024-10-15
Average Loans and Leases ($B),"Average loans and leases have grown steadily from $219B in 3Q23 to $225B in 3Q24, driven primarily by growth in custom lending and securities-based lending.",quarter,26,Financial Results,Q3_2024,2024-10-15
Total Revenue ($B),"Total revenue has grown from $5.3B in 3Q23 to $5.8B in 3Q24, primarily driven by an increase in asset management fees from $3.1B to $3.5B.",quarter,26,Financial Results,Q3_2024,2024-10-15
Client Balances ($B),"Total client balances have shown strong growth, increasing from $3,551B in 3Q23 to $4,194B in 3Q24, with significant increases in both AUM and Brokerage/other balances.",quarter,26,Financial Results,Q3_2024,2024-10-15
Digital Households / Relationships,The number of digital households/relationships has steadily increased from 668K in 3Q21 to 741K in 3Q24. The digital adoption rate has also climbed from 78% to 84% over the same period.,quarter,27,Financial Results,Q3_2024,2024-10-15
Digital Channel Adoption,"Mobile adoption has significantly increased from 53% in 3Q21 to 62% in 3Q24, while overall digital channel adoption (mobile and online) has risen from 72% to 76%.",quarter,27,Financial Results,Q3_2024,2024-10-15
eDelivery,"eDelivery adoption has seen consistent growth, increasing from 74% in 3Q21 to 80% in 3Q24, indicating a client preference for digital statements.",quarter,27,Financial Results,Q3_2024,2024-10-15
Erica Interactions (MM),"Erica interactions have doubled from 1.5 million in 3Q21 to 3.0 million in 3Q24, showing rising engagement with the digital assistant.",quarter,27,Financial Results,Q3_2024,2024-10-15
Person-to-Person Payments (Zelle),"Zelle transaction volume has grown from 1.9 million in 3Q21 to 4.1 million in 3Q24, with the corresponding value increasing from $1.1B to $2.5B, indicating strong adoption of P2P payments.",quarter,27,Financial Results,Q3_2024,2024-10-15
Check Deposits,"The method of check deposits has shifted towards digital channels. In 3Q24, 68% of checks were deposited via Digital channels and 8% via ATM, while physical deposits have decreased to 25% from 26% in 3Q21.",quarter,27,Financial Results,Q3_2024,2024-10-15
Average Deposits ($B),Average deposits in Global Banking have grown from $504B in 3Q23 to $550B in 3Q24. The share of interest-bearing deposits has increased from 63% to 72% over the same period.,quarter,28,Financial Results,Q3_2024,2024-10-15
Average Loans and Leases ($B),"Average loans and leases have remained relatively stable, slightly decreasing from $376B in 3Q23 to $371B in 3Q24. The composition between Commercial, Corporate, and Business Banking has also been consistent.",quarter,28,Financial Results,Q3_2024,2024-10-15
Total Revenue ($B),"Total revenue has been volatile, moving from $6.2B in 3Q23 to $5.8B in 3Q24, with a peak of $6.1B in 2Q24. Net interest income has trended slightly downwards over the period.",quarter,28,Financial Results,Q3_2024,2024-10-15
Total Corporation IB Fees ($MM),"Total Corporation IB fees increased to $1,403MM in 3Q24 from $1,188MM in 3Q23, after peaking at $1,568MM in 1Q24. Debt issuance has been the largest component, followed by Advisory and Equity.",quarter,28,Financial Results,Q3_2024,2024-10-15
Business Adoption %,"Business adoption of digital services has steadily increased from 74% in 3Q21 to 76% in 3Q24. Adoption among relationship clients is higher, at 87% in 3Q24.",quarter,29,Financial Results,Q3_2024,2024-10-15
Mobile App Sign-ins (K),"Mobile app sign-ins have shown strong growth, increasing from 848K in 3Q21 to 2,042K in 3Q24, more than doubling in three years.",quarter,29,Financial Results,Q3_2024,2024-10-15
CashPro App Payments,CashPro App payment value has grown significantly from $101B in 3Q21 to $283B in 3Q24. The volume of payments has also increased from 1.8 million to 4.3 million over the same period.,quarter,29,Financial Results,Q3_2024,2024-10-15
Erica Interactions on CashPro Chat (K),"Interactions with Erica on CashPro Chat have increased from 30.0K in 1Q24 to 32.5K in 3Q24, indicating growing engagement with the tool since its launch.",quarter,29,Financial Results,Q3_2024,2024-10-15
Proactive Alerts and Insights (MM),"The volume of proactive alerts and insights has grown from 17.6 million in 3Q21 to 23.1 million in 3Q24, showing increased proactive client communication.",quarter,29,Financial Results,Q3_2024,2024-10-15
Capital Markets Digital Bond Orders (%),"The percentage of capital markets digital bond orders has tripled from 11% in 3Q22 to 33% in 3Q24, showing rapid adoption of digital processing for bond orders.",quarter,29,Financial Results,Q3_2024,2024-10-15
2024 YTD Global Markets Revenue Mix (excl. net DVA),"For 2024 year-to-date, 63% of Global Markets revenue came from the U.S. and Canada, with the remaining 37% from International markets.",quarter,30,Financial Results,Q3_2024,2024-10-15
2024 YTD Total FICC S&T Revenue Mix (excl. net DVA),"For 2024 year-to-date, FICC sales and trading revenue was split between Macro products (54%) and Credit/Other products (46%).",quarter,30,Financial Results,Q3_2024,2024-10-15
Total Sales and Trading Revenue (excl. net DVA) ($B),"Year-to-date total sales and trading revenue has grown from $12.3B in 2021 to $14.8B in 2024. Both FICC and Equities revenue have contributed to this growth, with FICC revenue at $9.0B and Equities at $5.8B in 2024 YTD.",quarter,30,Financial Results,Q3_2024,2024-10-15
Average Trading-Related Assets ($B) and VaR ($MM),"Average trading-related assets have increased from $544B in 2021 YTD to $638B in 2024 YTD. The average VaR has remained relatively stable, fluctuating between $76MM and $105MM, and was $83MM in 2024 YTD.",quarter,30,Financial Results,Q3_2024,2024-10-15
