caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
Cash & Securities Yield vs. Deposit Rate Paid,"From 4Q19 to 2Q24, both the total deposit rate paid and the cash & securities yield have increased significantly. The yield rose to 3.63% and the deposit rate to 2.03%, with the spread between them widening, especially from 2022 onwards.",quarter,22,Financial Results,Q2_2024,2024-07-16
Total Revenue ($B),"Total revenue in Consumer Banking remained relatively stable, fluctuating between $10.2B and $10.5B from 2Q23 to 2Q24. Net interest income slightly declined while noninterest income remained steady.",quarter,24,Financial Results,Q2_2024,2024-07-16
Total Expense ($B) and Efficiency,"Total expense fluctuated between $5.2B and $5.5B from 2Q23 to 2Q24. The efficiency ratio remained in a tight range, between 50% and 54%, ending at 54% in 2Q24.",quarter,24,Financial Results,Q2_2024,2024-07-16
Average Deposits ($B),"Average deposits showed a gradual decline from $1,006B in 2Q23 to $949B in 2Q24, with both core operating and other deposits decreasing.",quarter,24,Financial Results,Q2_2024,2024-07-16
Average Loans and Leases ($B),"Average loans and leases saw a slight increase from $307B in 2Q23 to $312B in 2Q24, driven by growth in consumer credit card and vehicle lending.",quarter,24,Financial Results,Q2_2024,2024-07-16
Consumer Investment Assets ($B) and Accounts (MM),Consumer investment assets grew steadily from $387B in 2Q23 to $476B in 2Q24. The number of accounts also increased from 3.7MM to 3.9MM over the same period.,quarter,24,Financial Results,Q2_2024,2024-07-16
Consumer Credit Card - New Accounts (K),"New credit card accounts peaked at 1,137K in 2Q23 and subsequently declined to 951K in 2Q24.",quarter,25,Financial Results,Q2_2024,2024-07-16
Consumer Vehicle Lending - New Originations ($B),"New vehicle lending originations were $6.8B in 2Q23 and 3Q23, then declined to $6.1B in 4Q23 before settling at $6.0B in 2Q24.",quarter,25,Financial Results,Q2_2024,2024-07-16
Residential Mortgage - New Originations ($B),"New residential mortgage originations fluctuated, starting at $5.9B in 2Q23, dipping to $3.4B in 1Q24, and recovering to $5.7B in 2Q24.",quarter,25,Financial Results,Q2_2024,2024-07-16
Home Equity - New Originations ($B),"New home equity originations were highest at $2.5B in 2Q23, then trended down to $1.9B in 1Q24, before recovering to $2.4B in 2Q24.",quarter,25,Financial Results,Q2_2024,2024-07-16
Digital Users and Households,"Active digital users grew from 41MM in 2Q21 to 47MM in 2Q24, while verified users grew from 53MM to 58MM. Household adoption increased from 70% to 77% over the same period.",quarter,26,Financial Results,Q2_2024,2024-07-16
Digital Channel Usage,"Digital channel usage (logins) increased from 2,567MM in 2Q21 to 3,466MM in 2Q24. Digital appointments also grew significantly from 796K to 911K over the last two years shown.",quarter,26,Financial Results,Q2_2024,2024-07-16
Digital Sales,"Digital unit sales increased from 1,368K in 2Q22 to 1,659K in 2Q24. Digital sales as a percentage of total sales rose from 44% to 53% in the same period.",quarter,26,Financial Results,Q2_2024,2024-07-16
Erica Active Users and Interactions (MM),"Erica active users grew steadily from 12.4MM in 2Q21 to 19.6MM in 2Q24. Interactions with Erica also increased, from 94.2MM in 2Q21 to 167.0MM in 2Q24.",quarter,26,Financial Results,Q2_2024,2024-07-16
Person-to-Person Payments (Zelle),"Zelle active users increased from 14.3MM in 2Q21 to 22.6MM in 2Q24. The volume of transactions grew from 189MM to 382MM, and the value of transactions increased from $57B to $115B over the same period.",quarter,26,Financial Results,Q2_2024,2024-07-16
Checks vs. Zelle Sent Transactions (MM),"Zelle sent transactions have surpassed checks written, growing to 244MM in 2Q24, while checks written declined to 100MM. The volume of Zelle transactions is now approximately 2.4 times that of checks.",quarter,26,Financial Results,Q2_2024,2024-07-16
Average Deposits ($B),"Average deposits in Global Wealth & Investment Management remained relatively stable, fluctuating between $288B and $297B from 2Q23 to 2Q24, ending the period at $288B.",quarter,27,Financial Results,Q2_2024,2024-07-16
Average Loans and Leases ($B),"Average loans and leases increased slightly from $219B in 2Q23 to $223B in 2Q24. This was driven by growth in securities-based lending and consumer real estate, while custom lending and credit card balances remained stable.",quarter,27,Financial Results,Q2_2024,2024-07-16
Total Revenue ($B),"Total revenue grew from $5.2B in 2Q23 to $5.6B in 2Q24. This growth was primarily driven by an increase in asset management fees, which rose from $2.9B to $3.3B over the period.",quarter,27,Financial Results,Q2_2024,2024-07-16
Client Balances ($B),"Total client balances increased from $3,635B in 2Q23 to $4,012B in 2Q24. This growth was seen across AUM, Brokerage/other, Deposits, and Loans and leases.",quarter,27,Financial Results,Q2_2024,2024-07-16
Digital Households / Relationships,The number of digital households/relationships grew from 681K in 2Q21 to 742K in 2Q24. Digital adoption increased from 80% to 85% over the same period.,quarter,28,Financial Results,Q2_2024,2024-07-16
Digital Channel Adoption,"Mobile adoption has steadily increased from 53% in 2Q21 to 62% in 2Q24, while overall online adoption has remained high, fluctuating between 75% and 78%.",quarter,28,Financial Results,Q2_2024,2024-07-16
eDelivery,"eDelivery adoption has consistently grown, increasing from 73% in 2Q21 to 80% in 2Q24.",quarter,28,Financial Results,Q2_2024,2024-07-16
Erica Interactions (MM),"Interactions with the Erica digital assistant have more than doubled, growing from 1.4 million in 2Q21 to 3.0 million in 2Q24.",quarter,28,Financial Results,Q2_2024,2024-07-16
Person-to-Person Payments (Zelle),Zelle transaction volume increased from 1.3MM in 2Q21 to 3.9MM in 2Q24. The corresponding transaction value grew from $0.7B to $2.4B over the same period.,quarter,28,Financial Results,Q2_2024,2024-07-16
Check Deposits,"Automated and digital check deposits have steadily increased their share, rising from 62% in 2Q21 to 67% in 2Q24. Physical check deposits decreased from 1.5MM to 1.2MM over the period.",quarter,28,Financial Results,Q2_2024,2024-07-16
Average Deposits ($B),Average deposits in Global Banking grew from $498B in 2Q23 to $525B in 2Q24. The proportion of interest-bearing deposits increased from 58% to 70% over the period.,quarter,29,Financial Results,Q2_2024,2024-07-16
Average Loans and Leases ($B),"Average loans and leases slightly decreased from $383B in 2Q23 to $373B in 2Q24. The decline was primarily in Corporate and Commercial lending, while Business Banking remained stable.",quarter,29,Financial Results,Q2_2024,2024-07-16
Total Revenue ($B),"Total revenue in Global Banking fluctuated, starting at $6.5B in 2Q23 and ending at $6.1B in 2Q24. Net interest income decreased over the period, while IB fees and service charges remained relatively stable.",quarter,29,Financial Results,Q2_2024,2024-07-16
Total Corporation IB Fees ($MM),"Total Corporation IB fees increased from $1,212MM in 2Q23 to $1,561MM in 2Q24. Growth was primarily driven by Debt and Equity underwriting fees.",quarter,29,Financial Results,Q2_2024,2024-07-16
Business Adoption %,"Digital adoption among relationship clients has grown steadily, increasing from 75% in 2Q21 to 87% in 2Q24.",quarter,30,Financial Results,Q2_2024,2024-07-16
Mobile App Sign-ins (K),"Mobile app sign-ins have shown strong growth, increasing from 727K in 2Q21 to 1,870K in 2Q24.",quarter,30,Financial Results,Q2_2024,2024-07-16
CashPro App Payments,CashPro app payment value has grown significantly from $84B in 2Q22 to $253B in 2Q24. Payment volume also increased from 2.8MM to 4.0MM over the same period.,quarter,30,Financial Results,Q2_2024,2024-07-16
Erica Interactions on CashPro Chat (K),"Interactions with Erica on CashPro Chat have been robust since its introduction, with 29.7K interactions recorded in 2Q24.",quarter,30,Financial Results,Q2_2024,2024-07-16
Proactive Alerts and Insights (MM),The volume of proactive alerts and insights sent to clients has increased from 17.1MM in 2Q21 to 22.4MM in 2Q24.,quarter,30,Financial Results,Q2_2024,2024-07-16
Capital Markets Digital Bond Orders (%),"The percentage of U.S. Dollar Investment Grade Debt bond orders processed digitally has grown substantially, from 8% in 2Q22 to 29% in 2Q24.",quarter,30,Financial Results,Q2_2024,2024-07-16
2024 YTD Global Markets Revenue Mix (excl. net DVA),"Year-to-date 2024, the Global Markets revenue mix is 63% from U.S. / Canada and 37% from International.",quarter,31,Financial Results,Q2_2024,2024-07-16
2024 YTD Total FICC S&T Revenue Mix (excl. net DVA),"Year-to-date 2024, the FICC sales and trading revenue mix is 52% from Macro products (currencies, interest rates, commodities) and 48% from Credit / Other.",quarter,31,Financial Results,Q2_2024,2024-07-16
Total Sales and Trading Revenue (excl. net DVA) ($B),"Year-to-date total sales and trading revenue has grown from $8.7B in 2021 to $9.9B in 2024. Both FICC and Equities revenue have contributed to this growth, with Equities showing a notable increase in 2024 YTD.",quarter,31,Financial Results,Q2_2024,2024-07-16
Average Trading-Related Assets ($B) and VaR ($MM),Average trading-related assets have increased from $534B in 2021 YTD to $635B in 2024 YTD. Average VaR has also risen from $76MM to $85MM over the same period.,quarter,31,Financial Results,Q2_2024,2024-07-16
