caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
Net Charge-offs ($MM),"Net charge-offs have been relatively stable over the past five quarters, standing at $1,452MM in 1Q25. The net charge-off ratio has also remained stable, at 0.54% in 1Q25.",quarter,14,Financial Results,Q1_2025,2025-04-15
Provision for Credit Losses ($MM),"The provision for credit losses was $1,480MM in 1Q25, a slight increase from $1,452MM in 4Q24 but higher than the $1,319MM in 1Q24.",quarter,14,Financial Results,Q1_2025,2025-04-15
Consumer Net Charge-offs ($MM),"Consumer net charge-offs increased to $1,119MM in 1Q25 from $1,028MM in 1Q24, driven by credit card charge-offs. The consumer NCO ratio also increased, reaching 0.98% in 1Q25.",quarter,15,Financial Results,Q1_2025,2025-04-15
Commercial Net Charge-offs ($MM),"Commercial net charge-offs decreased to $333MM in 1Q25 from $470MM in 1Q24. The commercial NCO ratio has also declined to 0.22% in 1Q25 from 0.32% a year ago, driven by lower C&I charge-offs.",quarter,15,Financial Results,Q1_2025,2025-04-15
Loan Mix,"The loan mix has shifted from 4Q09 to 1Q25. In 4Q09, the $1,003B portfolio was 67% Consumer and 33% Commercial. By 1Q25, the $1,111B portfolio became 58% Commercial and 42% Consumer, indicating a significant rebalancing towards commercial lending.",quarter,21,Financial Results,Q1_2025,2025-04-15
Consumer Loan Portfolio ($B),"The consumer loan portfolio composition changed significantly from $675B in 4Q09 to $468B in 1Q25. Residential mortgage and home equity lending decreased dramatically (e.g., home equity down 83%), while consumer credit card and other consumer loans saw more moderate changes.",quarter,21,Financial Results,Q1_2025,2025-04-15
Commercial Loan Portfolio ($B),"The commercial loan portfolio grew from $328B in 4Q09 to $643B in 1Q25. U.S. commercial loans nearly doubled, and other commercial loans grew approximately fivefold, indicating strong expansion in these areas.",quarter,21,Financial Results,Q1_2025,2025-04-15
Federal Reserve Stress Test Loan Loss Rates (%),"The line chart shows the nine-quarter severely adverse scenario loss rates from the Federal Reserve Stress Test for Bank of America (BAC) and three peers from 2013 to 2024. BAC's loss rate has generally been below its peers, and in 2024 it was 5.5%, lower than Peer 1 (6.3%), Peer 2 (7.6%), and Peer 3 (6.0%).",quarter,21,Financial Results,Q1_2025,2025-04-15
Consumer Loan Portfolio Average Balance,"The bar chart shows the average balance of the total consumer loan portfolio at $462B. This is broken down into Residential Mortgage ($229B), Credit Card ($100B), Consumer Vehicle Lending ($54B), Securities-Based Lending ($52B), and Home Equity ($26B).",quarter,23,Financial Results,Q1_2025,2025-04-15
Total Revenue ($B),"Total revenue in Consumer Banking was $10.5B in 1Q25, slightly down from $10.6B in 4Q24 but up from $10.2B in 1Q24. Net interest income has been the dominant component, at $8.5B in 1Q25.",quarter,25,Financial Results,Q1_2025,2025-04-15
Total Expense ($B) and Efficiency,Total expense increased to $5.8B in 1Q25 from $5.6B in 4Q24. The efficiency ratio increased to 56% in 1Q25 from 53% in 4Q24.,quarter,25,Financial Results,Q1_2025,2025-04-15
Average Deposits ($B),"Average deposits have remained relatively stable, totaling $948B in 1Q25. The mix between low-interest/noninterest checking and other deposits has also been consistent over the past year.",quarter,25,Financial Results,Q1_2025,2025-04-15
Average Loans and Leases ($B),"Average loans and leases were stable at $315B in 1Q25. The composition has been consistent, with residential mortgage ($115B) and consumer credit card ($97B) being the largest components.",quarter,25,Financial Results,Q1_2025,2025-04-15
Consumer Investment Assets ($B) and Accounts (MM),Consumer investment assets decreased to $498B in 1Q25 from a peak of $518B in 4Q24. The number of accounts remained stable at 4.0MM.,quarter,25,Financial Results,Q1_2025,2025-04-15
Digital Users and Households,"Digital adoption continues to grow, with 59 million verified users and 49 million active users in 1Q25. Household adoption reached 78%.",quarter,26,Financial Results,Q1_2025,2025-04-15
Digital Channel Usage,"Digital channel usage (desktop and mobile sessions) increased to 3,972 million in 1Q25, up from 2,748 million in 1Q22, showing a steady upward trend.",quarter,26,Financial Results,Q1_2025,2025-04-15
Digitally-Enabled Sales,"The number of digitally-enabled sales reached 1,976,000 in 1Q25, with digital sales making up 65% of total sales, a significant increase from 53% in 1Q23.",quarter,26,Financial Results,Q1_2025,2025-04-15
Erica Active Users and Interactions,"Erica active users grew to 19.9 million in 1Q25, with interactions reaching 175.5 million, indicating increasing engagement with the digital assistant.",quarter,26,Financial Results,Q1_2025,2025-04-15
Person-to-Person Payments (Zelle),"Zelle usage has shown strong growth, with 23.9 million active users in 1Q25. The number of transactions rose to 416 million, with a total volume of $150B.",quarter,26,Financial Results,Q1_2025,2025-04-15
Zelle vs. Cash and Checks (MM),"The volume of Zelle sent transactions (263 million) surpassed cash withdrawn & checks written (202 million) in 1Q25, with Zelle transactions being 1.3 times higher.",quarter,26,Financial Results,Q1_2025,2025-04-15
Average Deposits ($B),"Average deposits in GWIM were $286B in 1Q25, down from $297B in 1Q24. There has been a shift from sweep deposits to bank deposits over the year.",quarter,27,Financial Results,Q1_2025,2025-04-15
Average Loans and Leases ($B),"Average loans and leases grew steadily to $232B in 1Q25 from $219B in 1Q24, with growth across all lending categories including securities-based lending and custom lending.",quarter,27,Financial Results,Q1_2025,2025-04-15
Total Revenue ($B),"Total revenue increased to $6.0B in 1Q25 from $5.6B in 1Q24, driven by growth in asset management fees, which rose to $3.7B.",quarter,27,Financial Results,Q1_2025,2025-04-15
Client Balances ($B),"Total client balances were $4,157B in 1Q25, up from $3,973B in 1Q24. The growth was driven by increases in AUM and loans/leases, despite a slight dip from 4Q24.",quarter,27,Financial Results,Q1_2025,2025-04-15
Digital Households / Relationships,"The number of digitally engaged households/relationships grew to 759,000 in 1Q25, with the digital adoption rate increasing to 87% from 81% in 1Q22.",quarter,28,Financial Results,Q1_2025,2025-04-15
Digital Channel Adoption,"Digital channel adoption has reached 81% in 1Q25, with mobile adoption at 64% and online adoption steady. Overall adoption has increased from 75% in 1Q22.",quarter,28,Financial Results,Q1_2025,2025-04-15
eDelivery,"eDelivery adoption has consistently increased, reaching 82% in 1Q25, up from 74% in 1Q22.",quarter,28,Financial Results,Q1_2025,2025-04-15
Erica Interactions (MM),"Erica interactions have grown steadily, reaching 3.5 million in 1Q25 from 1.8 million in 1Q22, indicating increased use of the digital assistant.",quarter,28,Financial Results,Q1_2025,2025-04-15
Person-to-Person Payments (Zelle),"Zelle transaction volume has grown, reaching $4.2B in 1Q25 from $1.2B in 1Q22, with a corresponding increase in the number of transactions.",quarter,28,Financial Results,Q1_2025,2025-04-15
Check Deposits,"The majority of check deposits are now digital. In 1Q25, 68% of check deposits were made via digital channels and 7% via ATM, while only 24% were physical.",quarter,28,Financial Results,Q1_2025,2025-04-15
Average Deposits ($B),Average deposits in Global Banking increased to $575B in 1Q25 from $526B in 1Q24. The proportion of noninterest-bearing deposits has decreased from 31% to 27% over the same period.,quarter,29,Financial Results,Q1_2025,2025-04-15
Average Loans and Leases ($B),"Average loans and leases increased to $379B in 1Q25 from $374B in 1Q24, with modest growth in both commercial and corporate lending.",quarter,29,Financial Results,Q1_2025,2025-04-15
Total Revenue ($B),"Total revenue for Global Banking was $6.0B in 1Q25, flat compared to 1Q24. The composition shows net interest income at $3.2B, service charges at $1.0B, and IB fees at $0.8B.",quarter,29,Financial Results,Q1_2025,2025-04-15
Total Corporation IB Fees ($MM),"Total corporate IB fees were $1,523MM in 1Q25, down from $1,568MM in 1Q24. Debt fees ($942MM) were the largest component, followed by advisory ($272MM) and equity ($384MM).",quarter,29,Financial Results,Q1_2025,2025-04-15
Relationship Client Adoption %,"Digital adoption among relationship clients in Global Banking has remained high and stable, at 86% in 1Q25, consistent with previous quarters.",quarter,30,Financial Results,Q1_2025,2025-04-15
Mobile App Sign-ins (K),"Mobile app sign-ins for Global Banking clients have shown strong and consistent growth, increasing from 931,000 in 1Q22 to 2,154,000 in 1Q25.",quarter,30,Financial Results,Q1_2025,2025-04-15
CashPro App Payments,"Payments through the CashPro app have seen substantial growth. The value of payments increased to $222B in 1Q25 from $136B in 1Q22, while the volume of payments grew to 4.3 million from 2.4 million over the same period.",quarter,30,Financial Results,Q1_2025,2025-04-15
Erica Interactions on CashPro Chat (K),"Erica interactions on CashPro Chat have increased from 29,700 in 2Q24 to 33,500 in 1Q25, indicating growing engagement since its integration.",quarter,30,Financial Results,Q1_2025,2025-04-15
Proactive Alerts and Insights (MM),"The volume of proactive alerts and insights sent to clients has steadily increased, reaching 23.4 million in 1Q25, up from 17.5 million in 1Q22.",quarter,30,Financial Results,Q1_2025,2025-04-15
Capital Markets Digital Bond Orders (%),"The percentage of U.S. Dollar Investment Grade Debt investor bond orders processed digitally has surged, reaching 37% in 1Q25, up significantly from 5% in 1Q22 and 23% in 4Q24.",quarter,30,Financial Results,Q1_2025,2025-04-15
1Q25 Global Markets Revenue Mix (excl. net DVA),"The revenue mix for Global Markets in 1Q25 is dominated by U.S. / Canada, which accounts for 62% of the revenue, while International operations contribute the remaining 38%.",quarter,31,Financial Results,Q1_2025,2025-04-15
1Q25 Total FICC Sales and Trading Revenue Mix (excl. net DVA),"The FICC sales and trading revenue in 1Q25 is split between Credit/Other, making up 54% of the total, and Macro products, which account for the remaining 46%.",quarter,31,Financial Results,Q1_2025,2025-04-15
Total Sales and Trading Revenue (excl. net DVA) ($B),"Total sales and trading revenue (excluding net DVA) has grown to $5.6B in 1Q25, up from $4.7B in 1Q22. Both FICC and Equities have shown growth over the period, with FICC at $3.5B and Equities at $2.2B in 1Q25.",quarter,31,Financial Results,Q1_2025,2025-04-15
Average Trading-Related Assets ($B) and VaR ($MM),"Average trading-related assets have increased to $668B in 1Q25 from $596B in 1Q22. The Average Value at Risk (VaR) has been more volatile, peaking at $103MM in 1Q23 and standing at $91MM in 1Q25.",quarter,31,Financial Results,Q1_2025,2025-04-15
