text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
"Net income of $6.7B; diluted earnings per share (EPS) of $0.76; ROE 9.4%, ROTCE 12.7%.",quarter,4,Financial Results,Q1_2024,2024-04-16
"Excluding FDIC special assessment, adjusted net income was $7.2B; adjusted diluted EPS $0.83; adjusted ROE 10.2%, adjusted ROTCE 13.8%.",quarter,4,Financial Results,Q1_2024,2024-04-16
"Revenue, net of interest expense, of $25.8B ($26.0B FTE) decreased $0.4B, or 2%, including higher investment banking and asset management fees, as well as sales and trading revenue, and lower net interest income (NII).",quarter,4,Financial Results,Q1_2024,2024-04-16
"NII of $14.0B ($14.2B FTE) decreased $0.4B, or 3%, as higher deposit costs more than offset higher asset yields and modest loan growth.",quarter,4,Financial Results,Q1_2024,2024-04-16
Provision for credit losses of $1.3B.,quarter,4,Financial Results,Q1_2024,2024-04-16
"Net charge-offs (NCOs) of $1.5B increased compared to 1Q23 and 4Q23, driven primarily by credit card and commercial real estate office.",quarter,4,Financial Results,Q1_2024,2024-04-16
Net charge-off ratio of 58 bps vs. 32 bps in 1Q23 and 45 bps in 4Q23.,quarter,4,Financial Results,Q1_2024,2024-04-16
Net reserve release of $0.2B vs. net reserve build of $0.1B in 1Q23 and net reserve release of $0.1B in 4Q23.,quarter,4,Financial Results,Q1_2024,2024-04-16
"Noninterest expense of $17.2B increased $1.0B, or 6%, vs. 1Q23.",quarter,4,Financial Results,Q1_2024,2024-04-16
"Excluding FDIC special assessment, adjusted noninterest expense of $16.5B increased $0.3B, or 2%.",quarter,4,Financial Results,Q1_2024,2024-04-16
Balance sheet remained strong.,quarter,4,Financial Results,Q1_2024,2024-04-16
"Average deposits of $1.91T increased $14B, or 1%, vs. 1Q23.",quarter,4,Financial Results,Q1_2024,2024-04-16
Average loans and leases of $1.05T were modestly higher vs. 1Q23.,quarter,4,Financial Results,Q1_2024,2024-04-16
Common Equity Tier 1 capital of $197B increased $2B from 4Q23.,quarter,4,Financial Results,Q1_2024,2024-04-16
Common Equity Tier 1 ratio of 11.8%; 184 bps above regulatory minimum.,quarter,4,Financial Results,Q1_2024,2024-04-16
Average Global Liquidity Sources of $909B.,quarter,4,Financial Results,Q1_2024,2024-04-16
"Paid $1.9B in common dividends and repurchased $2.5B of common stock, including repurchases to offset shares awarded under equity-based compensation plans.",quarter,4,Financial Results,Q1_2024,2024-04-16
CET1 ratio of 11.8% increased 4 bps vs. 4Q23.,quarter,5,Financial Results,Q1_2024,2024-04-16
"CET1 capital of $197B increased $2B from 4Q23, driven by net income, partially offset by capital distributions to shareholders.",quarter,5,Financial Results,Q1_2024,2024-04-16
"Standardized RWA of $1,660B increased $9B from 4Q23.",quarter,5,Financial Results,Q1_2024,2024-04-16
Book value per share of $33.71 improved 7% from 1Q23; tangible book value per share of $24.79 improved 9% from 1Q23.,quarter,5,Financial Results,Q1_2024,2024-04-16
"Average Global Liquidity Sources of $909B increased $12B, or 1%, from 4Q23.",quarter,5,Financial Results,Q1_2024,2024-04-16
Deposits in excess of loans grew from $0.5T in 4Q19 and peaked at $1.1T in 4Q21; remained elevated at $0.9T in 1Q24.,quarter,8,Financial Results,Q1_2024,2024-04-16
"Excess deposits are stored in cash and investment securities, with 52% in cash and AFS and 48% in HTM in 1Q24.",quarter,8,Financial Results,Q1_2024,2024-04-16
Cash levels of $313B remained well above pre-pandemic levels ($162B in 4Q19).,quarter,8,Financial Results,Q1_2024,2024-04-16
AFS securities are mostly hedged with floating rate swaps; duration is less than 0.5 years and marked through AOCI and regulatory capital.,quarter,8,Financial Results,Q1_2024,2024-04-16
The HTM securities book has declined $96B since peaking at $683B in 3Q21; it is down $38B vs. 1Q23 and $8B vs. 4Q23.,quarter,8,Financial Results,Q1_2024,2024-04-16
"MBS of $458B is down $8B, and U.S. Treasuries and other securities of $129B are flat vs. 4Q23.",quarter,8,Financial Results,Q1_2024,2024-04-16
"The HTM valuation declined $11B from 4Q23, driven primarily by higher mortgage interest rates.",quarter,8,Financial Results,Q1_2024,2024-04-16
The blended cash and securities yield continued to improve in 1Q24 and is 168 bps above the deposit rate paid.,quarter,8,Financial Results,Q1_2024,2024-04-16
"Net interest income of $14.0B ($14.2B FTE) decreased $0.4B YoY, as higher deposit costs more than offset higher asset yields, higher NII related to Global Markets (GM) activity, and modest loan growth.",quarter,9,Financial Results,Q1_2024,2024-04-16
"NII increased $0.1B from 4Q23, driven primarily by higher asset yields and NII related to GM activity, partially offset by higher deposit costs and one fewer day of interest accrual.",quarter,9,Financial Results,Q1_2024,2024-04-16
NII related to GM activity increased approximately $0.6B YoY and $0.1B from 4Q23.,quarter,9,Financial Results,Q1_2024,2024-04-16
Net interest yield of 1.99% decreased 21 bps YoY and increased 2 bps from 4Q23.,quarter,9,Financial Results,Q1_2024,2024-04-16
"Excluding GM, net interest yield was 2.50%.",quarter,9,Financial Results,Q1_2024,2024-04-16
"As of March 31, 2024, a +100 bps parallel shift above the interest rate yield curve was estimated to benefit NII by $3.0B over the next 12 months; a -100bps parallel shift was estimated to decrease NII by $2.9B.",quarter,9,Financial Results,Q1_2024,2024-04-16
1Q24 and 4Q23 noninterest expense of $17.2B and $17.7B included accruals of $0.7B and $2.1B for the estimated amount of the FDIC special assessment for uninsured deposits of certain failed banks.,quarter,10,Financial Results,Q1_2024,2024-04-16
"Excluding the FDIC special assessment, 1Q24 adjusted noninterest expense of $16.5B increased $0.3B, or 2%, vs. 1Q23, driven primarily by investments in people, including revenue-related incentives.",quarter,10,Financial Results,Q1_2024,2024-04-16
"1Q24 adjusted noninterest expense increased $0.9B, or 6%, vs. adjusted 4Q23, driven by seasonally elevated payroll taxes, revenue-related expenses, and other annual awards and merit.",quarter,10,Financial Results,Q1_2024,2024-04-16
Total net charge-offs of $1.5B increased $306MM from 4Q23.,quarter,11,Financial Results,Q1_2024,2024-04-16
"Consumer net charge-offs of $1.0B increased $115MM, driven primarily by higher credit card losses.",quarter,11,Financial Results,Q1_2024,2024-04-16
Credit card loss rate of 3.62% in 1Q24 vs. 3.07% in 4Q23.,quarter,11,Financial Results,Q1_2024,2024-04-16
"Commercial net charge-offs of $470MM increased $191MM, driven by commercial real estate office.",quarter,11,Financial Results,Q1_2024,2024-04-16
Net charge-off ratio of 0.58% increased 13 bps from 4Q23.,quarter,11,Financial Results,Q1_2024,2024-04-16
Provision for credit losses of $1.3B.,quarter,11,Financial Results,Q1_2024,2024-04-16
"Net reserve release of $179MM in 1Q24, driven primarily by commercial.",quarter,11,Financial Results,Q1_2024,2024-04-16
Allowance for loan and lease losses of $13.2B represented 1.26% of total loans and leases.,quarter,11,Financial Results,Q1_2024,2024-04-16
Total allowance of $14.4B included $1.2B for unfunded commitments.,quarter,11,Financial Results,Q1_2024,2024-04-16
"Nonperforming loans (NPLs) of $5.9B increased $0.4B from 4Q23, driven primarily by commercial real estate office.",quarter,11,Financial Results,Q1_2024,2024-04-16
61% of Consumer NPLs are contractually current.,quarter,11,Financial Results,Q1_2024,2024-04-16
Commercial reservable criticized utilized exposure of $24.5B increased $1.2B from 4Q23.,quarter,11,Financial Results,Q1_2024,2024-04-16
Net income of $2.7B.,quarter,13,Financial Results,Q1_2024,2024-04-16
"Revenue of $10.2B decreased 5% from 1Q23, driven primarily by the impact of lower deposit balances.",quarter,13,Financial Results,Q1_2024,2024-04-16
Provision for credit losses of $1.2B vs. $1.1B in 1Q23.,quarter,13,Financial Results,Q1_2024,2024-04-16
Net reserve build of $6MM vs. $360MM in 1Q23.,quarter,13,Financial Results,Q1_2024,2024-04-16
"Net charge-offs of $1.1B increased $415MM from 1Q23, driven by credit card.",quarter,13,Financial Results,Q1_2024,2024-04-16
Noninterest expense of $5.5B relatively flat to 1Q23.,quarter,13,Financial Results,Q1_2024,2024-04-16
Efficiency ratio of 54%.,quarter,13,Financial Results,Q1_2024,2024-04-16
"Average deposits of $952B decreased $74B, or 7%, from 1Q23.",quarter,13,Financial Results,Q1_2024,2024-04-16
58% of deposits in checking accounts; 92% are primary accounts.,quarter,13,Financial Results,Q1_2024,2024-04-16
"Average loans and leases of $313B increased $9B, or 3%, from 1Q23.",quarter,13,Financial Results,Q1_2024,2024-04-16
Combined credit / debit card spend of $219B increased 5% from 1Q23.,quarter,13,Financial Results,Q1_2024,2024-04-16
"Record consumer investment assets of $456B grew $101B, or 29%, from 1Q23, driven by $44B of net client flows from new and existing clients and higher market valuations.",quarter,13,Financial Results,Q1_2024,2024-04-16
"3.9MM consumer investment accounts, up 7%.",quarter,13,Financial Results,Q1_2024,2024-04-16
"11.0MM Total clients enrolled in Preferred Rewards, up 8% from 1Q23.",quarter,13,Financial Results,Q1_2024,2024-04-16
99% annualized retention rate.,quarter,13,Financial Results,Q1_2024,2024-04-16
Net income of $1.0B.,quarter,14,Financial Results,Q1_2024,2024-04-16
"Record revenue of $5.6B increased 5% from 1Q23, driven by 12% higher asset management fees, due to higher market levels and strong AUM flows, partially offset by lower net interest income.",quarter,14,Financial Results,Q1_2024,2024-04-16
"Noninterest expense of $4.3B increased 5% vs. 1Q23, driven by revenue-related incentives.",quarter,14,Financial Results,Q1_2024,2024-04-16
"Client balances of nearly $4T increased 13% from 1Q23, driven by higher market valuations and positive net client flows.",quarter,14,Financial Results,Q1_2024,2024-04-16
AUM flows of $25B in 1Q24.,quarter,14,Financial Results,Q1_2024,2024-04-16
"Average deposits of $297B decreased $17B, or 5%, from 1Q23.",quarter,14,Financial Results,Q1_2024,2024-04-16
"Average loans and leases of $219B decreased $3B, or 1%, from 1Q23.",quarter,14,Financial Results,Q1_2024,2024-04-16
"Added over 7,300 net new relationships across Merrill and Private Bank in 1Q24.",quarter,14,Financial Results,Q1_2024,2024-04-16
"86% of GWIM households / relationships digitally active across the enterprise, up from 84% in 1Q23.",quarter,14,Financial Results,Q1_2024,2024-04-16
Net income of $2.0B.,quarter,15,Financial Results,Q1_2024,2024-04-16
"Revenue of $6.0B decreased 4% from 1Q23, driven primarily by lower net interest income, partially offset by higher investment banking fees.",quarter,15,Financial Results,Q1_2024,2024-04-16
Total Corporation investment banking fees (ex. self-led) of $1.6B increased 35% vs. 1Q23.,quarter,15,Financial Results,Q1_2024,2024-04-16
Improved market share 115 bps from 1Q23; #3 investment banking fee ranking.,quarter,15,Financial Results,Q1_2024,2024-04-16
Provision for credit losses of $229MM vs. provision benefit of $237MM in 1Q23.,quarter,15,Financial Results,Q1_2024,2024-04-16
Net reserve release of $121MM vs. $324MM in 1Q23.,quarter,15,Financial Results,Q1_2024,2024-04-16
"Net charge-offs of $350MM increased $263MM from 1Q23, driven by commercial real estate office.",quarter,15,Financial Results,Q1_2024,2024-04-16
Noninterest expense of $3.0B increased 2% from 1Q23.,quarter,15,Financial Results,Q1_2024,2024-04-16
"Average deposits of $526B increased $33B, or 7%, from 1Q23.",quarter,15,Financial Results,Q1_2024,2024-04-16
"Average loans and leases of $374B decreased $7B, or 2%, from 1Q23, reflecting lower client demand.",quarter,15,Financial Results,Q1_2024,2024-04-16
Net income of $1.7B.,quarter,16,Financial Results,Q1_2024,2024-04-16
"Excluding net DVA, net income of $1.8B.",quarter,16,Financial Results,Q1_2024,2024-04-16
"Revenue of $5.9B increased 5% from 1Q23, driven by higher investment banking fees and sales and trading revenue.",quarter,16,Financial Results,Q1_2024,2024-04-16
"Sales and trading revenue of $5.1B increased less than 1% from 1Q23; excluding net DVA, up 2%.",quarter,16,Financial Results,Q1_2024,2024-04-16
"FICC revenue decreased 6% (ex. DVA, down 4%) to $3.2B, driven by a weaker trading environment in macro products, partially offset by improved trading in mortgages.",quarter,16,Financial Results,Q1_2024,2024-04-16
"Equities revenue increased 14% (ex. DVA, up 15%) to $1.9B, driven by strong trading performance in derivatives.",quarter,16,Financial Results,Q1_2024,2024-04-16
"Noninterest expense of $3.5B increased 4% vs. 1Q23, driven by investments in the business, including technology.",quarter,16,Financial Results,Q1_2024,2024-04-16
Average VaR of $80MM in 1Q24.,quarter,16,Financial Results,Q1_2024,2024-04-16
Net loss of $0.7B.,quarter,17,Financial Results,Q1_2024,2024-04-16
Noninterest expense of $1.0B included an accrual of $0.7B for the estimated amount of the FDIC special assessment for uninsured deposits of certain failed banks.,quarter,17,Financial Results,Q1_2024,2024-04-16
Total corporate effective tax rate (ETR) for the quarter was approximately 8%.,quarter,17,Financial Results,Q1_2024,2024-04-16
"Excluding the FDIC special assessment and other discrete tax items, the ETR would have been approximately 9%; further excluding recurring tax credits, primarily related to investments in renewable energy and affordable housing, the ETR would have been approximately 26%.",quarter,17,Financial Results,Q1_2024,2024-04-16
