text,bank,source,article_title,publication_date,is_comparative,document_type,reference,source_type
"Citi has been aggressively cutting costs. Third-quarter operating expenses were down 2 per cent year on year. But its efficiency ratio, a measure of expenses to revenue, was 65.2 per cent in the third quarter. That is down from the 67.1 per cent reported a year ago but still well above the 53 per cent at BofA and JPMorgan.",Bank of America,Pan Yuk,Citigroup's comeback is capped by regulatory threat,2024-10-17,True,news,"News article by Pan Yuk
Title: Citigroup's comeback is capped by regulatory threat, published 2024-10-17",external
"Citi has been aggressively cutting costs. Third-quarter operating expenses were down 2 per cent year on year. But its efficiency ratio, a measure of expenses to revenue, was 65.2 per cent in the third quarter. That is down from the 67.1 per cent reported a year ago but still well above the 53 per cent at BofA and JPMorgan.",Citigroup,Pan Yuk,Citigroup's comeback is capped by regulatory threat,2024-10-17,True,news,"News article by Pan Yuk
Title: Citigroup's comeback is capped by regulatory threat, published 2024-10-17",external
"Regulatory clean-ups are expensive. Citi must spend to fix the areas where regulators require faster progress, complicating efforts to bring costs down. Fraser, who was already trying to demonstrate that Citi had shaken off its tendency for unfortunate mis-steps, may struggle to reassure investors that Citi's turnaround can continue ""no cap"".",Citigroup,Pan Yuk,Citigroup's comeback is capped by regulatory threat,2024-10-17,False,news,"News article by Pan Yuk
Title: Citigroup's comeback is capped by regulatory threat, published 2024-10-17",external
"JPMorgan's UK digital-only bank is rolling out its first credit card to customers, expanding into lending after amassing more than £20bn in deposits in three years.",JPMorgan,Akila Quinio and Joshua Franklin,JPMorgan's Chase UK bank launches first credit card,2024-11-19,False,news,"News article by Akila Quinio and Joshua Franklin
Title: JPMorgan's Chase UK bank launches first credit card, published 2024-11-19",external
"JPMorgan, which is the largest bank in the US by assets, launched Chase UK three years ago as it sought to shake up the British banking market.",JPMorgan,Akila Quinio and Joshua Franklin,JPMorgan's Chase UK bank launches first credit card,2024-11-19,False,news,"News article by Akila Quinio and Joshua Franklin
Title: JPMorgan's Chase UK bank launches first credit card, published 2024-11-19",external
"Chase UK initially offered only current accounts with a rewards programme before adding savings and investment products. On Tuesday, it will for the first time offer a credit card to an initial pool of 25,000 UK customers, following a period of testing with the bank's employees.",JPMorgan,Akila Quinio and Joshua Franklin,JPMorgan's Chase UK bank launches first credit card,2024-11-19,False,news,"News article by Akila Quinio and Joshua Franklin
Title: JPMorgan's Chase UK bank launches first credit card, published 2024-11-19",external
"Chase UK has attracted more than 2mn customers since it launched, luring customers with cashback perks and competitive savings rates. Its credit card will have a zero per cent interest rate on purchases and no foreign exchange or annual fees.",JPMorgan,Akila Quinio and Joshua Franklin,JPMorgan's Chase UK bank launches first credit card,2024-11-19,False,news,"News article by Akila Quinio and Joshua Franklin
Title: JPMorgan's Chase UK bank launches first credit card, published 2024-11-19",external
"The JPMorgan-owned digital bank has fewer customers than London-based rivals Revolut and Monzo, which each have about 10mn. However, it has a larger deposit base because its savings products have attracted more affluent customers, while it has used the Nutmeg platform that it acquired in 2021 to offer investment products.",JPMorgan,Akila Quinio and Joshua Franklin,JPMorgan's Chase UK bank launches first credit card,2024-11-19,False,news,"News article by Akila Quinio and Joshua Franklin
Title: JPMorgan's Chase UK bank launches first credit card, published 2024-11-19",external
The move comes as JPMorgan is pressing ahead with an international expansion plan in retail banking even as rivals such as Citigroup have been scaling back their overseas network.,Citigroup,Akila Quinio and Joshua Franklin,JPMorgan's Chase UK bank launches first credit card,2024-11-19,True,news,"News article by Akila Quinio and Joshua Franklin
Title: JPMorgan's Chase UK bank launches first credit card, published 2024-11-19",external
The move comes as JPMorgan is pressing ahead with an international expansion plan in retail banking even as rivals such as Citigroup have been scaling back their overseas network.,JPMorgan,Akila Quinio and Joshua Franklin,JPMorgan's Chase UK bank launches first credit card,2024-11-19,True,news,"News article by Akila Quinio and Joshua Franklin
Title: JPMorgan's Chase UK bank launches first credit card, published 2024-11-19",external
"The strategy is a bet that JPMorgan, which has more than $4tn in assets, can build a digital-only retail bank that will ultimately be able to go head to head with local banks outside the US.",JPMorgan,Akila Quinio and Joshua Franklin,JPMorgan's Chase UK bank launches first credit card,2024-11-19,False,news,"News article by Akila Quinio and Joshua Franklin
Title: JPMorgan's Chase UK bank launches first credit card, published 2024-11-19",external
"But investors have in the past raised issues with the approach to chief executive Jamie Dimon, while JPMorgan has warned that the push could rack up more $1bn in losses. The bank said in January that it was targeting profitability for Chase UK in 2025.",JPMorgan,Akila Quinio and Joshua Franklin,JPMorgan's Chase UK bank launches first credit card,2024-11-19,False,news,"News article by Akila Quinio and Joshua Franklin
Title: JPMorgan's Chase UK bank launches first credit card, published 2024-11-19",external
"JPMorgan is expected to launch a retail banking offering in Germany next. It has made a series of hires in the market, including recruiting ING's head of retail Daniel Llano Manibardo to lead its German retail bank from Berlin.",JPMorgan,Akila Quinio and Joshua Franklin,JPMorgan's Chase UK bank launches first credit card,2024-11-19,False,news,"News article by Akila Quinio and Joshua Franklin
Title: JPMorgan's Chase UK bank launches first credit card, published 2024-11-19",external
"In the UK, Chase was boosted by a UK government decision to raise its so-called ringfencing threshold by £10bn last month, meaning it will be able to collect £35bn of customer deposits before having to separate retail operations from riskier divisions.",JPMorgan,Akila Quinio and Joshua Franklin,JPMorgan's Chase UK bank launches first credit card,2024-11-19,False,news,"News article by Akila Quinio and Joshua Franklin
Title: JPMorgan's Chase UK bank launches first credit card, published 2024-11-19",external
The new year will start with more branches closing for Bank of America. Here's the list of locations that could be shuttered beginning January 2025.,Bank of America,"Corina González, Gidget Alikpala",Bank of America branches closing in January 2025: Full List - AS USA,2025-01-01,False,news,"News article by Corina González, Gidget Alikpala
Title: Bank of America branches closing in January 2025: Full List - AS USA, published 2025-01-01",external
"Each week, the Office of the Comptroller of the Currency or OCC shares a list of bank branches that will be closing in the coming months. Some of these bulletins include closures of several Bank of America locations, which could begin as early as January 2025.",Bank of America,"Corina González, Gidget Alikpala",Bank of America branches closing in January 2025: Full List - AS USA,2025-01-01,False,news,"News article by Corina González, Gidget Alikpala
Title: Bank of America branches closing in January 2025: Full List - AS USA, published 2025-01-01",external
"Considering the announcement of a bank's closure must be made at least 90 days in advance, we can estimate that the October newsletters include information on Bank of America branches that could begin to close in January this year.",Bank of America,"Corina González, Gidget Alikpala",Bank of America branches closing in January 2025: Full List - AS USA,2025-01-01,False,news,"News article by Corina González, Gidget Alikpala
Title: Bank of America branches closing in January 2025: Full List - AS USA, published 2025-01-01",external
"In October, the Office of the Comptroller of the Currency shared four weekly newsletters, which shared Bank of America Advance Closure Notices at these locations, including several in California and Florida: 49 EAST CHICAGO AVENUE, CHICAGO, IL; 6351 EAST SPRING STREET, LONG BEACH, CA; 133 MASSACHUSETTS AVENUE, BOSTON, MA; 8760 WILSHIRE BOULEVARD, BEVERLY HILLS, CA; 702 MISSION AVE, OCEANSIDE, CA; 8681 CYPRESS LAKE DRIVE, FORT MYERS, FL; 902 SOUTH ATLANTIC AVENUE, ORMOND BEACH, FL; 2700 WEST DR. MARTIN L. KING JR. BOULEVARD, TAMPA, FL; 969 SOUTH GALLATIN ROAD, NASHVILLE, TN; 69 SOUTH GALLATIN ROAD, NASHVILLE, TN; 992 COOKE STREET, WATERBURY, CT; 1501 QUEEN ANNE AVE N, SEATTLE, WA",Bank of America,"Corina González, Gidget Alikpala",Bank of America branches closing in January 2025: Full List - AS USA,2025-01-01,False,news,"News article by Corina González, Gidget Alikpala
Title: Bank of America branches closing in January 2025: Full List - AS USA, published 2025-01-01",external
"Wall Street analysts are betting Citigroup will miss a critical long-term target, heaping pressure on chief executive Jane Fraser to prove her sweeping overhaul will succeed in turning around one of America's biggest banks.",Citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False,news,"News article by Stephen Gandel
Title: Wall Street doubts Citi chief Jane Fraser can hit crucial target, published 2025-01-08",external
"Analysts expect Citi to reach return on tangible common equity - a closely watched profitability measure - of just over 9 per cent next year, well short of Fraser's goal set in 2022 of hitting 11 per cent to 12 per cent by 2026, FactSet data shows.",Citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False,news,"News article by Stephen Gandel
Title: Wall Street doubts Citi chief Jane Fraser can hit crucial target, published 2025-01-08",external
"The gulf highlights how the overhaul Fraser has led since taking the helm as CEO four years ago has yet to revive the third-biggest US bank by assets, which has struggled to find its footing since its near collapse at the height of the 2008 financial crisis.",Citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False,news,"News article by Stephen Gandel
Title: Wall Street doubts Citi chief Jane Fraser can hit crucial target, published 2025-01-08",external
"Doubts over whether Citi can boost revenues and cut costs enough to meet its profitability target have left its shares, even after rising by more than a third in the past year, trading at about 30 per cent below book value.",Citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False,news,"News article by Stephen Gandel
Title: Wall Street doubts Citi chief Jane Fraser can hit crucial target, published 2025-01-08",external
"Citi will report its fourth-quarter earnings next week. The bank is expected to swing to a profit from a loss in the last three months of 2023, but the bank's return on tangible equity is only predicted to be 5.6 per cent.",Citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,False,news,"News article by Stephen Gandel
Title: Wall Street doubts Citi chief Jane Fraser can hit crucial target, published 2025-01-08",external
"While analysts expect Citi's return on tangible common equity to rise to 9.4 per cent by the end of 2026, rivals JPMorgan Chase, Bank of America and Wells Fargo are forecast to register 17 per cent, 15 per cent and 14 per cent, respectively, according to FactSet.",JPMorgan,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,True,news,"News article by Stephen Gandel
Title: Wall Street doubts Citi chief Jane Fraser can hit crucial target, published 2025-01-08",external
"While analysts expect Citi's return on tangible common equity to rise to 9.4 per cent by the end of 2026, rivals JPMorgan Chase, Bank of America and Wells Fargo are forecast to register 17 per cent, 15 per cent and 14 per cent, respectively, according to FactSet.",Bank of America,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,True,news,"News article by Stephen Gandel
Title: Wall Street doubts Citi chief Jane Fraser can hit crucial target, published 2025-01-08",external
"While analysts expect Citi's return on tangible common equity to rise to 9.4 per cent by the end of 2026, rivals JPMorgan Chase, Bank of America and Wells Fargo are forecast to register 17 per cent, 15 per cent and 14 per cent, respectively, according to FactSet.",Citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,True,news,"News article by Stephen Gandel
Title: Wall Street doubts Citi chief Jane Fraser can hit crucial target, published 2025-01-08",external
