caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
Branded Cards - NCL and 90+DPD Trends,"For Branded Cards, both Net Credit Loss (NCL) and 90+ Day Past Due (DPD) rates have trended upwards from 2Q22 to 2Q24. NCL rate increased from 1.68% in 2Q23 to 3.82% in 2Q24, while DPD rose from 0.81% to 1.09% in the same period.",quarter,22,Financial Results,Q2_2024,2024-07-12
Branded Cards - ACLL Balance and Ratio Trends,"The Allowance for Credit Losses on Loans (ACLL) Balance for Branded Cards has steadily increased from $5.8B in 2Q22 to $7.1B in 2Q24. The ACLL to EOP Loans ratio has remained relatively stable, fluctuating around 6.0% to 6.6% and ending at 6.4% in 2Q24.",quarter,22,Financial Results,Q2_2024,2024-07-12
Retail Services - NCL and 90+DPD Trends,"For Retail Services, NCL and DPD rates have shown a significant upward trend from 2Q22 to 2Q24. The NCL rate rose from 4.46% in 2Q23 to 6.45% in 2Q24, and the DPD rate increased from 1.77% to 2.36% over the same year.",quarter,22,Financial Results,Q2_2024,2024-07-12
Retail Services - ACLL Balance and Ratio Trends,"The ACLL Balance for Retail Services has grown from $4.5B in 2Q22 to $6.2B in 2Q24. The ACLL to EOP Loans ratio has also increased over this period, from 9.8% to 11.9%.",quarter,22,Financial Results,Q2_2024,2024-07-12
Net Investment Change in Argentina Since 2Q23,"Citi's net investment in Argentina decreased from $1.9 billion in 2Q23 to $1.4 billion in 2Q24. The key movements include a reduction to $1.0B by 4Q23, an increase to $1.6B in 1Q24 due to net income, and a final reduction in 2Q24 driven by a $0.2B capital repatriation that exceeded net income.",quarter,23,Financial Results,Q2_2024,2024-07-12
Trend in Russia Exposure Since 4Q21,"Citi's exposure to Russia has decreased from $9.8 billion in 4Q21 to $8.2 billion in 2Q24, a reduction of approximately 16%. The exposure saw a dip to $6.6 billion in 4Q23 before rising again due to factors like unremittable corporate dividends and ruble appreciation.",quarter,24,Financial Results,Q2_2024,2024-07-12
Trend in Russia net investment Since 4Q21,Citi's net investment in Russia has significantly decreased from $1.0 billion in 4Q21 to just $0.1 billion in 2Q24. The reduction includes the impact of a $1.2B transfer risk reserve and $0.2B in FX devaluation during 2023. The net investment was stable at $0.2B in 4Q23 and 1Q24 before a further decline in 2Q24.,quarter,24,Financial Results,Q2_2024,2024-07-12
Average LCR and Historical Trajectory (30-Day Stress),"In 2Q24, Citi's average High Quality Liquid Assets (HQLA) of $542 billion provided a cushion of $78 billion over its Net Cash Outflow of $464 billion. This resulted in a Liquidity Coverage Ratio (LCR) of 117%, slightly down from 119% in 2023.",quarter,25,Financial Results,Q2_2024,2024-07-12
EOP Available Liquidity Resources,"End-of-period available liquidity resources totaled $899 billion, composed of $528 billion in HQLA and $371 billion in other liquidity resources (unencumbered securities and unused borrowing capacity). HQLA itself is comprised of $176 billion in cash, $352 billion in securities like U.S. Treasuries, and other components.",quarter,25,Financial Results,Q2_2024,2024-07-12
Historical average deposit growth by segment,"Total average deposits have grown at a CAGR of 4.8% since 2Q18, reaching $1,310 billion in 2Q24. The growth has been primarily driven by the Services segment, which saw a 5.7% CAGR and reached $804 billion in 2Q24. Deposits in Wealth and USPB have shown more modest growth over the period, while 'All other' deposits have declined.",quarter,26,Financial Results,Q2_2024,2024-07-12
