caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
1Q24 QoQ Standardized CET1 Ratio Walk,The waterfall chart shows the change in the Standardized CET1 Ratio from 13.4% at the end of 4Q23 to 13.5% at the end of 1Q24. Net Income contributed +27 bps and RWA & Other contributed +6 bps. These gains were partially offset by Capital Distributions (-13 bps) and DTA (-10 bps).,quarter,11,Financial Results,Q1_2024,2024-04-12
CET1 Standardized Regulatory Requirement and Target,"The CET1 capital stack shows that the actual 1Q24 ratio of 13.5% is composed of a 4.5% Regulatory Minimum, a 3.5% G-SIB Surcharge, a 4.3% Stress Capital Buffer, and a 1.2% Management Buffer and Excess. This is comfortably above the effective regulatory requirement of 12.3%.",quarter,11,Financial Results,Q1_2024,2024-04-12
Credit Trends for Branded Cards,"Credit metrics for Branded Cards show a consistent upward trend from 1Q22 to 1Q24. The Net Credit Loss (NCL) rate rose from 1.46% to 3.65%, and the 90+ Days Past Due (DPD) rate increased from 0.47% to 1.19%. The Allowance for Credit Losses (ACLL) balance grew from $5.7B to $6.9B, while the ACLL as a percentage of EOP Loans remained relatively stable, ending at 6.4% in 1Q24.",quarter,21,Financial Results,Q1_2024,2024-04-12
Credit Trends for Retail Services,"Retail Services credit metrics have deteriorated more significantly from 1Q22 to 1Q24. The NCL rate climbed from 2.31% to 6.32%, and the 90+ DPD rate increased from 1.15% to 2.53%. The ACLL balance rose from $4.2B to $6.1B, and the ACLL as a percentage of EOP Loans increased from 9.5% to 11.9% over the period.",quarter,21,Financial Results,Q1_2024,2024-04-12
Net Investment Change in Argentina Since 4Q22,"Citi's net investment in Argentina was $1.7 billion in 4Q22. It decreased significantly during 2023 due to a $1.9 billion devaluation and a $0.5 billion transfer risk reserve, ending 4Q23 at $1.0 billion. In 1Q24, the net investment recovered to $1.6 billion, driven by total net income.",quarter,22,Financial Results,Q1_2024,2024-04-12
Trend in Russia Exposure Since 4Q21,"Total Russia exposure has decreased by 29% from $9.8 billion in 4Q21 to $7.0 billion in 1Q24. There was a slight increase in 1Q24 from 4Q23, driven by unremittable corporate dividends.",quarter,23,Financial Results,Q1_2024,2024-04-12
Trend in Russia net investment Since 4Q21,Net investment in Russia has declined from $1.0 billion in 4Q21 to $0.2 billion in 4Q23 and has remained stable at that level through 1Q24. The significant drop occurred in 2023 due to a $1.2 billion transfer risk reserve.,quarter,23,Financial Results,Q1_2024,2024-04-12
Average LCR and Historical Trajectory (30-Day Stress),"In 1Q24, Citi's average High-Quality Liquid Assets (HQLA) of $552 billion comfortably exceeded its Net Cash Outflow of $473 billion, resulting in a Liquidity Coverage Ratio (LCR) of 117%. This represents a liquidity cushion of approximately $79 billion.",quarter,24,Financial Results,Q1_2024,2024-04-12
EOP Available Liquidity Resources,"At the end of 1Q24, Citi held $965 billion in available liquidity resources. This was composed of $555 billion in HQLA (which includes cash, U.S. Treasuries, and foreign sovereign securities) and $410 billion in other liquidity resources (unencumbered securities and unused borrowing capacity).",quarter,24,Financial Results,Q1_2024,2024-04-12
Historical average deposit growth,"From 1Q18 to 1Q24, Citi's total average deposits grew at a CAGR of 5.1%, while Services deposits grew at a 6.0% CAGR. Total deposits peaked in late 2022 and have since moderated, standing at $1,326 billion in 1Q24. Services deposits have been a consistent and significant portion, at $808 billion in 1Q24. Wealth, USPB, and All Other deposits have seen more modest growth and recent declines.",quarter,25,Financial Results,Q1_2024,2024-04-12
