row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Repositioning,2,Repositioning costs decreased from ~$0.3B in 1Q24 to ~$0.0B in 2Q24.,Repositioning costs decreased from ~$0.2B in 3Q23 to ~$0.0B in 2Q24.,0.0,0.3,0.2,,,,Billion USD,7,Outlook,Q2_2024,2024-07-12
Civil Money Penalties,3,,,0.1,,,,,,Billion USD,7,Outlook,Q2_2024,2024-07-12
EOP Card Loans,1,increased from $159B in 1Q24 to $164B in 2Q24.,increased from $153B in 2Q23 to $164B in 2Q24.,164.0,159.0,153.0,,,,$ in B,10,Financial Results,Q2_2024,2024-07-12
NCLs,2,increased from $1.8B in 1Q24 to $1.9B in 2Q24.,increased from $1.2B in 2Q23 to $1.9B in 2Q24.,1.9,1.8,1.2,,,,$ in B,10,Financial Results,Q2_2024,2024-07-12
% of Avg Loans,3,increased from 4.5% in 1Q24 to 4.7% in 2Q24.,increased from 3.1% in 2Q23 to 4.7% in 2Q24.,4.7,4.5,3.1,,,,%,10,Financial Results,Q2_2024,2024-07-12
90+ Days Past Due (DPD),4,decreased from 1.6% in 1Q24 to 1.5% in 2Q24.,increased from 1.1% in 2Q23 to 1.5% in 2Q24.,1.5,1.6,1.1,,,,%,10,Financial Results,Q2_2024,2024-07-12
ACLL / EOP Loans,5,decreased slightly from 8.2% in 1Q24 to 8.1% in 2Q24.,increased from 7.9% in 2Q23 to 8.1% in 2Q24.,8.1,8.2,7.9,,,,%,10,Financial Results,Q2_2024,2024-07-12
EOP Corporate Loans,1,increased from $293B in 1Q24 to $302B in 2Q24.,increased from $286B in 2Q23 to $302B in 2Q24.,302.0,293.0,286.0,,,,$ in B,10,Financial Results,Q2_2024,2024-07-12
NCLs,2,decreased from $0.2B in 1Q24 to $0.1B in 2Q24.,remained flat at $0.1B compared to 2Q23.,0.1,0.2,0.1,,,,$ in B,10,Financial Results,Q2_2024,2024-07-12
% of Avg Loans,3,decreased from 0.2% in 1Q24 to 0.1% in 2Q24.,remained flat at 0.1% compared to 2Q23.,0.1,0.2,0.1,,,,%,10,Financial Results,Q2_2024,2024-07-12
NALs,4,decreased from $1.5B in 1Q24 to $1.0B in 2Q24.,decreased from $1.3B in 2Q23 to $1.0B in 2Q24.,1.0,1.5,1.3,,,,$ in B,10,Financial Results,Q2_2024,2024-07-12
% of Loans,5,decreased from 0.5% in 1Q24 to 0.3% in 2Q24.,decreased from 0.4% in 2Q23 to 0.3% in 2Q24.,0.3,0.5,0.4,,,,%,10,Financial Results,Q2_2024,2024-07-12
ACLL / EOP Loans,6,decreased from 1.0% in 1Q24 to 0.8% in 2Q24.,decreased from 0.9% in 2Q23 to 0.8% in 2Q24.,0.8,1.0,0.9,,,,%,10,Financial Results,Q2_2024,2024-07-12
CET1 Capital,1,increased from 153 in 1Q24 to 154 in 2Q24.,remained flat at 154 compared to 2Q23.,154.0,153.0,154.0,,,,$ in B,11,Financial Results,Q2_2024,2024-07-12
Standardized RWA,2,"decreased from 1,139 in 1Q24 to 1,136 in 2Q24.","decreased from 1,153 in 2Q23 to 1,136 in 2Q24.",1136.0,1139.0,1153.0,,,,$ in B,11,Financial Results,Q2_2024,2024-07-12
CET1 Capital Ratio - Standardized,3,increased from 13.5% in 1Q24 to 13.6% in 2Q24.,increased from 13.4% in 2Q23 to 13.6% in 2Q24.,13.6,13.5,13.4,,,,%,11,Financial Results,Q2_2024,2024-07-12
Advanced RWA,4,"decreased from 1,281 in 1Q24 to 1,269 in 2Q24.","increased from 1,251 in 2Q23 to 1,269 in 2Q24.",1269.0,1281.0,1251.0,,,,$ in B,11,Financial Results,Q2_2024,2024-07-12
CET1 Capital Ratio - Advanced,5,increased from 12.0% in 1Q24 to 12.2% in 2Q24.,decreased from 12.3% in 2Q23 to 12.2% in 2Q24.,12.2,12.0,12.3,,,,%,11,Financial Results,Q2_2024,2024-07-12
Supplementary Leverage Ratio,6,increased from 5.8% in 1Q24 to 5.9% in 2Q24.,decreased from 6.0% in 2Q23 to 5.9% in 2Q24.,5.9,5.8,6.0,,,,%,11,Financial Results,Q2_2024,2024-07-12
Liquidity Coverage Ratio,7,remained flat at 117% compared to 1Q24.,decreased from 119% in 2Q23 to 117% in 2Q24.,117.0,117.0,119.0,,,,%,11,Financial Results,Q2_2024,2024-07-12
Average HQLA,8,decreased from 552 in 1Q24 to 542 in 2Q24.,decreased from 584 in 2Q23 to 542 in 2Q24.,542.0,552.0,584.0,,,,$ in B,11,Financial Results,Q2_2024,2024-07-12
Total Available Liquidity Resources,9,decreased from 965 in 1Q24 to 899 in 2Q24.,decreased from 993 in 2Q23 to 899 in 2Q24.,899.0,965.0,993.0,,,,$ in B,11,Financial Results,Q2_2024,2024-07-12
AFS Securities (Duration: ~2 Years),10,decreased from $255B in 1Q24 to $249B in 2Q24.,increased from $237B in 2Q23 to $249B in 2Q24.,249.0,255.0,237.0,,,,$ in B,11,Financial Results,Q2_2024,2024-07-12
HTM Securities (Duration: ~3 Years),11,decreased from 252 in 1Q24 to 251 in 2Q24.,decreased from 262 in 2Q23 to 251 in 2Q24.,251.0,252.0,262.0,,,,$ in B,11,Financial Results,Q2_2024,2024-07-12
Tangible Book Value Per Share,12,increased from 86.67 in 1Q24 to 87.53 in 2Q24.,increased from 85.34 in 2Q23 to 87.53 in 2Q24.,87.53,86.67,85.34,,,,USD,11,Financial Results,Q2_2024,2024-07-12
Corporate Deposits (EOP),13,decreased from 812 in 1Q24 to 807 in 2Q24.,decreased from 820 in 2Q23 to 807 in 2Q24.,807.0,812.0,820.0,,,,$ in B,11,Financial Results,Q2_2024,2024-07-12
Consumer Deposits (EOP),14,decreased from 420 in 1Q24 to 404 in 2Q24.,decreased from 421 in 2Q23 to 404 in 2Q24.,404.0,420.0,421.0,,,,$ in B,11,Financial Results,Q2_2024,2024-07-12
All Other Deposits (EOP),15,decreased from 76 in 1Q24 to 67 in 2Q24.,decreased from 80 in 2Q23 to 67 in 2Q24.,67.0,76.0,80.0,,,,$ in B,11,Financial Results,Q2_2024,2024-07-12
Net Interest Income,1,decreased by 3%,decreased by 3%,2629.0,,,,,,$ in MM,13,Financial Results,Q2_2024,2024-07-12
Non-Interest Revenue,2,increased by 1%,increased by 14%,802.0,,,,,,$ in MM,13,Financial Results,Q2_2024,2024-07-12
Total Revenues,3,decreased by 2%,increased by 3%,4680.0,,,,,,$ in MM,13,Financial Results,Q2_2024,2024-07-12
Expenses,4,increased by 3%,increased by 9%,2734.0,,,,,,$ in MM,13,Financial Results,Q2_2024,2024-07-12
EBT,5,decreased by 3%,increased by 8%,1973.0,,,,,,$ in MM,13,Financial Results,Q2_2024,2024-07-12
Net Income,6,decreased by 1%,increased by 21%,1471.0,,,,,,$ in MM,13,Financial Results,Q2_2024,2024-07-12
Allocated Average TCE,7,,increased by 8%,25.0,,,,,,$ in B,13,Financial Results,Q2_2024,2024-07-12
RoTCE,8,,,23.8,,,,,,%,13,Financial Results,Q2_2024,2024-07-12
Average Loans (Treasury and Trade Solutions),1,remained flat at 0%,increased by 3%,81.0,,,,,,$ in B,13,Financial Results,Q2_2024,2024-07-12
Average Deposits (Treasury and Trade Solutions),2,decreased by 1%,decreased by 2%,677.0,,,,,,$ in B,13,Financial Results,Q2_2024,2024-07-12
Cross Border Transaction Value,3,increased by 2%,increased by 6%,93.0,,,,,,$ in B,13,Financial Results,Q2_2024,2024-07-12
US Dollar Clearing Volume (#MM),4,increased by 5%,increased by 7%,42.0,,,,,,million instructions,13,Financial Results,Q2_2024,2024-07-12
Commercial Card Spend Volume,5,increased by 7%,increased by 4%,18.0,,,,,,$ in B,13,Financial Results,Q2_2024,2024-07-12
Average Deposits (Securities Services),6,increased by 2%,increased by 2%,127.0,,,,,,$ in B,13,Financial Results,Q2_2024,2024-07-12
Preliminary AUC / AUA,7,increased by 1%,increased by 9%,24.0,,,,,,$ in T,13,Financial Results,Q2_2024,2024-07-12
Rates and currencies,1,decreased by 12%,decreased by 11%,2466.0,,,,,,$ in MM,14,Financial Results,Q2_2024,2024-07-12
Spread products / other fixed income,2,decreased by 17%,increased by 20%,1098.0,,,,,,$ in MM,14,Financial Results,Q2_2024,2024-07-12
Fixed Income markets,3,decreased by 14%,decreased by 3%,3564.0,,,,,,$ in MM,14,Financial Results,Q2_2024,2024-07-12
Equity markets,4,increased by 24%,increased by 37%,1522.0,,,,,,$ in MM,14,Financial Results,Q2_2024,2024-07-12
Total Revenues,5,decreased by 5%,increased by 6%,5086.0,,,,,,$ in MM,14,Financial Results,Q2_2024,2024-07-12
Expenses,6,decreased by 2%,decreased by 1%,3305.0,,,,,,$ in MM,14,Financial Results,Q2_2024,2024-07-12
EBT,7,increased by 1%,increased by 24%,1792.0,,,,,,$ in MM,14,Financial Results,Q2_2024,2024-07-12
Net Income,8,increased by 3%,increased by 29%,1443.0,,,,,,$ in MM,14,Financial Results,Q2_2024,2024-07-12
Allocated Average TCE,1,,increased by 2%,54.0,,,,,,$ in B,14,Financial Results,Q2_2024,2024-07-12
RoTCE,2,,,10.7,,,,,,%,14,Financial Results,Q2_2024,2024-07-12
Efficiency Ratio (Δ in bps),3,,,65.0,,,,,,%,14,Financial Results,Q2_2024,2024-07-12
Average Trading Account Assets,4,increased by 4%,increased by 12%,426.0,,,,,,$ in B,14,Financial Results,Q2_2024,2024-07-12
Average Total Assets,5,increased by 2%,increased by 2%,1064.0,,,,,,$ in B,14,Financial Results,Q2_2024,2024-07-12
Average Loans,6,decreased by 1%,increased by 11%,119.0,,,,,,$ in B,14,Financial Results,Q2_2024,2024-07-12
Average VaR ($ in MM)(99% confidence level),7,decreased by 27%,decreased by 16%,113.0,,,,,,$ in MM,14,Financial Results,Q2_2024,2024-07-12
Fixed Income markets,1,"decreased 14% from $4,130M in 1Q24.","decreased 3% from $3,670M in 2Q23.",3564.0,4130.0,3670.0,,,,$ in MM,14,Financial Results,Q2_2024,2024-07-12
Equity markets,2,"increased 24% from $1,227M in 1Q24.","increased 37% from $1,109M in 2Q23.",1522.0,1227.0,1109.0,,,,$ in MM,14,Financial Results,Q2_2024,2024-07-12
Total Markets Revenues,3,"decreased 5% from $5,357M in 1Q24.","increased 6% from $4,779M in 2Q23.",5086.0,5357.0,4779.0,,,,$ in MM,14,Financial Results,Q2_2024,2024-07-12
Investment Banking,1,decreased by 8%,increased by 60%,853.0,,,,,,$ in MM,15,Financial Results,Q2_2024,2024-07-12
Corporate Lending (incl. gain/(loss)),2,decreased by 5%,increased by 20%,774.0,,,,,,$ in MM,15,Financial Results,Q2_2024,2024-07-12
Total Revenues,3,decreased by 6%,increased by 38%,1627.0,,,,,,$ in MM,15,Financial Results,Q2_2024,2024-07-12
Expenses,4,decreased by 4%,decreased by 10%,1131.0,,,,,,$ in MM,15,Financial Results,Q2_2024,2024-07-12
Net Income,5,decreased by 23%,was not meaningful (NM),406.0,,,,,,$ in MM,15,Financial Results,Q2_2024,2024-07-12
Allocated Average TCE,1,,increased by 2%,22.0,,,,,,$ in B,15,Financial Results,Q2_2024,2024-07-12
RoTCE,2,,,7.5,,,,,,%,15,Financial Results,Q2_2024,2024-07-12
Net Interest Income,3,decreased by 9%,decreased by 3%,527.0,,,,,,$ in MM,15,Financial Results,Q2_2024,2024-07-12
Non-Interest Revenue,4,decreased by 5%,increased by 73%,1100.0,,,,,,$ in MM,15,Financial Results,Q2_2024,2024-07-12
Advisory,1,increased 17% from $230M in 1Q24.,increased 72% from $156M in 2Q23.,268.0,230.0,156.0,,,,$ in MM,15,Financial Results,Q2_2024,2024-07-12
Equity Underwriting,2,increased 2% from $171M in 1Q24.,increased 10% from $158M in 2Q23.,174.0,171.0,158.0,,,,$ in MM,15,Financial Results,Q2_2024,2024-07-12
Debt Underwriting,3,decreased 14% from $571M in 1Q24.,increased 90% from $259M in 2Q23.,493.0,571.0,259.0,,,,$ in MM,15,Financial Results,Q2_2024,2024-07-12
Investment Banking fees,4,decreased 4% from $972M in 1Q24.,increased 63% from $573M in 2Q23.,935.0,972.0,573.0,,,,$ in MM,15,Financial Results,Q2_2024,2024-07-12
Private Bank,1,increased by 7%,increased by 1%,611.0,,,,,,$ in MM,16,Financial Results,Q2_2024,2024-07-12
Wealth at Work,2,increased by 8%,decreased by 13%,195.0,,,,,,$ in MM,16,Financial Results,Q2_2024,2024-07-12
Citigold,3,increased by 7%,increased by 6%,1008.0,,,,,,$ in MM,16,Financial Results,Q2_2024,2024-07-12
Total Revenues,4,increased by 7%,increased by 2%,1814.0,,,,,,$ in MM,16,Financial Results,Q2_2024,2024-07-12
Expenses,5,decreased by 6%,decreased by 4%,1542.0,,,,,,$ in MM,16,Financial Results,Q2_2024,2024-07-12
Net Income,6,increased by 20%,was not meaningful (NM),210.0,,,,,,$ in MM,16,Financial Results,Q2_2024,2024-07-12
Allocated Average TCE,1,,decreased by 1%,13.0,,,,,,$ in B,16,Financial Results,Q2_2024,2024-07-12
RoTCE,2,,,6.4,,,,,,%,16,Financial Results,Q2_2024,2024-07-12
Average Loans,3,remained flat at 0%,remained flat at 0%,150.0,,,,,,$ in B,16,Financial Results,Q2_2024,2024-07-12
Client Investment Assets,4,increased by 5%,increased by 15%,540.0,,,,,,$ in B,16,Financial Results,Q2_2024,2024-07-12
Client Balances,5,increased by 3%,increased by 9%,1008.0,,,,,,$ in B,16,Financial Results,Q2_2024,2024-07-12
Net Interest Income,6,increased by 7%,decreased by 4%,1047.0,,,,,,$ in MM,16,Financial Results,Q2_2024,2024-07-12
Non-Interest Revenue,7,increased by 8%,increased by 13%,767.0,,,,,,$ in MM,16,Financial Results,Q2_2024,2024-07-12
Private Bank,1,increased 7% from $571M in 1Q24.,increased 1% from $605M in 2Q23.,611.0,571.0,605.0,,,,$ in MM,16,Financial Results,Q2_2024,2024-07-12
Wealth at Work,2,increased 8% from $181M in 1Q24.,decreased 13% from $224M in 2Q23.,195.0,181.0,224.0,,,,$ in MM,16,Financial Results,Q2_2024,2024-07-12
Citigold,3,increased 7% from $941M in 1Q24.,increased 6% from $947M in 2Q23.,1008.0,941.0,947.0,,,,$ in MM,16,Financial Results,Q2_2024,2024-07-12
Total Wealth Revenues,4,"increased 7% from $1,693M in 1Q24.","increased 2% from $1,776M in 2Q23.",1814.0,1693.0,1776.0,,,,$ in MM,16,Financial Results,Q2_2024,2024-07-12
Total Revenues,1,decreased by 5%,increased by 6%,4919.0,,,,,,$ in MM,17,Financial Results,Q2_2024,2024-07-12
Expenses,2,decreased by 3%,decreased by 2%,2442.0,,,,,,$ in MM,17,Financial Results,Q2_2024,2024-07-12
Net Income,3,decreased by 65%,decreased by 74%,121.0,,,,,,$ in MM,17,Financial Results,Q2_2024,2024-07-12
RoTCE,1,,,1.9,,,,,,%,17,Financial Results,Q2_2024,2024-07-12
Net Interest Income,2,decreased by 2%,increased by 5%,5103.0,,,,,,$ in MM,17,Financial Results,Q2_2024,2024-07-12
Non-Interest Revenue,3,was not meaningful (NM),increased by 30%,-184.0,,,,,,$ in MM,17,Financial Results,Q2_2024,2024-07-12
Credit Card Spend Volume (Branded Cards),1,increased by 8%,increased by 3%,131.0,,,,,,$ in B,17,Financial Results,Q2_2024,2024-07-12
Average Loans (Branded Cards),2,increased by 2%,increased by 10%,109.0,,,,,,$ in B,17,Financial Results,Q2_2024,2024-07-12
Credit Card Spend Volume (Retail Services),3,increased by 19%,decreased by 4%,24.0,,,,,,$ in B,17,Financial Results,Q2_2024,2024-07-12
Average Loans (Retail Services),4,decreased by 1%,increased by 4%,51.0,,,,,,$ in B,17,Financial Results,Q2_2024,2024-07-12
Mortgage Originations,5,increased by 39%,decreased by 4%,4.0,,,,,,$ in B,17,Financial Results,Q2_2024,2024-07-12
Average Mortgage Loans,6,increased by 2%,increased by 14%,41.0,,,,,,$ in B,17,Financial Results,Q2_2024,2024-07-12
Total Revenues,1,decreased by 17%,decreased by 22%,1980.0,,,,,,$ in MM,18,Financial Results,Q2_2024,2024-07-12
Expenses,2,decreased by 22%,decreased by 7%,2114.0,,,,,,$ in MM,18,Financial Results,Q2_2024,2024-07-12
Credit Costs,3,increased by 31%,increased by 22%,243.0,,,,,,$ in MM,18,Financial Results,Q2_2024,2024-07-12
Net Income,4,increased by 16%,was not meaningful (NM),-402.0,,,,,,$ in MM,18,Financial Results,Q2_2024,2024-07-12
Legacy Franchises Revenues,1,decreased by 6%,decreased by 10%,1727.0,,,,,,in $MM,18,Financial Results,Q2_2024,2024-07-12
Legacy Franchises Expenses,2,decreased by 4%,decreased by 10%,1558.0,,,,,,in $MM,18,Financial Results,Q2_2024,2024-07-12
Net Interest Income,3,decreased by 8%,decreased by 27%,1553.0,,,,,,$ in MM,18,Financial Results,Q2_2024,2024-07-12
Non-Interest Revenue,4,decreased by 38%,increased by 8%,427.0,,,,,,$ in MM,18,Financial Results,Q2_2024,2024-07-12
Closed Exit Markets,1,,"Revenue decreased from $2.3B in 2023 to $0.1B in 2024, while expenses decreased from $1.5B to $0.2B.",0.1,,2.3,,,,$ in B,18,Financial Results,Q2_2024,2024-07-12
Mexico Consumer / SBMM,2,,"Revenue decreased from $5.7B in 2023 to $1.6B in 2024, while expenses decreased from $4.2B to $1.1B.",1.6,,5.7,,,,$ in B,18,Financial Results,Q2_2024,2024-07-12
Wind-Downs / Sale / Other,3,,"Revenue decreased from $0.7B in 2023 to $0.0B in 2024, while expenses decreased from $1.4B to $0.4B.",0.0,,0.7,,,,$ in B,18,Financial Results,Q2_2024,2024-07-12
Legacy Franchises,4,,"Revenue decreased from $8.7B in 2023 to $1.8B in 2024, while expenses decreased from $7.1B to $1.6B.",1.8,,8.7,,,,$ in B,18,Financial Results,Q2_2024,2024-07-12
Legacy Franchises ex-divestitures,5,,"Revenue decreased from $7.3B in 2023 to $1.7B in 2024, while expenses decreased from $6.8B to $1.6B.",1.7,,7.3,,,,$ in B,18,Financial Results,Q2_2024,2024-07-12
Available Cash,1,,,176.0,,,,,,$ in B,25,Financial Results,Q2_2024,2024-07-12
US Sovereign,2,,,257.0,,,,,,$ in B,25,Financial Results,Q2_2024,2024-07-12
US Agency/ Agency MBS,3,,,30.0,,,,,,$ in B,25,Financial Results,Q2_2024,2024-07-12
Foreign Government Debt,4,,,65.0,,,,,,$ in B,25,Financial Results,Q2_2024,2024-07-12
Total HQLA,5,,,528.0,,,,,,$ in B,25,Financial Results,Q2_2024,2024-07-12
AFS Securities (Duration: ~2 Years),1,decreased from $255B in 1Q24.,increased from $237B in 2Q23.,249.0,255.0,237.0,,,,$ in B,25,Financial Results,Q2_2024,2024-07-12
HTM Securities (Duration: ~3 Years),2,remained flat at $252B in 1Q24.,decreased from $262B in 2Q23.,251.0,252.0,262.0,,,,$ in B,25,Financial Results,Q2_2024,2024-07-12
Common Stockholders' Equity,1,"increased from $188,985M in 1Q24.","increased from $188,474M in 2Q23.",190210.0,188985.0,188474.0,,,,$ in MM,27,Financial Results,Q2_2024,2024-07-12
Goodwill,2,"decreased from $20,042M in 1Q24.","decreased from $19,998M in 2Q23.",19704.0,20042.0,19998.0,,,,$ in MM,27,Financial Results,Q2_2024,2024-07-12
Intangible Assets (other than Mortgage Servicing Rights),3,"decreased from $3,636M in 1Q24.","decreased from $3,895M in 2Q23.",3517.0,3636.0,3895.0,,,,$ in MM,27,Financial Results,Q2_2024,2024-07-12
Tangible Common Equity (TCE),4,"increased from $165,307M in 1Q24.","increased from $164,335M in 2Q23.",166989.0,165307.0,164335.0,,,,$ in MM,27,Financial Results,Q2_2024,2024-07-12
Tangible Book Value Per Share (TCE/CSO),5,increased from $86.67 in 1Q24.,increased from $85.34 in 2Q23.,87.53,86.67,85.34,,,,USD,27,Financial Results,Q2_2024,2024-07-12
Citigroup Net Income,1,,"increased from $2,915M in 2Q23.",3217.0,,2915.0,,,,$ in MM,27,Financial Results,Q2_2024,2024-07-12
RoTCE,2,,increased from 6.4% in 2Q23.,7.2,,6.4,,,,%,27,Financial Results,Q2_2024,2024-07-12
Services,1,,,23.8,,,,,,% RoTCE,27,Financial Results,Q2_2024,2024-07-12
Markets,2,,,10.7,,,,,,% RoTCE,27,Financial Results,Q2_2024,2024-07-12
Banking,3,,,7.5,,,,,,% RoTCE,27,Financial Results,Q2_2024,2024-07-12
Wealth,4,,,6.4,,,,,,% RoTCE,27,Financial Results,Q2_2024,2024-07-12
USPB,5,,,1.9,,,,,,% RoTCE,27,Financial Results,Q2_2024,2024-07-12
Citigroup,6,,,7.2,,,,,,% RoTCE,27,Financial Results,Q2_2024,2024-07-12
Total Revenues - as Reported,1,decreased by 5%,increased by 4%,20139.0,21104.0,19436.0,,,,$ in MM,28,Footnotes,Q2_2024,2024-07-12
Total revenues - Ex-FX,2,decreased by 4%,increased by 7%,20139.0,20926.0,18864.0,,,,$ in MM,28,Footnotes,Q2_2024,2024-07-12
Total operating expenses - as reported,3,decreased by 6%,decreased by 2%,13353.0,14195.0,13570.0,,,,$ in MM,28,Footnotes,Q2_2024,2024-07-12
Total operating expenses - Ex-FX,4,decreased by 5%,decreased by 1%,13353.0,14106.0,13454.0,,,,$ in MM,28,Footnotes,Q2_2024,2024-07-12
Total provisions for credit losses & PBC - Ex-FX,5,increased by 5%,increased by 36%,2476.0,2365.0,1817.0,,,,$ in MM,28,Footnotes,Q2_2024,2024-07-12
Total EBT - Ex-FX,6,decreased by 3%,increased by 20%,4310.0,4455.0,3593.0,,,,$ in MM,28,Footnotes,Q2_2024,2024-07-12
Mexico Revenues - as reported,1,increased by 4%,increased by 16%,1640.0,1571.0,1412.0,,,,$ in MM,28,Footnotes,Q2_2024,2024-07-12
Mexico Revenues - Ex-FX,2,increased by 7%,increased by 15%,1640.0,1533.0,1423.0,,,,$ in MM,28,Footnotes,Q2_2024,2024-07-12
Mexico Expenses - as reported,3,decreased by 6%,increased by 9%,1124.0,1193.0,1035.0,,,,$ in MM,28,Footnotes,Q2_2024,2024-07-12
Mexico Expenses - Ex-FX,4,decreased by 3%,increased by 8%,1124.0,1161.0,1042.0,,,,$ in MM,28,Footnotes,Q2_2024,2024-07-12
Total Citigroup Revenues - As Reported,1,decreased by 5%,increased by 4%,20139.0,21104.0,19436.0,,,,$ in MM,29,Footnotes,Q2_2024,2024-07-12
Total Citigroup Revenues - Excluding Divestiture-Related Impacts,2,decreased by 5%,increased by 3%,20106.0,21116.0,19442.0,,,,$ in MM,29,Footnotes,Q2_2024,2024-07-12
Total Citigroup Net Interest Income (NII) - As Reported,1,,decreased by 3%,13493.0,,13900.0,,,,$ in MM,29,Footnotes,Q2_2024,2024-07-12
Total Citigroup NII Ex-Markets,2,decreased by 3%,decreased by 4%,11455.0,11801.0,11901.0,,,,$ in MM,29,Footnotes,Q2_2024,2024-07-12
Total Citigroup Operating Expenses - As Reported,1,decreased by 6%,decreased by 2%,13353.0,14195.0,13570.0,,,,$ in MM,29,Footnotes,Q2_2024,2024-07-12
"Total Citigroup Operating Expenses, Excluding Divestiture Impacts & FDIC Special Assessment",2,decreased by 4%,decreased by 2%,13234.0,13834.0,13491.0,,,,$ in MM,29,Footnotes,Q2_2024,2024-07-12
Banking Corporate Lending Revenues - As Reported,1,decreased by 5%,increased by 20%,774.0,811.0,646.0,,,,$ in MM,29,Footnotes,Q2_2024,2024-07-12
Banking Corporate Lending Revenues - Excluding Gain/(loss) on loan hedges,2,decreased by 16%,increased by 7%,765.0,915.0,712.0,,,,$ in MM,29,Footnotes,Q2_2024,2024-07-12
Legacy Franchises (Managed Basis),1,decreased by 6%,decreased by 10%,1727.0,1829.0,1925.0,,,,$ in millions,30,Footnotes,Q2_2024,2024-07-12
Corporate / Other,2,decreased by 55%,decreased by 58%,253.0,557.0,609.0,,,,$ in millions,30,Footnotes,Q2_2024,2024-07-12
Total revenues,3,decreased by 17%,decreased by 22%,1980.0,2386.0,2534.0,,,,$ in millions,30,Footnotes,Q2_2024,2024-07-12
Total operating expenses,4,decreased by 22%,decreased by 7%,2114.0,2695.0,2269.0,,,,$ in millions,30,Footnotes,Q2_2024,2024-07-12
Net credit losses,5,decreased by 14%,increased by 8%,214.0,249.0,199.0,,,,$ in millions,30,Footnotes,Q2_2024,2024-07-12
Total cost of credit,6,increased by 31%,increased by 22%,243.0,186.0,200.0,,,,$ in millions,30,Footnotes,Q2_2024,2024-07-12
EBT,7,improved by 24% (from a larger loss),declined (NM),-377.0,-495.0,65.0,,,,$ in millions,30,Footnotes,Q2_2024,2024-07-12
