row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Net Income to Common,11,Increased by 90% from 4Q22.,Increased by 7% from 1Q22.,4329.0,,,,,,MM USD,4,Financial Results,Q1_2023,2023-04-14
Diluted EPS,12,Increased by 89% from 4Q22.,Increased by 8% from 1Q22.,2.19,,,,,,USD,4,Financial Results,Q1_2023,2023-04-14
Efficiency Ratio (Δ in bps),13,"Decreased by 1,010 bps from 4Q22.",Decreased by 660 bps from 1Q22.,62.0,,,,,,%,4,Financial Results,Q1_2023,2023-04-14
ROE,14,,,9.5,,,,,,%,4,Financial Results,Q1_2023,2023-04-14
ROTCE,15,,,10.9,,,,,,%,4,Financial Results,Q1_2023,2023-04-14
CET1 Capital Ratio,16,,,13.4,,,,,,%,4,Financial Results,Q1_2023,2023-04-14
Citigroup NIM QoQ Change,1,Citigroup NIM decreased by $0.02 from 4Q22.,,,2.39,,,,,%,7,Financial Results,Q1_2023,2023-04-14
Citigroup NIM YoY Change,2,,Citigroup NIM increased by $0.38 from 1Q22.,,,2.05,,,,%,7,Financial Results,Q1_2023,2023-04-14
Gross Loan Yield,1,Increased from 7.46% in 4Q22 to 8.26% in 1Q23.,Increased from 5.46% in 1Q22 to 8.26% in 1Q23.,8.26,7.46,5.46,,,,%,7,Financial Results,Q1_2023,2023-04-14
Cost of Interest-Bearing Deposits,2,Increased from 2.10% in 4Q22 to 2.72% in 1Q23.,Increased from 0.33% in 1Q22 to 2.72% in 1Q23.,2.72,2.1,0.33,,,,%,7,Financial Results,Q1_2023,2023-04-14
US Cards NCLs,1,,,1.0,,,,,,B USD,8,Financial Results,Q1_2023,2023-04-14
US Cards % of Avg Loans (NCLs),2,,,2.8,,,,,,%,8,Financial Results,Q1_2023,2023-04-14
US Cards 90+ DPD,3,,,1.1,,,,,,%,8,Financial Results,Q1_2023,2023-04-14
US Cards ACLL / Funded Loans,4,,,8.1,,,,,,%,8,Financial Results,Q1_2023,2023-04-14
Corporate NCLs,1,,,0.0,,,,,,B USD,8,Financial Results,Q1_2023,2023-04-14
Corporate % of Avg Loans (NCLs),2,,The change from 1Q22 is not meaningful.,,,,,,,%,8,Financial Results,Q1_2023,2023-04-14
Corporate NALs % of Loans,3,,,0.4,,,,,,%,8,Financial Results,Q1_2023,2023-04-14
Corporate ACLL / Funded Loans,4,,,1.0,,,,,,%,8,Financial Results,Q1_2023,2023-04-14
CET1 Capital,1,Increased from $149B in 4Q22 to $154B in 1Q23.,Increased from $144B in 1Q22 to $154B in 1Q23.,154.0,149.0,144.0,,,,B USD,9,Financial Results,Q1_2023,2023-04-14
Standardized RWAs,2,"Increased slightly from 1,143B in 4Q22 to 1,145B in 1Q23.","Decreased from 1,257B in 1Q22 to 1,145B in 1Q23.",1145.0,1143.0,1257.0,,,,B USD,9,Financial Results,Q1_2023,2023-04-14
CET1 Capital Ratio - Standardized,3,Increased from 13.0% in 4Q22 to 13.4% in 1Q23.,Increased from 11.4% in 1Q22 to 13.4% in 1Q23.,13.4,13.0,11.4,,,,%,9,Financial Results,Q1_2023,2023-04-14
Advanced RWAs,4,"Increased from 1,222B in 4Q22 to 1,250B in 1Q23.","Decreased slightly from 1,260B in 1Q22 to 1,250B in 1Q23.",1250.0,1222.0,1260.0,,,,B USD,9,Financial Results,Q1_2023,2023-04-14
CET1 Capital Ratio - Advanced,5,Increased from 12.2% in 4Q22 to 12.3% in 1Q23.,Increased from 11.4% in 1Q22 to 12.3% in 1Q23.,12.3,12.2,11.4,,,,%,9,Financial Results,Q1_2023,2023-04-14
Supplementary Leverage Ratio,1,Increased from 5.8% in 4Q22 to 5.9% in 1Q23.,Increased from 5.6% in 1Q22 to 5.9% in 1Q23.,5.9,5.8,5.6,,,,%,9,Financial Results,Q1_2023,2023-04-14
Liquidity Coverage Ratio,1,Increased from 118% in 4Q22 to 120% in 1Q23.,Increased from 116% in 1Q22 to 120% in 1Q23.,120.0,118.0,116.0,,,,%,9,Financial Results,Q1_2023,2023-04-14
Average HQLA (Duration: ~1 Year),2,Increased from $575B in 4Q22 to $584B in 1Q23.,Increased from $540B in 1Q22 to $584B in 1Q23.,584.0,575.0,540.0,,,,B USD,9,Financial Results,Q1_2023,2023-04-14
Total Available Liquidity Resources,3,"Decreased from $1,045B in 4Q22 to $1,033B in 1Q23.","Increased from $965B in 1Q22 to $1,033B in 1Q23.",1033.0,1045.0,965.0,,,,B USD,9,Financial Results,Q1_2023,2023-04-14
Total Loss Absorbing Capacity,4,Remained stable at $334B from 4Q22 to 1Q23.,Increased from $323B in 1Q22 to $334B in 1Q23.,334.0,334.0,323.0,,,,B USD,9,Financial Results,Q1_2023,2023-04-14
Net Stable Funding Ratio,5,Remained >100% from 4Q22 to 1Q23.,Remained >100% from 1Q22 to 1Q23.,100.0,100.0,100.0,,,,%,9,Financial Results,Q1_2023,2023-04-14
AFS Securities (Duration: ~2 Years),1,Decreased from $250B in 4Q22 to $240B in 1Q23.,Decreased from $265B in 1Q22 to $240B in 1Q23.,240.0,250.0,265.0,,,,B USD,9,Financial Results,Q1_2023,2023-04-14
HTM Securities (Duration: ~4 Years),2,Decreased from $269B in 4Q22 to $264B in 1Q23.,Increased from $243B in 1Q22 to $264B in 1Q23.,264.0,269.0,243.0,,,,B USD,9,Financial Results,Q1_2023,2023-04-14
Tangible Book Value Per Share,3,Increased from $81.65 in 4Q22 to $84.21 in 1Q23.,Increased from $79.03 in 1Q22 to $84.21 in 1Q23.,84.21,81.65,79.03,,,,USD,9,Financial Results,Q1_2023,2023-04-14
Net Interest Income,1,No QoQ change provided.,Increased by 33% from 1Q22.,5028.0,,,,,,MM USD,11,Financial Results,Q1_2023,2023-04-14
Non-Interest Revenue,2,Increased by 51% from 4Q22.,Decreased by 16% from 1Q22.,6205.0,,,,,,MM USD,11,Financial Results,Q1_2023,2023-04-14
Total Revenues,3,Increased by 23% from 4Q22.,Increased by 1% from 1Q22.,11233.0,,,,,,MM USD,11,Financial Results,Q1_2023,2023-04-14
Expenses,4,Increased by 6% from 4Q22.,Increased by 4% from 1Q22.,6973.0,,,,,,MM USD,11,Financial Results,Q1_2023,2023-04-14
NCLs,5,Decreased by 79% from 4Q22.,Decreased by 27% from 1Q22.,22.0,,,,,,MM USD,11,Financial Results,Q1_2023,2023-04-14
ACL Build (Release) and Other,6,QoQ change is not meaningful.,YoY change is not meaningful.,-94.0,,,,,,MM USD,11,Financial Results,Q1_2023,2023-04-14
Credit Costs,7,QoQ change is not meaningful.,YoY change is not meaningful.,-72.0,,,,,,MM USD,11,Financial Results,Q1_2023,2023-04-14
EBT,8,Increased by 73% from 4Q22.,Increased by 25% from 1Q22.,4332.0,,,,,,MM USD,11,Financial Results,Q1_2023,2023-04-14
Net Income,9,Increased by 72% from 4Q22.,Increased by 23% from 1Q22.,3258.0,,,,,,MM USD,11,Financial Results,Q1_2023,2023-04-14
Allocated Average TCE,1,,,96.0,,,,,,B USD,11,Financial Results,Q1_2023,2023-04-14
RoTCE,2,,,13.8,,,,,,%,11,Financial Results,Q1_2023,2023-04-14
Efficiency Ratio (Δ in bps),3,"Decreased by 1,000 bps from 4Q22.",Increased by 200 bps from 1Q22.,62.0,,,,,,%,11,Financial Results,Q1_2023,2023-04-14
Average Loans,4,Decreased by 1% from 4Q22.,Decreased by 2% from 1Q22.,283.0,,,,,,B USD,11,Financial Results,Q1_2023,2023-04-14
Average Deposits,5,Increased by 1% from 4Q22.,Increased by 3% from 1Q22.,853.0,,,,,,B USD,11,Financial Results,Q1_2023,2023-04-14
EOP Loans,6,Decreased by 1% from 4Q22.,Decreased by 7% from 1Q22.,281.0,,,,,,B USD,11,Financial Results,Q1_2023,2023-04-14
EOP Deposits,7,Decreased by 3% from 4Q22.,Decreased by 1% from 1Q22.,819.0,,,,,,B USD,11,Financial Results,Q1_2023,2023-04-14
Corporate Clients,8,Increased by 1% from 4Q22.,Increased by 6% from 1Q22.,4930.0,,,,,,count,11,Financial Results,Q1_2023,2023-04-14
Financial Institution & Investor Clients,9,Decreased by 1% from 4Q22.,Increased by 1% from 1Q22.,4823.0,,,,,,count,11,Financial Results,Q1_2023,2023-04-14
Commercial Clients,10,Remained stable at 0% change from 4Q22.,Increased by 4% from 1Q22.,14093.0,,,,,,count,11,Financial Results,Q1_2023,2023-04-14
Total ICG Clients,11,Remained stable at 0% change from 4Q22.,Increased by 4% from 1Q22.,23846.0,,,,,,count,11,Financial Results,Q1_2023,2023-04-14
Treasury and Trade Solutions Revenues,1,Increased by 4% from 4Q22.,Increased by 31% from 1Q22.,3411.0,,,,,,MM USD,12,Financial Results,Q1_2023,2023-04-14
Securities Services Revenues,2,Increased by 2% from 4Q22.,Increased by 23% from 1Q22.,1056.0,,,,,,MM USD,12,Financial Results,Q1_2023,2023-04-14
Total Services Revenues,3,Increased by 3% from 4Q22.,Increased by 29% from 1Q22.,4467.0,,,,,,MM USD,12,Financial Results,Q1_2023,2023-04-14
Fixed Income Markets,4,Increased by 39% from 4Q22.,Increased by 4% from 1Q22.,4454.0,,,,,,MM USD,12,Financial Results,Q1_2023,2023-04-14
Equity Markets,5,Increased by 56% from 4Q22.,Decreased by 25% from 1Q22.,1147.0,,,,,,MM USD,12,Financial Results,Q1_2023,2023-04-14
Total Markets Revenues,6,Increased by 42% from 4Q22.,Decreased by 4% from 1Q22.,5601.0,,,,,,MM USD,12,Financial Results,Q1_2023,2023-04-14
Investment Banking,7,Increased by 20% from 4Q22.,Decreased by 25% from 1Q22.,774.0,,,,,,MM USD,12,Financial Results,Q1_2023,2023-04-14
Corporate Lending,8,Increased by 8% from 4Q22.,Decreased by 14% from 1Q22.,590.0,,,,,,MM USD,12,Financial Results,Q1_2023,2023-04-14
Total Banking Revenues,9,Increased by 15% from 4Q22.,Decreased by 21% from 1Q22.,1364.0,,,,,,MM USD,12,Financial Results,Q1_2023,2023-04-14
Treasury and Trade Solutions - Average Loans,1,Increased by 2% from 4Q22.,Decreased by 2% from 1Q22.,78.0,,,,,,B USD,12,Financial Results,Q1_2023,2023-04-14
Treasury and Trade Solutions - Average Deposits,2,Increased by 1% from 4Q22.,Increased by 5% from 1Q22.,704.0,,,,,,B USD,12,Financial Results,Q1_2023,2023-04-14
Treasury and Trade Solutions - Cross Border Transaction Value,3,Increased by 2% from 4Q22.,Increased by 10% from 1Q22.,83.0,,,,,,B USD,12,Financial Results,Q1_2023,2023-04-14
Treasury and Trade Solutions - US Dollar Clearing Volume (#MM),4,,Increased by 6% from 1Q22.,38.0,,,,,,millions of transactions,12,Financial Results,Q1_2023,2023-04-14
Treasury and Trade Solutions - Commercial Card Spend Volume,5,Increased by 4% from 4Q22.,Increased by 40% from 1Q22.,16.0,,,,,,B USD,12,Financial Results,Q1_2023,2023-04-14
Securities Services - AUC/AUA ($T),6,Increased by 4% from 4Q22.,No YoY change.,23.0,,,,,,T USD,12,Financial Results,Q1_2023,2023-04-14
Securities Services - Average Deposits,7,Decreased by 3% from 4Q22.,Decreased by 7% from 1Q22.,125.0,,,,,,B USD,12,Financial Results,Q1_2023,2023-04-14
Banking - Average Loans,8,Decreased by 2% from 4Q22.,Decreased by 2% from 1Q22.,191.0,,,,,,B USD,12,Financial Results,Q1_2023,2023-04-14
Net Interest Income,1,Increased by 1% from 4Q22.,Increased by 10% from 1Q22.,5934.0,,,,,,MM USD,13,Financial Results,Q1_2023,2023-04-14
Non-Interest Revenue,2,QoQ change is not meaningful.,Decreased by 1% from 1Q22.,514.0,,,,,,MM USD,13,Financial Results,Q1_2023,2023-04-14
Total Revenues,3,Increased by 6% from 4Q22.,Increased by 9% from 1Q22.,6448.0,,,,,,MM USD,13,Financial Results,Q1_2023,2023-04-14
Expenses,4,Decreased by 1% from 4Q22.,Increased by 9% from 1Q22.,4254.0,,,,,,MM USD,13,Financial Results,Q1_2023,2023-04-14
NCLs,5,Increased by 20% from 4Q22.,Increased by 58% from 1Q22.,1094.0,,,,,,MM USD,13,Financial Results,Q1_2023,2023-04-14
ACL Build (Release) and Other,6,Decreased by 34% from 4Q22.,YoY change is not meaningful.,497.0,,,,,,MM USD,13,Financial Results,Q1_2023,2023-04-14
Credit Costs,7,Decreased by 5% from 4Q22.,YoY change is not meaningful.,1591.0,,,,,,MM USD,13,Financial Results,Q1_2023,2023-04-14
EBT,8,QoQ change is not meaningful.,Decreased by 75% from 1Q22.,603.0,,,,,,MM USD,13,Financial Results,Q1_2023,2023-04-14
Net Income,9,QoQ change is not meaningful.,Decreased by 74% from 1Q22.,489.0,,,,,,MM USD,13,Financial Results,Q1_2023,2023-04-14
Allocated Average TCE,1,,,36.0,,,,,,B USD,13,Financial Results,Q1_2023,2023-04-14
RoTCE,2,,,5.5,,,,,,%,13,Financial Results,Q1_2023,2023-04-14
Efficiency Ratio (Δ in bps),3,Decreased by 500 bps from 4Q22.,,66.0,,,,,,%,13,Financial Results,Q1_2023,2023-04-14
Average Loans,4,Increased by 1% from 4Q22.,Increased by 7% from 1Q22.,333.0,,,,,,B USD,13,Financial Results,Q1_2023,2023-04-14
Average Deposits,5,Increased by 1% from 4Q22.,Decreased by 3% from 1Q22.,434.0,,,,,,B USD,13,Financial Results,Q1_2023,2023-04-14
EOP Loans,6,Decreased by 1% from 4Q22.,Increased by 7% from 1Q22.,335.0,,,,,,B USD,13,Financial Results,Q1_2023,2023-04-14
EOP Deposits,7,,Decreased by 3% from 1Q22.,437.0,,,,,,B USD,13,Financial Results,Q1_2023,2023-04-14
NCL Rate (Δ in bps),8,Increased by 24 bps from 4Q22.,Increased by 43 bps from 1Q22.,1.33,,,,,,%,13,Financial Results,Q1_2023,2023-04-14
US Personal Banking Branches,9,,Decreased by 1% from 1Q22.,653.0,,,,,,count,13,Financial Results,Q1_2023,2023-04-14
US Installment Lending ($B),10,Increased by 7% from 4Q22.,Increased by 64% from 1Q22.,5.0,,,,,,B USD,13,Financial Results,Q1_2023,2023-04-14
Active Digital Users (MM),11,Increased by 1% from 4Q22.,Increased by 7% from 1Q22.,25.0,,,,,,millions,13,Financial Results,Q1_2023,2023-04-14
Active Mobile Users (MM),12,Increased by 1% from 4Q22.,Increased by 11% from 1Q22.,18.0,,,,,,millions,13,Financial Results,Q1_2023,2023-04-14
Branded Cards,1,Increased by 4% QoQ.,Increased by 18% YoY.,2466.0,,,,,,MM USD,14,Financial Results,Q1_2023,2023-04-14
Retail Services,2,Increased by 14% QoQ.,Increased by 24% YoY.,1613.0,,,,,,MM USD,14,Financial Results,Q1_2023,2023-04-14
Retail Banking,3,Increased by 1% QoQ.,Increased by 3% YoY.,613.0,,,,,,MM USD,14,Financial Results,Q1_2023,2023-04-14
US Personal Banking Revenues,4,Increased by 7% QoQ.,Increased by 18% YoY.,4692.0,,,,,,MM USD,14,Financial Results,Q1_2023,2023-04-14
Private Bank,5,Decreased by 4% QoQ.,Decreased by 27% YoY.,567.0,,,,,,MM USD,14,Financial Results,Q1_2023,2023-04-14
Wealth at Work,6,Decreased by 1% QoQ.,Increased by 5% YoY.,193.0,,,,,,MM USD,14,Financial Results,Q1_2023,2023-04-14
Citigold,7,Increased by 10% QoQ.,Increased by 4% YoY.,996.0,,,,,,MM USD,14,Financial Results,Q1_2023,2023-04-14
Global Wealth Management Revenues,8,Increased by 4% QoQ.,Decreased by 9% YoY.,1756.0,,,,,,MM USD,14,Financial Results,Q1_2023,2023-04-14
Branded Cards - New Account Acquisitions (in 000s),1,Increased by 14% QoQ.,Increased by 17% YoY.,1164.0,,,,,,thousands,14,Financial Results,Q1_2023,2023-04-14
Branded Cards - Credit Card Spend Volume,2,Decreased by 8% QoQ.,Increased by 9% YoY.,116.0,,,,,,B USD,14,Financial Results,Q1_2023,2023-04-14
Branded Cards - Average Loans,3,Increased by 1% QoQ.,Increased by 15% YoY.,97.0,,,,,,B USD,14,Financial Results,Q1_2023,2023-04-14
Retail Services - New Account Acquisitions (in 000s),4,Decreased by 30% QoQ.,Decreased by 9% YoY.,1976.0,,,,,,thousands,14,Financial Results,Q1_2023,2023-04-14
Retail Services - Credit Card Spend Volume,5,Decreased by 23% QoQ.,Decreased by 3% YoY.,21.0,,,,,,B USD,14,Financial Results,Q1_2023,2023-04-14
Retail Services - Average Loans,6,Increased by 2% QoQ.,Increased by 10% YoY.,49.0,,,,,,B USD,14,Financial Results,Q1_2023,2023-04-14
Retail Banking - Average Loans,7,Increased by 4% QoQ.,Increased by 14% YoY.,38.0,,,,,,B USD,14,Financial Results,Q1_2023,2023-04-14
Retail Banking - Average Deposits,8,Remained flat QoQ.,Decreased by 6% YoY.,111.0,,,,,,B USD,14,Financial Results,Q1_2023,2023-04-14
Retail Banking - EOP Digital Deposits,9,Increased by 15% QoQ.,Increased by 37% YoY.,28.0,,,,,,B USD,14,Financial Results,Q1_2023,2023-04-14
Global Wealth Management - Client Advisors,10,Remained flat QoQ.,Increased by 3% YoY.,2875.0,,,,,,count,14,Financial Results,Q1_2023,2023-04-14
Global Wealth Management - Client Assets,11,Increased by 2% QoQ.,Decreased by 4% YoY.,759.0,,,,,,B USD,14,Financial Results,Q1_2023,2023-04-14
Global Wealth Management - Average Loans,12,Remained flat QoQ.,Decreased by 1% YoY.,150.0,,,,,,B USD,14,Financial Results,Q1_2023,2023-04-14
Global Wealth Management - Average Deposits,13,Increased by 1% QoQ.,Decreased by 2% YoY.,323.0,,,,,,B USD,14,Financial Results,Q1_2023,2023-04-14
Net Interest Income,1,Decreased by 3% from 4Q22.,Decreased by 14% from 1Q22.,1290.0,,,,,,MM USD,15,Financial Results,Q1_2023,2023-04-14
Non-Interest Revenue,2,QoQ change is not meaningful.,YoY change is not meaningful.,1562.0,,,,,,MM USD,15,Financial Results,Q1_2023,2023-04-14
Total Revenues,3,Increased by 39% from 4Q22.,Increased by 48% from 1Q22.,2852.0,,,,,,MM USD,15,Financial Results,Q1_2023,2023-04-14
Expenses,4,Decreased by 4% from 4Q22.,Decreased by 24% from 1Q22.,1752.0,,,,,,MM USD,15,Financial Results,Q1_2023,2023-04-14
NCLs,5,Increased by 11% from 4Q22.,Increased by 23% from 1Q22.,186.0,,,,,,MM USD,15,Financial Results,Q1_2023,2023-04-14
ACL Build (Release) and Other,6,QoQ change is not meaningful.,YoY change is not meaningful.,159.0,,,,,,MM USD,15,Financial Results,Q1_2023,2023-04-14
Credit Costs,7,QoQ change is not meaningful.,YoY change is not meaningful.,345.0,,,,,,MM USD,15,Financial Results,Q1_2023,2023-04-14
EBT,8,QoQ change is not meaningful.,YoY change is not meaningful.,755.0,,,,,,MM USD,15,Financial Results,Q1_2023,2023-04-14
Net Income (Loss),9,QoQ change is not meaningful.,YoY change is not meaningful.,604.0,,,,,,MM USD,15,Financial Results,Q1_2023,2023-04-14
Allocated Average TCE,1,,,13.0,,,,,,B USD,15,Financial Results,Q1_2023,2023-04-14
Efficiency Ratio,2,QoQ change is not meaningful.,YoY change is not meaningful.,61.0,,,,,,%,15,Financial Results,Q1_2023,2023-04-14
Average Loans,3,,Decreased by 21% from 1Q22.,38.0,,,,,,B USD,15,Financial Results,Q1_2023,2023-04-14
Average Deposits,4,,Decreased by 9% from 1Q22.,50.0,,,,,,B USD,15,Financial Results,Q1_2023,2023-04-14
Net Interest Income,1,Increased by 5% from 4Q22.,YoY change is not meaningful.,1096.0,,,,,,MM USD,16,Financial Results,Q1_2023,2023-04-14
Non-Interest Revenue,2,Increased by 47% from 4Q22.,YoY change is not meaningful.,-182.0,,,,,,MM USD,16,Financial Results,Q1_2023,2023-04-14
Total Revenues,3,Increased by 31% from 4Q22.,YoY change is not meaningful.,914.0,,,,,,MM USD,16,Financial Results,Q1_2023,2023-04-14
Expenses,4,Increased by 26% from 4Q22.,Increased by 19% from 1Q22.,310.0,,,,,,MM USD,16,Financial Results,Q1_2023,2023-04-14
Credit Costs,5,QoQ change is not meaningful.,YoY change is not meaningful.,111.0,,,,,,MM USD,16,Financial Results,Q1_2023,2023-04-14
EBT,6,Increased by 9% from 4Q22.,YoY change is not meaningful.,493.0,,,,,,MM USD,16,Financial Results,Q1_2023,2023-04-14
Net Income,7,Decreased by 41% from 4Q22.,Increased by 35% from 1Q22.,255.0,,,,,,MM USD,16,Financial Results,Q1_2023,2023-04-14
Allocated Average TCE ($ in B),8,,,16.0,,,,,,B USD,16,Financial Results,Q1_2023,2023-04-14
NII,1,,"Total NII increased 23% YoY, driven by a 33% increase in ICG and a 10% increase in PBWM.",13.3,,,,,,B USD,20,Financial Results,Q1_2023,2023-04-14
NIR,2,,"Total NIR decreased 3% YoY, driven by a 16% decrease in ICG and a 1% decrease in PBWM.",8.1,,,,,,B USD,20,Financial Results,Q1_2023,2023-04-14
Revenues,3,,"Total Revenues increased 12% YoY, with ICG up 1%, PBWM up 9%, and Legacy Franchises up 48%.",21.4,,,,,,B USD,20,Financial Results,Q1_2023,2023-04-14
Expenses,4,,"Total Expenses increased 1% YoY, with ICG up 4% and PBWM up 9%, while Legacy Franchises decreased 24%.",13.3,,,,,,B USD,20,Financial Results,Q1_2023,2023-04-14
Credit Costs,5,,"Total Credit Costs were $2.0B. ICG had a benefit of $0.1B, while PBWM had a cost of $1.6B.",2.0,,,,,,B USD,20,Financial Results,Q1_2023,2023-04-14
EBT,6,,"Total EBT increased 17% YoY. ICG EBT increased 25%, while PBWM EBT decreased 75%.",6.2,,,,,,B USD,20,Financial Results,Q1_2023,2023-04-14
Net Income to common,7,,"Total Net Income to common increased 7% YoY. ICG Net Income increased 23%, while PBWM Net Income decreased 74%.",4.3,,,,,,B USD,20,Financial Results,Q1_2023,2023-04-14
Avg Loans,8,,Total Avg Loans increased 1% YoY. ICG loans decreased 2% while PBWM loans increased 7%.,654.0,,,,,,B USD,20,Financial Results,Q1_2023,2023-04-14
Avg Deposits,9,,Total Avg Deposits increased 2% YoY. ICG deposits increased 3% while PBWM deposits decreased 3%.,1363.0,,,,,,B USD,20,Financial Results,Q1_2023,2023-04-14
Allocated Average TCE,10,,,161.0,,,,,,B USD,20,Financial Results,Q1_2023,2023-04-14
RoTCE,11,,,10.9,,,,,,%,20,Financial Results,Q1_2023,2023-04-14
CET1 Capital Ratio,12,,,13.4,,,,,,%,20,Financial Results,Q1_2023,2023-04-14
Closed - Revenue,1,,Revenue from closed markets increased from $0.4B in 1Q22 to $1.2B in 1Q23.,1.2,,0.4,,,,B USD,21,Financial Results,Q1_2023,2023-04-14
Closed - Expenses,2,,Expenses from closed markets decreased from $0.4B in 1Q22 to $0.3B in 1Q23.,0.3,,0.4,,,,B USD,21,Financial Results,Q1_2023,2023-04-14
Signed - Revenue,3,,Revenue from signed markets remained flat at $0.2B in 1Q23 compared to 1Q22.,0.2,,0.2,,,,B USD,21,Financial Results,Q1_2023,2023-04-14
Signed - Expenses,4,,Expenses from signed markets remained flat at $0.2B in 1Q23 compared to 1Q22.,0.2,,0.2,,,,B USD,21,Financial Results,Q1_2023,2023-04-14
In Process - Revenue,5,,Revenue from markets in process increased from $1.1B in 1Q22 to $1.3B in 1Q23.,1.3,,1.1,,,,B USD,21,Financial Results,Q1_2023,2023-04-14
In Process - Expenses,6,,Expenses from markets in process increased from $0.8B in 1Q22 to $1.0B in 1Q23.,1.0,,0.8,,,,B USD,21,Financial Results,Q1_2023,2023-04-14
Wind-Downs / On Hold / Other - Revenue,7,,Revenue from wind-downs decreased from $0.3B in 1Q22 to $0.2B in 1Q23.,0.2,,0.3,,,,B USD,21,Financial Results,Q1_2023,2023-04-14
Wind-Downs / On Hold / Other - Expenses,8,,Expenses from wind-downs decreased from $1.0B in 1Q22 to $0.3B in 1Q23.,0.3,,1.0,,,,B USD,21,Financial Results,Q1_2023,2023-04-14
Legacy Franchises - Revenue,9,,Revenue from Legacy Franchises increased from $1.9B in 1Q22 to $2.9B in 1Q23.,2.9,,1.9,,,,B USD,21,Financial Results,Q1_2023,2023-04-14
Legacy Franchises - Expenses,10,,Expenses from Legacy Franchises decreased from $2.3B in 1Q22 to $1.8B in 1Q23.,1.8,,2.3,,,,B USD,21,Financial Results,Q1_2023,2023-04-14
Divestiture-related Impacts - Revenue,11,,The revenue impact from divestitures shifted from $0.0B in 1Q22 to a positive $1.0B in 1Q23.,1.0,,0.0,,,,B USD,21,Financial Results,Q1_2023,2023-04-14
Divestiture-related Impacts - Expenses,12,,The expense impact from divestitures decreased from $0.6B in 1Q22 to $0.1B in 1Q23.,0.1,,0.6,,,,B USD,21,Financial Results,Q1_2023,2023-04-14
Legacy Franchises ex-divestitures - Revenue,13,,Revenue from Legacy Franchises excluding divestitures decreased from $2.0B in 1Q22 to $1.8B in 1Q23.,1.8,,2.0,,,,B USD,21,Financial Results,Q1_2023,2023-04-14
Legacy Franchises ex-divestitures - Expenses,14,,Expenses from Legacy Franchises excluding divestitures remained flat at $1.7B in 1Q23 compared to 1Q22.,1.7,,1.7,,,,B USD,21,Financial Results,Q1_2023,2023-04-14
NAB - Australia,1,,,,,,,,,,21,Financial Results,Q1_2023,2023-04-14
