text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
"Credit Costs were $3.5B, including a $1.3B ACL build associated with transfer risk in Russia and Argentina, and higher Card NCLs returning to pre-Covid levels.",quarter,7,Financial Results,Q4_2023,2024-01-12
"Net Income was a loss of $(1.8)B, as higher expenses and credit costs more than offset the lower revenues.",quarter,7,Financial Results,Q4_2023,2024-01-12
FY Revenues were $77.1B ex-divestitures and $47.6B NII ex-Markets.,year,8,Financial Results,Q4_2023,2024-01-12
"Services revenue was up 16% YoY, driven by higher interest rates, new client wins, and market appreciation.",year,8,Financial Results,Q4_2023,2024-01-12
"Markets revenue was down (6)% YoY, largely due to rates, currencies, equity derivatives, and the Argentina devaluation.",year,8,Financial Results,Q4_2023,2024-01-12
"Banking revenue was down (15)% YoY, in line with the market wallet, but was partially offset by progress in areas like Healthcare.",year,8,Financial Results,Q4_2023,2024-01-12
"Wealth revenue was down (5)% YoY, driven by a deposit product mix shift and lower investment fees.",year,8,Financial Results,Q4_2023,2024-01-12
"U.S. Personal Banking revenue was up 14% YoY, driven by a rebound in borrowing on cards and innovation in digital acquisitions.",year,8,Financial Results,Q4_2023,2024-01-12
Full year 2023 expenses of $54.3B ex-divestitures and FDIC Special Assessment were in line with the guidance of ~$54B.,year,9,Financial Results,Q4_2023,2024-01-12
"Transformation investments were driven by efforts to modernize infrastructure, automate processes, and enhance data analytics.",year,9,Financial Results,Q4_2023,2024-01-12
"Business-led investments focused on product innovations, front office talent, and technology platforms to drive revenue.",year,9,Financial Results,Q4_2023,2024-01-12
"Volume-related expenses grew due to marketing, transaction-related costs, and incentive compensation.",year,9,Financial Results,Q4_2023,2024-01-12
"Structural and other expenses were driven by risk and control enhancements, technology investments, and macro factors like inflation.",year,9,Financial Results,Q4_2023,2024-01-12
Transformation expense on Technology includes automating price verification for over 90% of Fixed Income and Equity securities and launching new capabilities for Strategic Wholesale Credit Production.,year,10,Financial Results,Q4_2023,2024-01-12
Transformation spending on Consultants was reduced by replacing them with internal hires.,year,10,Financial Results,Q4_2023,2024-01-12
Growth in transformation-related Compensation was largely driven by additional headcount in Data and Risk & Control.,year,10,Financial Results,Q4_2023,2024-01-12
Change-the-Bank technology spending reduced account opening cycle time by 40% for Private Bank and delivered a new cloud-based CitiDirect platform now used by over 70% of digital Corporate and Commercial users.,year,10,Financial Results,Q4_2023,2024-01-12
"Run-the-Bank technology spending included deploying automation tools and a centralized security platform, which helped reduce Fraud Loss/Expense.",year,10,Financial Results,Q4_2023,2024-01-12
Total End of Period (EOP) consumer loans stood at $389 billion.,quarter,11,Financial Results,Q4_2023,2024-01-12
Total corporate lending exposure was $712 billion.,quarter,11,Financial Results,Q4_2023,2024-01-12
"Revenues up 6% YoY for the quarter, driven by NII growth in TTS and Securities Services, but partially offset by lower NIR due to the Argentina currency devaluation.",quarter,13,Financial Results,Q4_2023,2024-01-12
"Expenses increased 9% YoY, driven by investments in technology, product innovation, and client experience.",quarter,13,Financial Results,Q4_2023,2024-01-12
"Credit costs of $646 million included a $652 million ACL build, primarily due to transfer risk in Russia and Argentina.",quarter,13,Financial Results,Q4_2023,2024-01-12
"Net income was down (43)% YoY, as higher revenues were more than offset by increased credit costs and expenses.",quarter,13,Financial Results,Q4_2023,2024-01-12
RoTCE was 13.4% for 4Q23 and 20.0% for the full year.,both,13,Financial Results,Q4_2023,2024-01-12
"Revenues were down (19)% YoY, driven by a (25)% decline in Fixed Income, which was partially offset by a 9% increase in Equities. Results were also impacted by the Argentina currency devaluation.",quarter,14,Financial Results,Q4_2023,2024-01-12
"Expenses increased 8% YoY due to investments in transformation, risk and control, and volume-related costs.",quarter,14,Financial Results,Q4_2023,2024-01-12
"Credit Costs of $209 million included an ACL build of $179 million, primarily for transfer risk in Russia and Argentina.",quarter,14,Financial Results,Q4_2023,2024-01-12
"A Net Loss of $(134) million was reported, as revenues were more than offset by higher expenses and credit costs.",quarter,14,Financial Results,Q4_2023,2024-01-12
"RoTCE was (1.0)% for 4Q23, and FY RoTCE was 7.4%.",both,14,Financial Results,Q4_2023,2024-01-12
"Revenues were up 22% YoY, driven by 27% growth in Investment Banking revenues and lower losses on loan hedges, partially offset by a (26)% decline in Corporate Lending and the impact of Argentina currency devaluation.",quarter,15,Financial Results,Q4_2023,2024-01-12
"Expenses rose 37% YoY, primarily due to the absence of an operational loss reserve release in the prior year.",quarter,15,Financial Results,Q4_2023,2024-01-12
"Credit Costs were $185 million, mainly from a net reserve build for transfer risk in Russia and Argentina.",quarter,15,Financial Results,Q4_2023,2024-01-12
"A Net Loss of $(322) million was recorded, driven by higher expenses and credit costs that were partially offset by higher revenues.",quarter,15,Financial Results,Q4_2023,2024-01-12
"RoTCE was (6.0)% for 4Q23, and FY RoTCE was (0.2)%.",both,15,Financial Results,Q4_2023,2024-01-12
"Revenues were down (3)% YoY, driven by lower deposit spreads, but partially offset by lower mortgage funding costs and higher investment fee revenues.",quarter,16,Financial Results,Q4_2023,2024-01-12
"Expenses were up 4% YoY, primarily due to investments in risk and controls and technology.",quarter,16,Financial Results,Q4_2023,2024-01-12
"Credit costs were $4 million, driven by NCLs of $31 million, but partially offset by an ACL release of $(27) million.",quarter,16,Financial Results,Q4_2023,2024-01-12
"Net income was $5 million, reflecting lower revenues and higher expenses.",quarter,16,Financial Results,Q4_2023,2024-01-12
"RoTCE was 0.1% for the quarter, and FY RoTCE was 2.6%.",both,16,Financial Results,Q4_2023,2024-01-12
"Revenues were up 12% YoY, driven by an increase in NII from loan growth in cards and higher deposit spreads.",quarter,17,Financial Results,Q4_2023,2024-01-12
"Expenses were down (1)% YoY, primarily driven by risk and control and business-led investments, which were more than offset by lower non-volume related expenses.",quarter,17,Financial Results,Q4_2023,2024-01-12
"Credit costs were $2.1 billion, with NCLs of $1.6 billion reflecting a return to pre-Covid loss rates and an ACL build of $0.5 billion.",quarter,17,Financial Results,Q4_2023,2024-01-12
"Net income was $201 million, driven by higher revenues and lower expenses, partially offset by higher cost of credit.",quarter,17,Financial Results,Q4_2023,2024-01-12
"RoTCE was 3.6% for the quarter, and FY RoTCE was 8.3%.",both,17,Financial Results,Q4_2023,2024-01-12
"Revenues were down (17)% YoY, driven by a decrease in NII from higher funding costs and closed exits, though partially offset by higher NIR. Mexico revenues increased 20% YoY.",quarter,18,Financial Results,Q4_2023,2024-01-12
"Expenses were up 92% YoY, driven by the FDIC special assessment and restructuring costs, partially offset by lower expenses in both wind-down and exit markets.",quarter,18,Financial Results,Q4_2023,2024-01-12
Credit Costs were $459 million.,quarter,18,Financial Results,Q4_2023,2024-01-12
"Drivers for NIR ex-Markets ex-Divestitures include TTS client wins, continued onboarding in Securities Services, a rebound in Investment Banking and Wealth, and lower partner payments in Retail Services.",year,20,Outlook,Q4_2023,2024-01-12
"Drivers for NII ex-Markets include modestly down YoY performance, global interest rates expected to come down, mid-single digits loan growth driven by cards, modest operating deposit growth, and the impact of closed exit and wind-down markets.",year,20,Outlook,Q4_2023,2024-01-12
"In 3Q23 YTD, the company took ~$600mm of severance related to 6k headcount, offset by hiring in technology, operations, and control initiatives.",quarter,21,Outlook,Q4_2023,2024-01-12
"In 4Q23, the company took ~$800mm of restructuring and ~$100mm of severance related to ~7k headcount.",quarter,21,Outlook,Q4_2023,2024-01-12
"For FY24, the company expects to take ~$700mm to $1.0B in severance and costs related to organizational simplification to further reduce headcount over the medium-term.",year,21,Outlook,Q4_2023,2024-01-12
"Over the medium-term, the company expects a net reduction in reported headcount of 20k.",year,21,Outlook,Q4_2023,2024-01-12
"Expense saves from organizational simplification, which may be offset by expenses related to revenue growth, are projected to be between ($2.0-2.5) billion.",year,22,Outlook,Q4_2023,2024-01-12
Efficiencies are to be realized from Transformation efforts.,year,22,Outlook,Q4_2023,2024-01-12
A new management and organizational structure is expected to reduce headcount.,year,22,Outlook,Q4_2023,2024-01-12
Exiting international consumer businesses will reduce direct expenses and eliminate stranded costs.,year,22,Outlook,Q4_2023,2024-01-12
Expect Net Credit Loss (NCL) rates in both Branded Cards and Retail Services portfolios to rise above pre-COVID levels in 2024.,year,23,Outlook,Q4_2023,2024-01-12
Reserves are based on a weighted 8-quarter average unemployment rate of ~5.0% with a downside assumption of 6.8%.,year,23,Outlook,Q4_2023,2024-01-12
Expect mid-single digit loan growth in both card portfolios.,year,23,Outlook,Q4_2023,2024-01-12
Full year 2024 guidance includes revenues of ~$80-81 billion and expenses of ~$53.5-53.8 billion.,year,24,Outlook,Q4_2023,2024-01-12
NII ex-Markets is expected to be down modestly YoY for the full year 2024.,year,24,Outlook,Q4_2023,2024-01-12
Cost of Credit guidance for 2024 includes a Branded Cards average NCL rate of 3.50-4.00% and a Retail Services average NCL rate of 5.75-6.25%.,year,24,Outlook,Q4_2023,2024-01-12
The company will continue to evaluate buybacks on a quarter-by-quarter basis.,quarter,24,Outlook,Q4_2023,2024-01-12
"Medium-term targets include a 4-5% revenue CAGR, reduced expenses from simplification, and 6-7% loan growth.",year,24,Outlook,Q4_2023,2024-01-12
The company is committed to a medium-term RoTCE target of 11-12%.,year,24,Outlook,Q4_2023,2024-01-12
"Statements in the presentation are forward-looking, based on current expectations, and subject to uncertainty; they are not guarantees of future results.",year,25,Footnotes,Q4_2023,2024-01-12
"Actual results may differ materially due to various factors, including Citi's ability to achieve objectives like expense savings from transformation and strategic initiatives.",year,25,Footnotes,Q4_2023,2024-01-12
"Key risk factors include the divestiture of Mexico operations, potential U.S. government shutdown, interest rate impacts, potential recessions, and changes to regulatory rules like Basel III Endgame.",year,25,Footnotes,Q4_2023,2024-01-12
"Other risks include inflation, geopolitical conflicts such as the war in Ukraine and conflict in the Middle East, and potential currency devaluations in Argentina.",year,25,Footnotes,Q4_2023,2024-01-12
"Forward-looking statements are only as of the date they are made, and Citi does not undertake to update them.",year,25,Footnotes,Q4_2023,2024-01-12
ACL: Allowance for Credit Losses,both,41,Glossary,Q4_2023,2024-01-12
EPS: Earnings per Share,both,41,Glossary,Q4_2023,2024-01-12
NII: Net Interest Income,both,41,Glossary,Q4_2023,2024-01-12
ACLL: Allowance for Credit Losses on Loans,both,41,Glossary,Q4_2023,2024-01-12
F&S: Financing & Securitization,both,41,Glossary,Q4_2023,2024-01-12
NIM: Net Interest Margin,both,41,Glossary,Q4_2023,2024-01-12
AFS: Available for Sale,both,41,Glossary,Q4_2023,2024-01-12
FI: Fixed Income,both,41,Glossary,Q4_2023,2024-01-12
NIR: Non-Interest Revenue,both,41,Glossary,Q4_2023,2024-01-12
AOCI: Accumulated Other Comprehensive Income,both,41,Glossary,Q4_2023,2024-01-12
FX: Foreign Exchange,both,41,Glossary,Q4_2023,2024-01-12
NM: Not meaningful,both,41,Glossary,Q4_2023,2024-01-12
AUA: Assets Under Administration,both,41,Glossary,Q4_2023,2024-01-12
GDP: Gross Domestic Product,both,41,Glossary,Q4_2023,2024-01-12
RWA: Risk-Weighted Assets,both,41,Glossary,Q4_2023,2024-01-12
AUC: Assets Under Custody,both,41,Glossary,Q4_2023,2024-01-12
G-SIB: Global Systemically Important Banks,both,41,Glossary,Q4_2023,2024-01-12
SBMM: Small Business and Middle Market,both,41,Glossary,Q4_2023,2024-01-12
CAGR: Compound Annual Growth Rate,both,41,Glossary,Q4_2023,2024-01-12
HQLA: High quality liquid assets,both,41,Glossary,Q4_2023,2024-01-12
SS: Securities Services,both,41,Glossary,Q4_2023,2024-01-12
CCB: Commercial Client Banking,both,41,Glossary,Q4_2023,2024-01-12
HTM: Held to Maturity,both,41,Glossary,Q4_2023,2024-01-12
TBVPS: Tangible Book Value per Share,both,41,Glossary,Q4_2023,2024-01-12
CECL: Current Expected Credit Losses,both,41,Glossary,Q4_2023,2024-01-12
IB: Investment Banking,both,41,Glossary,Q4_2023,2024-01-12
"TMT: Technology, Media and Telecommunications",both,41,Glossary,Q4_2023,2024-01-12
CRE: Commercial Real Estate,both,41,Glossary,Q4_2023,2024-01-12
IG: Investment Grade,both,41,Glossary,Q4_2023,2024-01-12
TTS: Treasury and Trade Solutions,both,41,Glossary,Q4_2023,2024-01-12
DCM: Debt Capital Markets,both,41,Glossary,Q4_2023,2024-01-12
KPI: Key Performance Indicator,both,41,Glossary,Q4_2023,2024-01-12
USD: U.S. Dollar,both,41,Glossary,Q4_2023,2024-01-12
DIA: Deposit Insurance Agency,both,41,Glossary,Q4_2023,2024-01-12
LCR: Liquidity Coverage Ratio,both,41,Glossary,Q4_2023,2024-01-12
USPB: U.S. Personal Banking,both,41,Glossary,Q4_2023,2024-01-12
DM: Developed Markets,both,41,Glossary,Q4_2023,2024-01-12
LTD: Long-term debt,both,41,Glossary,Q4_2023,2024-01-12
VaR: Value at Risk,both,41,Glossary,Q4_2023,2024-01-12
DPD: Days Past Due,both,41,Glossary,Q4_2023,2024-01-12
M&A: Mergers & Acquisitions,both,41,Glossary,Q4_2023,2024-01-12
DTA: Deferred Tax Assets,both,41,Glossary,Q4_2023,2024-01-12
MNC: Multi-National Corporation,both,41,Glossary,Q4_2023,2024-01-12
ECM: Equity Capital Markets,both,41,Glossary,Q4_2023,2024-01-12
NAL: Non-Accrual Loans,both,41,Glossary,Q4_2023,2024-01-12
EM: Emerging Markets,both,41,Glossary,Q4_2023,2024-01-12
NCC: National Clearing Counterparty,both,41,Glossary,Q4_2023,2024-01-12
EOP: End of Period,both,41,Glossary,Q4_2023,2024-01-12
NCL: Net Credit Losses,both,41,Glossary,Q4_2023,2024-01-12
