text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call,bank,document_type,source,sentiment
"Hey, good morning. So I wanted to start off with a question just on the IB and trading outlook. On the trading side, just given some of the recent macro shocks, have you seen any evidence of bad volatility and are you still confident that you can sustain that mid-single-digit growth target? And just on the Investment Banking side, I wanted to see if there's any evidence of green shoots. It's been a challenging backdrop, as you noted, Mark, but I was hoping you could offer some color just across some of the different product lines, across M&A, ECM, DCM.",quarter,Steven Chubak,Analyst,13,Q and A,Q1_2023,2023-04-14,Citigroup,transcript,"Steven Chubak (Analyst)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 13",Negative
"I think there are a couple of things to kind of keep in mind in terms of PBWM fees, and I think part of it is that PBWM is a combination of both the Cards business as well as the Wealth business, and a good amount of the pressure that we've seen in fees and that is still subject to how the environment evolves is in the Wealth space, because we continue to see fee pressure on investment activity and revenues there, and we'll have to see how the market valuations move on some of the assets that we manage on behalf of clients and what momentum it drives in terms of more investment activity. So I think that's a big part of the drag in fees.",quarter,Mark Mason,CFO,14,Q and A,Q1_2023,2023-04-14,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 14",Negative
"The upside that we've seen in fees in Banking and Cards, again, I think will be subject to how activity and volume evolves across our Cards business. We do expect revolving levels to continue, but purchase sales while they're up year-over-year, when we look at kind of the latter months of the quarter, the growth has been slowing, and has been quite concentrated in travel and entertainment. So we'll have to see how some of that volume activity evolves, and that'll be a factor to keep in mind.",quarter,Mark Mason,CFO,15,Q and A,Q1_2023,2023-04-14,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 15",Negative
"Sure. Thank you for the question, Gerard. Well, I'd say that we hope that there will be a thoughtful and targeted approach to any changes in the regulatory and capital framework and that they address the root causes of what actually happened here, and what happened is a combination of macro impacts from the sharp, rapid rate increases and some idiosyncratic situations, namely a lack of proper asset and liability management at a small handful of banks.",quarter,Jane Fraser,CEO,16,Q and A,Q1_2023,2023-04-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 16",Negative
"We don't see these issues as pervasive throughout the broader banking industry, but the events certainly highlight the importance of prudent asset and liability management. We still believe that there is plenty of capital amongst the large banks, and if capital requirements were to increase for the large banks by the regulators it would exacerbate any credit tightening that might go on.",quarter,Jane Fraser,CEO,17,Q and A,Q1_2023,2023-04-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 17",Negative
"So a couple things I mentioned. So one, we did see inflows in the quarter associated with some of the sector turmoil. We've looked at kind of deposit levels from call it March 7th, March 8th through close to the end of March, and we certainly did see an uptick, call it probably a little bit under $30 billion or so of inflows in that period of time, with a good portion of that in our CCB, our Commercial Middle-Market client base.",quarter,Mark Mason,CFO,18,Q and A,Q1_2023,2023-04-14,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 18",Negative
"What's a little bit unclear is how the rate environment continues to evolve and what that means for how betas actually evolve, and we'll have to kind of wait and see. It's too soon to tell as it relates to that.",quarter,Mark Mason,CFO,18,Q and A,Q1_2023,2023-04-14,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 18",Negative
"While global economic performance was surprisingly desynchronized last year, the overall story has been consistent of late: one of economic resiliency supported by tight labor markets and the consumer. Growth this year looks poised to slow in many markets. And conditions are generally disinflationary - you are already seeing some central banks in the emerging markets starting to cut rates.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q1_2024,2024-04-12,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2024 Earnings Call Transcript, Page 1",Negative
"In the U.S., a soft landing is viewed as increasingly likely. But we continue to see a tale of two Europes with Germany hurt by the weak demand for goods while southern European countries such as Spain and Greece benefit from stronger demand in services.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q1_2024,2024-04-12,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2024 Earnings Call Transcript, Page 1",Negative
"Net income decreased to $347 million. Average deposits decreased 10%, as the transfer of relationships and the associated deposits to our Wealth business more than offset the underlying growth. RoTCE for the quarter was 5.5%.",quarter,Mark Mason,CFO,7,Prepared remarks,Q1_2024,2024-04-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2024 Earnings Call Transcript, Page 7",Negative
"On slide 17, we show results for All Other on a managed basis, which includes Corporate Other and Legacy Franchises and excludes divestiture-related items. Revenues decreased 9%, primarily driven by closed exits and wind-downs, as well as higher funding costs, partially offset by higher revenue in Mexico. And expenses increased 18%, primarily driven by the incremental FDIC special assessment and restructuring charges, partially offset by lower expenses from the wind-down and exit markets.",quarter,Mark Mason,CFO,7,Prepared remarks,Q1_2024,2024-04-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2024 Earnings Call Transcript, Page 7",Negative
"I do want to point out, as Jane mentioned, this is a growth business for us. And so, you can see on some of the metrics on page 15 in the bottom left, some of those good signs of investment momentum. And I highlight that because as the expenses come down from some of those efficiencies, there will be a need for us to continue to invest and replenish low-performing or low-producing bankers and advisors with resources that actually can generate the revenues we expect and take advantage of the client opportunity that's in front of us.",quarter,Mark Mason,CFO,11,Q and A,Q1_2024,2024-04-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2024 Earnings Call Transcript, Page 11",Negative
"The reality is that if there's softness in revenues, that's why we have a range, obviously, the volume-related expenses would come down with any softness in revenue. And depending on the drivers of why that revenue is softening, we'd look at the investments that we're making across the business and make sure that those are appropriately calibrated for where we are in the cycle and what we're seeing on the top line.",quarter,Mark Mason,CFO,11,Q and A,Q1_2024,2024-04-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2024 Earnings Call Transcript, Page 11",Negative
"So, as we look forward, I think it's recognizing the shift in some of the drivers from company just investing, refinancing, looking at where they can diversify their capital raising in different quarters. But I'd just close by saying I couldn't agree with you more about geopolitical risks and fragility. I think the market's too benign in its risk pricing on some of these factors.",quarter,Jane Fraser,CEO,16,Q and A,Q1_2024,2024-04-12,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2024 Earnings Call Transcript, Page 16",Negative
"Good afternoon, thanks. Just a quick one for Mark. Previously, you had talked about ""bending the cost curve"" between the third and the fourth quarter of this year, and on this call I thought I heard you say it's basically bent, that second quarter should be down and we should be sequentially lower from here, so did it just happen six months earlier or is there still some other bending that comes late this year?",quarter,Chris Kotowski,Analyst,17,Q and A,Q1_2024,2024-04-12,Citigroup,transcript,"Chris Kotowski (Analyst)
Citigroup, Q1, 2024 Earnings Call Transcript, Page 17",Negative
"Sure. I think you should just fade it, to answer your question very directly, but I'd also point out that in Q1, if you really look through to it, it has the $250 million of FDIC charge in it, and so when you back that out, we effectively are coming in lower than what we had guided right. Despite that I'm telling you the same – I'm making the same point, which is you can expect a downward trend from here through to the end of the year and while there won't be additional restructuring charge, there will be the normal BAU activity around repositioning that plays through, so hopefully that answers your question, Betsy. The guidance still holds, and the downward trend is what we are managing towards, as we kind of play out the balance of the year.",quarter,Mark Mason,CFO,19,Q and A,Q1_2024,2024-04-12,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2024 Earnings Call Transcript, Page 19",Negative
"While our corporate and consumer clients are resilient and in good financial health, the world is in a wait-and-see mode and is facing a more negative macro-outlook than anyone had anticipated at the beginning of the year.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 2",Negative
And we know that prolonged uncertainty generally hurts confidence.,quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 2",Negative
"Non-interest revenues excluding Markets were down 6%, as better results in Banking and Wealth were more than offset by declines in All Other, USPB and Services.",quarter,Mark Mason,CFO,3,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 3",Negative
"Expenses of $13.4 billion, were down 5%.",quarter,Mark Mason,CFO,3,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 3",Negative
"Cost of credit was $2.7 billion, primarily consisting of net credit losses in Cards as well as a firmwide net ACL build, reflecting the uncertainty and deterioration in the macroeconomic outlook.",quarter,Mark Mason,CFO,3,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 3",Negative
"The decline was driven by a smaller FDIC special assessment, absence of a restructuring charge and lower compensation.",quarter,Mark Mason,CFO,3,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 3",Negative
"The ACL build reflects uncertainty and deterioration in the macroeconomic outlook, including a further skew to the downside scenario in our CECL framework.",quarter,Mark Mason,CFO,3,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 3",Negative
Largely offsetting this build was a release related to lower balances in our card portfolios.,quarter,Mark Mason,CFO,3,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 3",Negative
"And corporate non-accrual loans remain low, reflecting the investment grade nature of our portfolio.",quarter,Mark Mason,CFO,3,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 3",Negative
"We ended the quarter with a preliminary 13.4% CET1 Capital ratio, down approximately 20 basis points, as net income was more than offset by capital distributions, RWA growth and higher DTA deductions.",quarter,Mark Mason,CFO,3,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 3",Negative
"NIR declined 4%, driven by the absence of certain episodic fees in Securities Services as well as higher revenue share and the impact of FX across both TTS and Securities Services.",quarter,Mark Mason,CFO,4,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 4",Negative
"Expenses declined 3%, largely driven by lower deposit insurance costs, severance and legal expenses.",quarter,Mark Mason,CFO,4,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 4",Negative
DCM was down 3% compared to a near-record first quarter last year.,quarter,Mark Mason,CFO,4,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 4",Negative
"And ECM was down 26%, amid a pullback in the wallet for follow-ons and convertibles.",quarter,Mark Mason,CFO,4,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 4",Negative
"Corporate Lending revenues, excluding mark-to-market on loan hedges, declined 1%, as increases in revenue share were more than offset by the combined impact of lower loan balances and higher recoveries in the prior year.",quarter,Mark Mason,CFO,4,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 4",Negative
"Average loans declined 2%, as we continue to be strategic in deploying the balance sheet to support growth in client investment assets.",quarter,Mark Mason,CFO,4,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 4",Negative
"Average deposits also declined 2%, driven by a shift in deposits to higher-yielding investments on Citi’s platform and other operating outflows, largely offset by client transfers from USPB, reflecting our ability to support clients as their wealth and investment needs evolve.",quarter,Mark Mason,CFO,4,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 4",Negative
"And in Retail Services revenues declined 11%, primarily driven by higher partner payment accruals.",quarter,Mark Mason,CFO,5,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 5",Negative
"This included a build related to changes in the portfolio composition and macroeconomic outlook, which was more than offset by a release due to lower card balances, largely in Retail Services.",quarter,Mark Mason,CFO,5,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 5",Negative
"Average deposits declined 11%, driven by client transfers to Wealth that I just mentioned.",quarter,Mark Mason,CFO,5,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 5",Negative
"Revenues declined 39%, with declines across both Corporate/Other and Legacy Franchises.",quarter,Mark Mason,CFO,5,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 5",Negative
Corporate/Other was largely driven by lower NII as well as the impact of mark-to-market valuation changes on certain investments on NIR.,quarter,Mark Mason,CFO,5,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 5",Negative
"Legacy Franchises was driven by the impact of Mexican peso depreciation, expiration of TSAs in our closed exit markets and continued reduction from our wind-down markets.",quarter,Mark Mason,CFO,5,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 5",Negative
"Expenses declined 17%, driven by a smaller FDIC special assessment, absence of a restructuring charge, reduction from exit markets and wind-downs and the impact of Mexican peso depreciation.",quarter,Mark Mason,CFO,5,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 5",Negative
"And cost of credit was $359 million, largely driven by net credit losses of $256 million, driven by consumer loans in Mexico.",quarter,Mark Mason,CFO,5,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 5",Negative
And we expect full year expenses to be slightly lower than $53.4 billion.,quarter,Mark Mason,CFO,5,Prepared remarks,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 5",Negative
"Hi, I just wanted to continue the discussion about, on one hand you’re a port in the storm. You've been embedded decades and you're not a bunch of suitcase bankers. So that message has landed. On the other hand, I mean, you are the bank that facilitates global trade in the middle of a global trade war. And so, I think the concern is not just the possibility that that revenues will nosedive, but credit will implode or as I've heard many, many times that Citigroup is going to stub its toe, just 100 countries in the mix of it all. What else can you say in addition to what you said to either reassure investors that the oversight is strong or that you have your arms around the situation, the best that that you can, again, recognizing it's a fluid situation. Thank you.",quarter,Mike Mayo,Analyst,7,Q and A,Q1_2025,2025-04-15,Citigroup,transcript,"Mike Mayo (Analyst)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 7",Negative
"Now look, it's uncertain and how the world evolves is hard to forecast at this point, right? So could a stressed macro environment create an impact on credit and a build of reserves, absolutely, right? That could happen towards the end of 2025. If it does happen in 2025 and losses end up showing up in 2026. They end up being self-funded, so to speak, by the reserves that would have been established.",quarter,Mark Mason,CFO,8,Q and A,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 8",Negative
"Understood. And I guess you mentioned, I think, in your prepared remarks, the reserves on the card book went up to 8.2%. Remind us, I mean, I think, and the genesis of both questions is I think there's a fragility to your RoTCE guidance for next year that I think makes investors nervous. And I'm just trying to get to the pieces around buybacks? And then in terms of credit, like how what's it baking in around the unemployment rate? What would cause you to ratchet up provisioning in the near term? What kind of an implied job market deterioration do we need to see for the credit outlook to deteriorate fast and materially? Thanks.",quarter,Ebrahim Poonawala,Analyst,8,Q and A,Q1_2025,2025-04-15,Citigroup,transcript,"Ebrahim Poonawala (Analyst)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 8",Negative
"It does have an impact on the Retail Services print that we have in the quarter and more importantly, the year-over-year that you see there of down 11% because, as you know, we share profits with those partners. And so that that that down 11% we see in the quarter is informed by last year where we had an assumption that the late fee rule was going to come into play and therefore, we had less profit to share with our partners versus this year first quarter where we've assumed it would not come into play and, therefore, have more profits to share with our partners. And so important to point that out on Retail Services, which jumps out in USPB, that it's unlikely that we see that downward percentage in the remaining quarters because it's really a byproduct of what we assumed last year. versus this year on late fees.",quarter,Mark Mason,CFO,11,Q and A,Q1_2025,2025-04-15,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 11",Negative
"Hi, good afternoon. Just a follow-up question here on the buyback pacing. Your message has been pretty clear about the first half versus the second half. That said, with the stock at $65 versus tangible book at $90, I guess, are you just so scared from the volatility of the SCB result that, that just must be hurdle before you can accelerate the buyback? And Mark, perhaps if you could sort of dispel some of the notion that sometimes happens in some of these chats with buy-siders about your inability to dividend from the bank sub to the holding company in order to increase your buybacks over the near term. If you could address that, too, that would be great.",quarter,Erika Najarian,Analyst,12,Q and A,Q1_2025,2025-04-15,Citigroup,transcript,"Erika Najarian (Analyst)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 12",Negative
"Jane, sharing about all turmoil and reading some new stories about mandates being shifted from U.S. broker-dealers to local players. Jane, are you concerned about that? Is that a shift that's starting outside the U.S. for big players like yourselves and others who are widespread globally, does this start to create stronger competitors or move some business away over time?",quarter,Vivek Juneja,Analyst,13,Q and A,Q1_2025,2025-04-15,Citigroup,transcript,"Vivek Juneja (Analyst)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 13",Negative
"Hi, just a follow-up on the expenses, came in a bit lower than expected 1Q even ex the accounting change. What's your thought process for the rest of the year? Because I'm getting at is off in 1Q the high-water mark. So, if you trickle down a little bit from here, that would imply costs coming in a below what you're expecting. Can you just talk about the trajectory here?",quarter,Matt O’Connor,Analyst,14,Q and A,Q1_2025,2025-04-15,Citigroup,transcript,"Matt O’Connor (Analyst)
Citigroup, Q1, 2025 Earnings Call Transcript, Page 14",Negative
"The Eurozone has also exceeded expectations; however, most countries are facing pressure from labor and energy costs, challenging the region’s longer-term competitiveness.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q2_2023,2023-07-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q2, 2023 Earnings Call Transcript, Page 1",Negative
"China is the biggest disappointment, as growth decelerated after an initial post-reopening pop. I was there last month, and let’s just say few on the ground expect China to be as strong a driver of global growth this year as some had hoped.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q2_2023,2023-07-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q2, 2023 Earnings Call Transcript, Page 1",Negative
"In Banking, the momentum in investment grade debt has spread into other DCM products. But the long-awaited rebound in Investment Banking has yet to materialize, and it was a disappointing quarter in terms of both the wallet and our own performance with Investment Banking revenues down 24%. We continue to right-size the business to the environment whilst making investments in selected areas such as Technology and Healthcare.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q2_2023,2023-07-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q2, 2023 Earnings Call Transcript, Page 2",Negative
"Credit normalization is happening faster in Retail Services, given the profile of the portfolio. And overall, I’d say we are seeing a more cautious consumer but not necessarily a recessionary one.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q2_2023,2023-07-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q2, 2023 Earnings Call Transcript, Page 2",Negative
"And the industry awaits further clarity on capital requirements and importantly their implementation timing from the holistic review the Fed has undertaken and the expected Basel III Endgame NPR. There is still uncertainty as to what the final rules will be and we, like the rest of the industry, will need to work through the implications.",quarter,Jane Fraser,CEO,3,Prepared remarks,Q2_2023,2023-07-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q2, 2023 Earnings Call Transcript, Page 3",Negative
"In the quarter, total revenues decreased by 1% both on a reported basis and excluding divestiture-related impacts, as strength across Services, U.S. Personal Banking and revenue from the investment portfolio, was more than offset by declines in Markets, Investment Banking and Wealth, as well as the revenue reduction from the closed exits and wind-downs.",quarter,Mark Mason,CFO,4,Prepared remarks,Q2_2023,2023-07-14,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q2, 2023 Earnings Call Transcript, Page 4",Negative
"In our ICG portfolio, of our total exposure, approximately 85% is investment grade. Of the international exposure, approximately 90% is investment grade or exposure to multinational clients or their subsidiaries. And corporate non-accrual loans remain low at about 44 basis points of total loans.",quarter,Mark Mason,CFO,5,Prepared remarks,Q2_2023,2023-07-14,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q2, 2023 Earnings Call Transcript, Page 5",Negative
"On Slide 10, we show the results for our Institutional Clients Group for the second quarter. Revenues were down 9% this quarter, as growth in Services was more than offset by Markets and Banking.",quarter,Mark Mason,CFO,6,Prepared remarks,Q2_2023,2023-07-14,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q2, 2023 Earnings Call Transcript, Page 6",Negative
"Cost of credit was $58 million, as net credit losses were partially offset by an ACL release. This resulted in net income of approximately $2.2 billion, down 45%, primarily driven by lower revenues and higher expenses.",quarter,Mark Mason,CFO,6,Prepared remarks,Q2_2023,2023-07-14,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q2, 2023 Earnings Call Transcript, Page 6",Negative
"Markets revenues were down 13%, driven by both Fixed Income and Equities, relative to an exceptional quarter last year coupled with low volatility this quarter.",quarter,Mark Mason,CFO,6,Prepared remarks,Q2_2023,2023-07-14,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q2, 2023 Earnings Call Transcript, Page 6",Negative
